,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-10 10:35:35,2021-11-10,SSP,Perschke Daniel,"VP, Controller",S - Sale+OE,$20.71,-5514,3226,-63%,"-$114,195",,,,,SSP
1,D,2021-11-10 07:54:28,2021-11-09,SSP,Lyons Douglas F,"SVP, Fin. Strat.,Special Proj",S - Sale+OE,$20.92,-9458,0,-100%,"-$197,835",,,,,SSP
2,D,2021-09-03 12:13:47,2021-08-31,SSP,Symson Adam,"Pres, CEO",S - Sale+OE,$18.38,-1,151327,0%,-$15,,,,,SSP
3,M,2021-05-27 16:58:25,2021-05-26,SSP,Scripps William H.,10%,S - Sale,$21.50,-75000,544970,-12%,"-$1,612,372",,,,,SSP
4,D,2021-03-15 13:01:08,2021-03-12,SSP,Boehne Richard A,Dir,S - Sale+OE,$24.30,-100000,313670,-24%,"-$2,430,420",,,,,SSP
5,D,2021-03-08 08:54:53,2021-03-05,SSP,Lyons Douglas F,"SVP, Fin. Strat.,Special Proj",S - Sale+OE,$22.38,-14602,9458,-61%,"-$326,810",,,,,SSP
6,D,2021-03-08 08:32:00,2021-03-05,SSP,Koors Mark L,"VP, Audit, Compliance",S - Sale+OE,$22.39,-9073,36559,-20%,"-$203,172",,,,,SSP
7,D,2021-03-08 08:17:19,2021-03-05,SSP,Knutson Lisa A,"Pres, National Networks",S - Sale+OE,$22.11,-5499,51139,-10%,"-$121,596",,,,,SSP
8,D,2021-03-05 08:14:37,2021-03-04,SSP,Tomlin Laura,"EVP, CAO",S - Sale+OE,$21.43,-15000,8759,-63%,"-$321,473",,,,,SSP
9,D,2021-03-05 08:09:01,2021-03-04,SSP,Riegelsberger Rebecca A.,"Treasurer, VP, Tax",S - Sale+OE,$21.58,-500,7319,-6%,"-$10,790",,,,,SSP
10,DM,2021-03-04 14:57:15,2021-03-02,SSP,Lyons Douglas F,"SVP, Fin. Strat.,Special Proj",S - Sale+OE,$20.52,-27305,24060,-53%,"-$560,303",,,,,SSP
11,D,2021-03-02 16:35:12,2021-02-26,SSP,Symson Adam,"Pres, CEO",S - Sale+OE,$20.00,-8000,151328,-5%,"-$160,000",,,,,SSP
12,D,2021-03-02 16:20:45,2021-02-26,SSP,Appleton William,"EVP, GC",S - Sale+OE,$20.00,-10000,100759,-9%,"-$200,000",,,,,SSP
13,D,2021-02-19 08:27:45,2021-02-17,SSP,Symson Adam,"Pres, CEO",S - Sale+OE,$18.40,-20000,95678,-17%,"-$368,000",,,,,SSP
14,D,2021-02-19 08:26:22,2021-02-17,SSP,Combs Jason,"EVP, CFO",S - Sale+OE,$19.00,-493,1231,-29%,"-$9,367",,,,,SSP
15,D,2021-02-19 08:25:08,2021-02-17,SSP,Appleton William,"EVP, GC",S - Sale+OE,$18.50,-20000,92718,-18%,"-$370,000",,,,,SSP
16,D,2021-02-16 08:48:31,2020-12-12,SSP,Symson Adam,"Pres, CEO",S - Sale+OE,$17.00,-12000,115678,-9%,"-$204,000",,,,,SSP
17,D,2021-02-16 08:47:34,2021-02-11,SSP,Combs Jason,"EVP, CFO",S - Sale+OE,$17.00,-493,1724,-22%,"-$8,381",,,,,SSP
18,DM,2021-02-16 08:46:39,2021-02-11,SSP,Appleton William,"EVP, GC",S - Sale+OE,$17.00,-10000,112718,-8%,"-$170,000",,,,,SSP
19,D,2021-02-04 10:23:25,2020-12-31,SSP,Perschke Daniel,"VP, Controller",P - Purchase,$15.29,+60,6102,+1%,+$918,,,,,SSP
20,D,2021-01-08 08:39:13,2021-01-06,SSP,Appleton William,"EVP, GC",S - Sale+OE,$16.00,-5000,122718,-4%,"-$80,000",,,,,SSP
21,D,2020-12-30 08:33:47,2020-12-28,SSP,Appleton William,"EVP, GC",S - Sale+OE,$15.00,-5000,127718,-4%,"-$75,000",,,,,SSP
22,,2020-12-15 15:19:31,2020-12-11,SSP,Scripps William H.,10%,S - Sale,$14.03,-110000,619970,-15%,"-$1,542,970",,,,,SSP
23,D,2020-12-03 09:11:35,2020-12-01,SSP,Koors Mark L,"VP, Audit, Compliance",S - Sale+OE,$13.00,-11452,38820,-23%,"-$148,847",,,,,SSP
24,D,2020-11-12 09:53:31,2020-11-11,SSP,Appleton William,"EVP, GC",S - Sale+OE,$12.04,-20000,132718,-13%,"-$240,722",,,,,SSP
25,D,2019-11-19 09:09:44,2019-11-15,SSP,Knutson Lisa A,"EVP, CFO",S - Sale+OE,$14.27,-25000,20293,-55%,"-$356,850",,,,,SSP
26,M,2019-08-23 16:11:48,2019-08-21,SSP,Granado Corina S.,10%,P - Purchase,$12.00,"+100,000",868614,+13%,"+$1,199,563",,,,,SSP
27,A,2019-08-07 18:05:37,2019-05-22,SSP,Scripps William H.,10%,S - Sale,$16.11,-80000,839970,-9%,"-$1,288,800",,,,,SSP
