,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,DM,2021-06-11 20:30:12,2021-06-10,SURF,Goater Jeff,Dir,S - Sale+OE,$7.66,-250000,257000,-49%,"-$1,914,845",,,,,SURF
1,,2021-02-18 20:00:19,2021-02-16,SURF,Ross Robert W.,Chief Medical Officer,S - Sale,$11.35,-1000,88000,-1%,"-$11,350",,,,,SURF
2,,2021-02-09 20:00:19,2021-02-08,SURF,Fees Jessica,See Remarks,S - Sale,$12.45,-1500,99183,-1%,"-$18,675",,,,,SURF
3,D,2021-02-09 20:00:13,2021-02-08,SURF,Goater Jeff,CEO,S - Sale+OE,$12.50,-2500,262000,-1%,"-$31,250",,,,,SURF
4,D,2021-02-03 20:00:35,2021-02-01,SURF,Goater Jeff,CEO,S - Sale+OE,$10.69,-2500,262000,-1%,"-$26,718",,,,,SURF
5,,2021-02-03 20:00:31,2021-02-01,SURF,Fees Jessica,See Remarks,S - Sale,$11.19,-1500,100683,-1%,"-$16,785",,,,,SURF
6,D,2021-01-21 20:17:20,2021-01-19,SURF,Goater Jeff,CEO,S - Sale+OE,$13.00,-5000,262000,-2%,"-$65,000",,,,,SURF
7,M,2021-01-15 20:00:12,2021-01-14,SURF,Ross Robert W.,Chief Medical Officer,S - Sale,$12.02,-9000,89000,-9%,"-$108,150",,,,,SURF
8,A,2020-12-21 15:35:42,2020-12-17,SURF,Grayzel David S.,Dir,S - Sale,$8.10,-1700000,2945453,-37%,"-$13,770,000",,,,,SURF
9,A,2020-12-21 15:35:15,2020-12-17,SURF,"Atlas Venture Fund Ix, L.P.",10%,S - Sale,$8.10,-1700000,2945453,-37%,"-$13,770,000",,,,,SURF
10,,2020-12-21 13:32:57,2020-12-17,SURF,Grayzel David S.,Dir,S - Sale,$18.10,-1700000,2945453,-37%,"-$30,770,000",,,,,SURF
11,,2020-12-21 13:32:27,2020-12-17,SURF,"Atlas Venture Fund Ix, L.P.",10%,S - Sale,$18.10,-1700000,2945453,-37%,"-$30,770,000",,,,,SURF
12,,2020-12-17 20:00:09,2020-12-15,SURF,Ross Robert W.,Chief Medical Officer,S - Sale,$10.48,-1000,98000,-1%,"-$10,480",,,,,SURF
13,,2020-12-15 20:00:09,2020-12-11,SURF,Ross Robert W.,Chief Medical Officer,S - Sale,$10.05,-1405,99000,-1%,"-$14,120",,,,,SURF
14,,2020-11-13 20:00:10,2020-11-11,SURF,Ross Robert W.,Chief Medical Officer,S - Sale,$10.05,-595,100405,-1%,"-$5,980",,,,,SURF
15,,2020-10-16 20:02:46,2020-10-14,SURF,Ross Robert W.,Chief Medical Officer,S - Sale,$10.05,-4000,101000,-4%,"-$40,200",,,,,SURF
16,,2020-09-03 16:17:30,2020-09-01,SURF,"Ecor1 Capital, LLC",10%,S - Sale,$7.14,-332780,4701081,-7%,"-$2,376,681",,,,,SURF
17,,2020-05-22 16:56:45,2020-05-20,SURF,"New Enterprise Associates 14, L.P.",10%,S - Sale,$3.66,-420000,2892877,-13%,"-$1,535,562",,,,,SURF
18,,2020-02-07 16:05:15,2020-02-05,SURF,Goater Jeff,CEO,P - Purchase,$3.23,"+5,000",262000,+2%,"+$16,150",,,,,SURF
19,D,2018-04-23 16:48:47,2018-04-23,SURF,Viswanathan Ravi,10%,P - Purchase,$15.00,"+133,333",3312877,+4%,"+$1,999,995",,,,,SURF
20,D,2018-04-23 16:48:22,2018-04-23,SURF,Sonsini Peter W.,10%,P - Purchase,$15.00,"+133,333",3312877,+4%,"+$1,999,995",,,,,SURF
21,D,2018-04-23 16:47:59,2018-04-23,SURF,Sandell Scott D,10%,P - Purchase,$15.00,"+133,333",3312877,+4%,"+$1,999,995",,,,,SURF
22,D,2018-04-23 16:47:32,2018-04-23,SURF,Mott David M,10%,P - Purchase,$15.00,"+133,333",3312877,+4%,"+$1,999,995",,,,,SURF
23,D,2018-04-23 16:47:07,2018-04-23,SURF,Kerins Patrick J,10%,P - Purchase,$15.00,"+133,333",3312877,+4%,"+$1,999,995",,,,,SURF
24,D,2018-04-23 16:46:43,2018-04-23,SURF,Florence Anthony A. Jr.,10%,P - Purchase,$15.00,"+133,333",3312877,+4%,"+$1,999,995",,,,,SURF
