,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-12-15 19:40:04,2019-12-10,TACO,Aptman Eileen A.,Dir,P - Purchase,$7.40,"+88,952",1240754,+8%,"+$658,556",,,,,TACO
1,M,2020-11-02 18:35:01,2020-10-29,TACO,Levy Ari B.,Dir,P - Purchase,$7.46,"+62,881",3087026,+2%,"+$468,856",,,,,TACO
2,M,2020-10-22 19:39:44,2020-10-20,TACO,Levy Ari B.,Dir,P - Purchase,$7.49,"+67,400",3024145,+2%,"+$504,518",,,,,TACO
3,,2020-08-20 16:06:56,2020-08-18,TACO,Levy Lawrence F,Dir,P - Purchase,$8.38,"+50,800",2970206,+2%,"+$425,704",,,,,TACO
4,,2020-08-12 17:02:15,2020-08-10,TACO,Levy Lawrence F,Dir,P - Purchase,$7.40,+500,2919406,0%,"+$3,700",,,,,TACO
5,M,2020-08-11 17:49:48,2020-08-07,TACO,Levy Ari B.,Dir,P - Purchase,$7.45,"+36,860",2956745,+1%,"+$274,738",,,,,TACO
6,,2020-08-03 20:40:42,2020-07-30,TACO,Levy Ari B.,Dir,P - Purchase,$7.29,"+16,750",2919885,+1%,"+$122,108",,,,,TACO
7,M,2020-07-30 21:29:20,2020-07-28,TACO,Levy Ari B.,Dir,P - Purchase,$7.40,"+24,900",2903135,+1%,"+$184,305",,,,,TACO
8,,2020-05-11 19:31:38,2020-05-07,TACO,Aptman Eileen A.,Dir,P - Purchase,$5.41,"+13,800",1256971,+1%,"+$74,658",,,,,TACO
9,M,2020-03-18 16:08:17,2020-03-16,TACO,Levy Ari B.,Dir,P - Purchase,$2.64,"+229,702",2861842,+9%,"+$606,304",,,,,TACO
10,M,2020-03-17 20:02:39,2020-03-13,TACO,Levy Lawrence F,Dir,P - Purchase,$2.88,"+171,573",2902513,+6%,"+$494,719",,,,,TACO
11,,2020-02-27 16:08:45,2020-02-25,TACO,Levy Ari B.,Dir,P - Purchase,$7.22,"+1,200",2632140,0%,"+$8,664",,,,,TACO
12,,2019-12-16 20:30:49,2019-12-12,TACO,Aptman Eileen A.,Dir,P - Purchase,$7.86,"+91,369",1243171,+8%,"+$717,996",,,,,TACO
13,M,2019-12-10 18:58:35,2019-12-06,TACO,Aptman Eileen A.,Dir,P - Purchase,$7.27,"+63,090",1151802,+6%,"+$458,917",,,,,TACO
14,,2019-05-13 19:01:50,2019-05-09,TACO,Pear David,SVP of Operations,S - Sale,$11.85,-13500,118210,-10%,"-$159,991",,,,,TACO
15,A,2018-12-20 21:34:41,2018-12-17,TACO,Pear David,SVP of Operations,S - Sale,$10.15,-5982,131710,-4%,"-$60,700",,,,,TACO
16,,2018-12-19 18:01:12,2018-12-17,TACO,Pear David,SVP of Operations,S - Sale,$10.15,-5982,131710,-4%,"-$60,700",,,,,TACO
17,,2018-07-03 15:22:54,2018-07-02,TACO,Cappasola John D. Jr.,"Pres, CEO",S - Sale,$13.98,-7500,450664,-2%,"-$104,849",,,,,TACO
18,M,2018-05-22 20:50:25,2018-05-18,TACO,Walsh Patrick,Dir,P - Purchase,$11.55,"+45,000",151958,+42%,"+$519,736",,,,,TACO
19,,2018-05-08 18:17:10,2018-05-04,TACO,Aptman Eileen A.,Dir,P - Purchase,$11.26,"+9,000",1070557,+1%,"+$101,365",,,,,TACO
