,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-03 18:56:58,2021-12-01,TARS,Ackermann Michael,Dir,S - Sale,$24.68,-5833,1204016,0%,"-$143,934",,,,,TARS
1,,2021-12-03 18:55:23,2021-12-01,TARS,Azamian Bobak R.,"Pres, CEO",S - Sale,$24.72,-5833,1205856,0%,"-$144,167",,,,,TARS
2,,2021-11-10 18:29:55,2021-11-08,TARS,Mottiwala Aziz,Chief Commercial Officer,S - Sale,$28.11,-1889,50203,-4%,"-$53,100",,,,,TARS
3,M,2021-11-08 17:49:29,2021-11-04,TARS,Mottiwala Aziz,Chief Commercial Officer,S - Sale,$28.04,-111,52092,0%,"-$3,112",,,,,TARS
4,,2021-11-04 19:03:41,2021-11-02,TARS,Mottiwala Aziz,Chief Commercial Officer,S - Sale,$26.78,-6000,52203,-10%,"-$160,690",,,,,TARS
5,,2021-11-03 19:00:18,2021-11-01,TARS,Ackermann Michael,Dir,S - Sale,$27.82,-5833,1209849,0%,"-$162,289",,,,,TARS
6,,2021-11-03 18:55:39,2021-11-01,TARS,Azamian Bobak R.,"Pres, CEO",S - Sale,$27.82,-5833,1211689,0%,"-$162,284",,,,,TARS
7,,2021-10-14 16:48:29,2021-10-12,TARS,Ackermann Michael,Dir,S - Sale,$26.27,-5633,1215682,0%,"-$148,000",,,,,TARS
8,,2021-10-14 16:44:50,2021-10-12,TARS,Azamian Bobak R.,"Pres, CEO",S - Sale,$26.30,-5531,1217522,0%,"-$145,448",,,,,TARS
9,,2021-10-12 18:47:37,2021-10-08,TARS,Ackermann Michael,Dir,S - Sale,$25.03,-200,1221315,0%,"-$5,006",,,,,TARS
10,,2021-10-12 18:43:32,2021-10-08,TARS,Azamian Bobak R.,"Pres, CEO",S - Sale,$25.02,-302,1223053,0%,"-$7,555",,,,,TARS
11,D,2021-09-14 16:51:01,2021-09-10,TARS,Mottiwala Aziz,Chief Commercial Officer,S - Sale+OE,$22.15,-2593,58203,-4%,"-$57,435",,,,,TARS
12,,2021-09-03 18:53:56,2021-09-01,TARS,Ackermann Michael,Dir,S - Sale,$25.24,-5833,1221515,0%,"-$147,237",,,,,TARS
13,,2021-09-03 17:51:26,2021-09-01,TARS,Azamian Bobak R.,"Pres, CEO",S - Sale,$25.25,-5833,1223355,0%,"-$147,301",,,,,TARS
14,,2021-08-12 17:27:31,2021-08-11,TARS,Ackermann Michael,Dir,S - Sale,$25.15,-621,1227348,0%,"-$15,619",,,,,TARS
15,M,2021-08-12 17:26:18,2021-08-10,TARS,Azamian Bobak R.,"Pres, CEO",S - Sale,$25.07,-2020,1229188,0%,"-$50,636",,,,,TARS
16,M,2021-08-10 16:55:05,2021-08-06,TARS,Ackermann Michael,Dir,S - Sale,$25.00,-3829,1227969,0%,"-$95,725",,,,,TARS
17,M,2021-08-10 16:53:10,2021-08-06,TARS,Azamian Bobak R.,"Pres, CEO",S - Sale,$25.01,-2443,1231208,0%,"-$61,088",,,,,TARS
18,,2021-08-06 16:16:03,2021-08-05,TARS,Ackermann Michael,Dir,S - Sale,$25.00,-1383,1231798,0%,"-$34,577",,,,,TARS
19,,2021-08-06 16:14:41,2021-08-05,TARS,Azamian Bobak R.,"Pres, CEO",S - Sale,$25.00,-1370,1233651,0%,"-$34,250",,,,,TARS
20,M,2021-06-25 21:30:34,2021-06-23,TARS,"Vivo Capital Ix, LLC",10%,S - Sale,$29.79,-55684,2987331,-2%,"-$1,658,842",,,,,TARS
21,M,2021-06-25 20:51:40,2021-06-21,TARS,"Vivo Capital Ix, LLC",10%,S - Sale,$29.05,-201620,3043015,-6%,"-$5,856,114",,,,,TARS
22,,2021-05-07 20:01:03,2021-05-07,TARS,"Rtw Investments, LP",10%,S - Sale,$29.98,-450000,2013601,-18%,"-$13,491,000",,,,,TARS
23,,2021-04-16 21:07:43,2021-04-14,TARS,"Vivo Capital Ix, LLC",10%,S - Sale,$30.37,-400,3244635,0%,"-$12,148",,,,,TARS
24,D,2020-10-20 20:01:18,2020-10-20,TARS,"Frazier Life Sciences Ix, L.P.",10%,P - Purchase,$16.00,"+312,500",1917157,+19%,"+$5,000,000",,,,,TARS
25,D,2020-10-20 19:59:46,2020-10-20,TARS,Horowitz Limited Partnership VIII,10%,P - Purchase,$16.00,"+184,375",1987105,+10%,"+$2,950,000",,,,,TARS
26,D,2020-10-20 19:58:22,2020-10-20,TARS,"Vivo Capital Ix, LLC",10%,P - Purchase,$16.00,"+250,000",3245035,+8%,"+$4,000,000",,,,,TARS
27,D,2020-10-20 19:56:09,2020-10-20,TARS,Tester Jason E.,"Dir, 10%",P - Purchase,$16.00,"+171,875",1949331,+10%,"+$2,750,000",,,,,TARS
