,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2020-08-25 17:13:16,2020-08-21,TCBK,Smith Richard P,"CEO, Pres",S - Sale,$28.44,-30000,241640,-11%,"-$853,200",,,,,TCBK
1,,2020-06-12 13:54:18,2020-06-10,TCBK,Walker W Virginia,Dir,S - Sale,$31.46,-2000,9320,-18%,"-$62,920",,,,,TCBK
2,,2019-12-13 14:47:32,2019-12-12,TCBK,Walker W Virginia,Dir,S - Sale,$39.62,-2000,8597,-19%,"-$79,245",,,,,TCBK
3,,2019-09-12 19:17:03,2019-09-12,TCBK,Carney Craig B,"EVP, Chief Credit Officer",S - Sale,$36.38,-5122,37461,-12%,"-$186,338",,,,,TCBK
4,A,2019-08-19 11:33:40,2019-08-08,TCBK,Carney Craig B,"EVP, Chief Credit Officer",S - Sale,$37.02,-5166,42583,-11%,"-$191,245",,,,,TCBK
5,,2019-08-09 15:06:16,2019-08-08,TCBK,Carney Craig B,"EVP, Chief Credit Officer",S - Sale,$37.02,-5166,42583,-11%,"-$191,245",,,,,TCBK
6,,2019-08-07 18:34:04,2019-08-07,TCBK,Koehnen Michael W,Dir,P - Purchase,$35.83,"+15,000",192096,+8%,"+$537,450",,,,,TCBK
7,,2019-02-13 18:10:51,2019-02-11,TCBK,Walker W Virginia,Dir,S - Sale,$37.62,-3632,10078,-26%,"-$136,629",,,,,TCBK
8,A,2018-12-20 17:20:30,2018-12-06,TCBK,Wiese Peter G,"EVP, CFO",P - Purchase,$36.00,"+1,250",1250,New,"+$45,000",,,,,TCBK
9,,2018-12-19 20:46:09,2018-12-06,TCBK,Wiese Peter G,"EVP, CFO",S - Sale,$36.00,-1250,1250,-50%,"-$45,000",,,,,TCBK
10,A,2018-12-19 19:14:48,2018-12-14,TCBK,Giese Cory W,Dir,S - Sale,$35.73,-2000,4210,-32%,"-$71,460",,,,,TCBK
11,A,2018-12-19 19:05:13,2018-12-14,TCBK,Walker W Virginia,Dir,S - Sale,$35.48,-3443,7078,-33%,"-$122,158",,,,,TCBK
12,,2018-12-17 18:51:22,2018-12-14,TCBK,Giese Cory W,EVP Wholesale Banking,S - Sale,$35.73,-2000,4710,-30%,"-$71,460",,,,,TCBK
13,,2018-12-17 18:50:40,2018-12-14,TCBK,Walker W Virginia,EVP Wholesale Banking,S - Sale,$35.48,-3443,7078,-33%,"-$122,158",,,,,TCBK
