,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-17 16:00:01,2021-12-15,TRST,McCormick Robert J,"COB, Pres, CEO",P - Purchase,$32.40,"+3,500",325881,+1%,"+$113,400",,,,,TRST
1,,2021-11-30 15:13:08,2021-09-03,TRST,Ozimek Michael M,"EVP, CFO",P - Purchase,$31.72,+500,3687,+16%,"+$15,860",,,,,TRST
2,,2021-11-29 16:28:51,2021-11-26,TRST,Schreck Eric W,EVP,P - Purchase,$32.68,+306,22212,+1%,"+$10,000",,,,,TRST
3,,2021-11-29 16:12:21,2021-11-26,TRST,Curley Kevin M,"EVP, COO",P - Purchase,$32.22,+600,25816,+2%,"+$19,332",,,,,TRST
4,,2021-11-29 16:07:22,2021-11-26,TRST,Hall Michael James,"GC, Secretary",P - Purchase,$32.35,+250,2580,+11%,"+$8,088",,,,,TRST
5,,2021-11-24 16:38:19,2021-11-23,TRST,Leonard Robert M,"EVP, CHIEF RISK OFFICER",P - Purchase,$34.15,+640,25748,+3%,"+$21,856",,,,,TRST
6,,2021-11-02 17:30:25,2021-11-01,TRST,Silverman Frank B,Dir,P - Purchase,$34.30,+152,4152,+4%,"+$5,214",,,,,TRST
7,,2021-09-09 16:50:16,2021-09-07,TRST,Schreck Eric W,EVP,P - Purchase,$31.66,+315,21681,+1%,"+$9,973",,,,,TRST
8,,2021-09-07 17:13:52,2021-09-03,TRST,Ozimek Michael M,"EVP, CFO",P - Purchase,$31.72,+500,3687,+16%,"+$15,860",,,,,TRST
9,D,2021-09-07 16:21:42,2021-09-03,TRST,McCormick Robert J,"COB, Pres, CEO",P - Purchase,$31.63,"+6,194",320050,+2%,"+$195,916",,,,,TRST
10,,2021-09-07 16:13:03,2021-09-03,TRST,Curley Kevin M,"EVP, COO",P - Purchase,$31.59,"+1,275",25068,+5%,"+$40,277",,,,,TRST
11,,2021-08-18 15:14:05,2021-08-17,TRST,Russell Kimberly Adams,Dir,P - Purchase,$33.44,"+1,200",3600,+50%,"+$40,128",,,,,TRST
12,,2021-08-09 15:28:10,2021-08-06,TRST,Leonard Robert M,"EVP, CHIEF RISK OFFICER",P - Purchase,$34.16,+850,24938,+4%,"+$29,036",,,,,TRST
13,,2021-08-03 13:42:12,2021-07-30,TRST,Silverman Frank B,Dir,P - Purchase,$33.66,"+1,000",4000,+33%,"+$33,655",,,,,TRST
14,,2021-06-08 17:29:07,2021-06-07,TRST,Curley Kevin M,"EVP, COO",P - Purchase,$36.05,+430,23651,+2%,"+$15,502",,,,,TRST
15,,2021-06-02 15:34:24,2021-06-01,TRST,Leonard Robert M,"EVP, CHIEF RISK OFFICER",P - Purchase,$38.00,+604,23925,+3%,"+$22,952",,,,,TRST
16,,2021-04-30 16:29:56,2021-04-29,TRST,Curley Kevin M,"EVP, COO",P - Purchase,$7.43,"+1,325",116116,+1%,"+$9,851",,,,,TRST
17,,2021-03-02 17:20:02,2021-03-01,TRST,Russell Kimberly Adams,Dir,P - Purchase,$7.10,"+5,000",12000,+71%,"+$35,500",,,,,TRST
18,,2021-02-26 15:32:16,2021-02-25,TRST,Curley Kevin M,"EVP, COO",P - Purchase,$7.03,"+3,000",114159,+3%,"+$21,085",,,,,TRST
19,,2020-12-14 16:11:47,2020-12-11,TRST,Curley Kevin M,"EVP, COO",P - Purchase,$6.36,"+2,500",110485,+2%,"+$15,890",,,,,TRST
20,,2020-11-30 13:11:24,2020-11-27,TRST,Leonard Robert M,"EVP, CHIEF RISK OFFICER",P - Purchase,$6.21,"+7,252",115121,+7%,"+$45,035",,,,,TRST
21,,2020-11-20 13:07:05,2020-11-20,TRST,Schreck Eric W,"SVP, TREASURER",P - Purchase,$6.12,"+1,633",103984,+2%,"+$9,994",,,,,TRST
22,,2020-11-17 17:31:08,2020-11-17,TRST,Silverman Frank B,Dir,P - Purchase,$6.21,"+5,000",15000,+50%,"+$31,050",,,,,TRST
23,,2020-11-04 15:56:50,2020-11-02,TRST,Russell Kimberly Adams,Dir,P - Purchase,$5.59,"+5,000",7000,+250%,"+$27,950",,,,,TRST
24,,2020-11-03 16:49:34,2020-11-02,TRST,De Gennaro Dennis A,Dir,P - Purchase,$5.61,+900,116169,+1%,"+$5,046",,,,,TRST
25,,2020-09-11 12:00:16,2020-09-10,TRST,Curley Kevin M,"EVP, COO",P - Purchase,$5.61,"+2,500",107151,+2%,"+$14,025",,,,,TRST
26,,2020-09-04 09:07:44,2020-09-02,TRST,Silverman Frank B,Dir,P - Purchase,$5.85,"+10,000",10000,New,"+$58,500",,,,,TRST
