,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-04 14:10:00,2021-11-02,UVSP,Aichele William S,Dir,S - Sale+OE,$30.14,-4306,143027,-3%,"-$129,764",,,,,UVSP
1,,2021-11-03 11:42:35,2021-11-01,UVSP,Ballou Roger H,Dir,S - Sale,$29.67,-9913,22994,-30%,"-$294,091",,,,,UVSP
2,,2021-11-01 14:03:34,2021-11-01,UVSP,Paquin Natalye,Dir,P - Purchase,$29.12,+445,10750,+4%,"+$12,958",,,,,UVSP
3,,2021-09-08 16:23:07,2021-09-07,UVSP,Keim Michael S,Senior EVP,S - Sale,$27.16,-1,32972,0%,-$14,,,,,UVSP
4,,2021-09-08 16:20:59,2021-09-07,UVSP,Brobst Duane J,"Sr EVP, Chief Credit Officer",S - Sale,$27.16,-0,40079,0%,-$13,,,,,UVSP
5,,2021-08-05 15:06:11,2021-08-05,UVSP,Paquin Natalye,Dir,P - Purchase,$27.14,+435,10279,+4%,"+$11,806",,,,,UVSP
6,D,2021-06-10 14:59:33,2021-06-08,UVSP,Aichele William S,Dir,S - Sale+OE,$29.50,-1241,143027,-1%,"-$36,610",,,,,UVSP
7,,2021-06-01 17:02:18,2021-05-28,UVSP,Moyer K Leon,Dir,S - Sale,$28.99,-2500,73320,-3%,"-$72,475",,,,,UVSP
8,,2021-05-28 09:39:58,2021-05-27,UVSP,Moyer K Leon,Dir,S - Sale,$28.76,-2500,75820,-3%,"-$71,908",,,,,UVSP
9,,2021-05-17 14:13:33,2021-05-14,UVSP,Moyer K Leon,Dir,S - Sale,$29.07,-5000,78318,-6%,"-$145,340",,,,,UVSP
10,M,2021-05-05 15:28:54,2021-05-03,UVSP,Moyer K Leon,Dir,S - Sale,$28.93,-384,83318,0%,"-$11,110",,,,,UVSP
11,,2021-05-03 13:05:38,2021-05-03,UVSP,Paquin Natalye,Dir,P - Purchase,$28.36,+515,9819,+6%,"+$14,605",,,,,UVSP
12,,2021-03-15 13:55:06,2021-03-12,UVSP,Ballou Roger H,Dir,S - Sale,$29.26,-10000,32854,-23%,"-$292,608",,,,,UVSP
13,,2021-03-12 11:22:06,2021-03-11,UVSP,Moyer K Leon,Dir,S - Sale,$28.76,-1000,83702,-1%,"-$28,763",,,,,UVSP
14,,2021-02-26 11:43:02,2021-02-25,UVSP,Beebe Joseph P,Dir,P - Purchase,$26.51,"+2,500",6500,+63%,"+$66,285",,,,,UVSP
15,,2021-02-23 13:44:21,2021-02-22,UVSP,Beebe Joseph P,Dir,P - Purchase,$24.78,"+4,000",4000,New,"+$99,104",,,,,UVSP
16,D,2021-02-02 15:17:54,2021-02-01,UVSP,Paquin Natalye,Dir,P - Purchase,$22.79,+510,9277,+6%,"+$11,621",,,,,UVSP
17,D,2020-11-10 14:55:18,2020-11-09,UVSP,Aichele William S,Dir,S - Sale+OE,$18.36,-9000,144643,-6%,"-$165,195",,,,,UVSP
18,DM,2020-11-10 14:51:20,2020-11-09,UVSP,Schweitzer Jeffrey M,"Pres, CEO",S - Sale+OE,$18.50,-4500,53050,-8%,"-$83,250",,,,,UVSP
19,,2020-11-02 15:09:40,2020-11-02,UVSP,Paquin Natalye,Dir,P - Purchase,$16.01,+785,7383,+12%,"+$12,566",,,,,UVSP
20,,2020-08-03 16:39:46,2020-08-03,UVSP,Paquin Natalye,Dir,P - Purchase,$15.24,+900,6570,+16%,"+$13,712",,,,,UVSP
21,,2020-05-13 10:34:22,2020-05-12,UVSP,Moyer Glenn E,Dir,P - Purchase,$15.00,+500,12827,+4%,"+$7,500",,,,,UVSP
22,,2020-05-12 16:11:50,2020-05-12,UVSP,Keenan Suzanne,Dir,P - Purchase,$15.42,"+6,600",12100,+120%,"+$101,753",,,,,UVSP
23,,2020-05-11 11:01:08,2020-05-05,UVSP,Moyer Glenn E,Dir,P - Purchase,$16.00,"+1,000",23654,+4%,"+$16,000",,,,,UVSP
