,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-06 10:06:10,2021-12-03,VBIV,Beattie Nell,Chief Business Officer,P - Purchase,$2.45,"+8,200",68200,+14%,"+$20,083",,,,,VBIV
1,,2021-12-03 18:22:55,2021-12-01,VBIV,Perceptive Advisors LLC,10%,S - Sale,$3.31,-2707463,52334993,-5%,"-$8,961,703",,,,,VBIV
2,,2021-06-30 16:40:07,2021-06-29,VBIV,Perceptive Advisors LLC,10%,S - Sale,$3.80,-646257,55042456,-1%,"-$2,455,777",,,,,VBIV
3,D,2021-06-11 18:41:54,2021-06-09,VBIV,Perceptive Advisors LLC,10%,S - Sale+OE,$4.00,-1422567,55188004,-3%,"-$5,690,268",,,,,VBIV
4,,2020-04-28 09:00:21,2020-04-24,VBIV,Perceptive Advisors LLC,10%,P - Purchase,$1.10,"+9,090,909",55042456,+20%,"+$10,000,000",,,,,VBIV
5,M,2019-10-07 11:35:57,2019-09-30,VBIV,Diaz-Mitoma Francisco,Chief Medical Officer,P - Purchase,$0.50,"+54,500",420243,+15%,"+$27,250",,,,,VBIV
6,,2019-10-01 12:39:57,2019-10-01,VBIV,McNulty Christopher,"CFO, Head of BD",P - Purchase,$0.47,"+12,000",37000,+48%,"+$5,676",,,,,VBIV
7,,2019-10-01 12:39:04,2019-10-01,VBIV,Beattie Nell,Chief Business Officer,P - Purchase,$0.48,"+10,000",60000,+20%,"+$4,822",,,,,VBIV
8,,2019-09-30 16:22:25,2019-09-30,VBIV,Baxter Jeff,"CEO, Pres",P - Purchase,$0.50,"+150,000",608255,+33%,"+$75,450",,,,,VBIV
9,,2019-09-24 18:30:36,2019-09-23,VBIV,Perceptive Advisors LLC,10%,P - Purchase,$0.50,"+20,000,000",45951556,+77%,"+$10,000,000",,,,,VBIV
10,,2019-07-01 06:10:19,2019-06-27,VBIV,Diaz-Mitoma Francisco,Chief Medical Officer,P - Purchase,$1.07,"+8,000",365743,+2%,"+$8,560",,,,,VBIV
11,,2019-06-20 15:59:48,2019-06-20,VBIV,Diaz-Mitoma Francisco,Chief Medical Officer,P - Purchase,$0.87,"+52,000",357743,+17%,"+$45,180",,,,,VBIV
12,,2019-06-20 10:19:32,2019-06-18,VBIV,Perceptive Advisors LLC,10%,P - Purchase,$0.65,"+1,000,000",25951556,+4%,"+$650,000",,,,,VBIV
13,,2019-06-19 12:20:38,2019-06-19,VBIV,Beattie Nell,Chief Business Officer,P - Purchase,$0.74,"+8,000",50000,+19%,"+$5,886",,,,,VBIV
14,,2019-06-19 12:17:52,2019-06-19,VBIV,Baxter Jeff,"CEO, Pres",P - Purchase,$0.73,"+144,000",458255,+46%,"+$105,336",,,,,VBIV
15,,2019-06-18 11:10:01,2019-06-17,VBIV,Perceptive Advisors LLC,10%,P - Purchase,$0.62,"+1,000,000",24951556,+4%,"+$618,000",,,,,VBIV
16,,2018-12-18 12:10:05,2018-12-17,VBIV,Kariv Tomer,Dir,P - Purchase,$1.40,"+1,428,571",3723654,+62%,"+$1,999,999",,,,,VBIV
17,,2018-12-17 09:02:16,2018-12-13,VBIV,Perceptive Advisors LLC,10%,P - Purchase,$1.40,"+14,285,714",23631439,+153%,"+$20,000,000",,,,,VBIV
18,,2018-08-07 20:38:12,2018-08-06,VBIV,Baxter Jeff,"CEO, Pres",P - Purchase,$1.93,"+8,100",233005,+4%,"+$15,607",,,,,VBIV
19,M,2018-08-06 14:37:31,2018-08-02,VBIV,Diaz-Mitoma Francisco,Chief Medical Officer,P - Purchase,$2.13,"+9,000",305743,+3%,"+$19,200",,,,,VBIV
20,,2018-08-06 11:06:31,2018-08-03,VBIV,Baxter Jeff,"CEO, Pres",P - Purchase,$2.01,"+13,500",224905,+6%,"+$27,111",,,,,VBIV
21,,2018-08-03 15:21:56,2018-08-03,VBIV,Beattie Nell,Chief Business Officer,P - Purchase,$2.01,"+2,000",20750,+11%,"+$4,011",,,,,VBIV
22,,2018-08-01 13:39:55,2018-07-31,VBIV,Baxter Jeff,"CEO, Pres",P - Purchase,$2.28,"+16,800",211405,+9%,"+$38,237",,,,,VBIV
23,,2018-05-25 13:54:17,2018-05-24,VBIV,Baxter Jeff,"CEO, Pres",P - Purchase,$2.99,"+11,000",163355,+7%,"+$32,890",,,,,VBIV
24,,2018-05-14 16:56:03,2018-05-11,VBIV,Diaz-Mitoma Francisco,Chief Medical Officer,P - Purchase,$3.05,"+10,000",296743,+3%,"+$30,475",,,,,VBIV
25,,2018-05-14 16:54:48,2018-05-11,VBIV,Baxter Jeff,"CEO, Pres",P - Purchase,$2.91,"+7,100",152355,+5%,"+$20,661",,,,,VBIV
