,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-30 12:27:45,2021-06-29,VLGEA,Sumas William,"EVP, 10%",S - Sale,$23.49,-1830,156448,-1%,"-$42,990",,,,,VLGEA
1,M,2021-03-11 19:24:16,2021-03-09,VLGEA,Van Orden John L,CFO,S - Sale,$26.03,-4136,22000,-16%,"-$107,650",,,,,VLGEA
2,,2021-01-22 17:17:29,2021-01-22,VLGEA,Sumas William,"EVP, 10%",S - Sale,$21.69,-3124,158278,-2%,"-$67,745",,,,,VLGEA
3,,2021-01-22 13:08:41,2021-01-21,VLGEA,Sumas William,"EVP, 10%",S - Sale,$22.13,-2600,161402,-2%,"-$57,550",,,,,VLGEA
4,,2021-01-21 13:12:10,2021-01-20,VLGEA,Sumas William,"EVP, 10%",S - Sale,$22.14,-3276,164002,-2%,"-$72,516",,,,,VLGEA
5,,2021-01-04 16:10:05,2021-01-04,VLGEA,Sumas John,"EVP, 10%",S - Sale,$21.73,-596,114422,-1%,"-$12,954",,,,,VLGEA
6,,2020-12-28 11:11:23,2020-12-16,VLGEA,Begley Kevin,Dir,S - Sale,$22.77,-9650,54394,-15%,"-$219,731",,,,,VLGEA
7,M,2020-10-26 14:27:02,2020-10-13,VLGEA,Sumas William,"EVP, 10%",S - Sale,$24.02,-4766,167278,-3%,"-$114,496",,,,,VLGEA
8,,2020-07-21 16:11:13,2020-07-20,VLGEA,Sumas John,"EVP, 10%",S - Sale,$26.28,-4277,115018,-4%,"-$112,382",,,,,VLGEA
9,,2020-07-20 11:47:42,2020-07-17,VLGEA,Sumas John,"EVP, 10%",S - Sale,$27.09,-10723,119295,-8%,"-$290,513",,,,,VLGEA
10,,2020-06-30 10:31:05,2020-06-25,VLGEA,Lavoy Peter,Dir,S - Sale,$25.63,-3000,38828,-7%,"-$76,890",,,,,VLGEA
11,,2019-07-29 15:27:16,2019-07-26,VLGEA,Sumas John,"EVP, 10%",S - Sale,$24.48,-2000,114422,-2%,"-$48,953",,,,,VLGEA
12,,2019-07-03 14:00:49,2019-06-12,VLGEA,Sumas William,"EVP, 10%",S - Sale,$25.46,-70263,156448,-31%,"-$1,788,896",,,,,VLGEA
13,,2019-04-18 16:15:59,2019-04-15,VLGEA,Lavoy Peter,Dir,S - Sale,$27.41,-2500,31028,-7%,"-$68,525",,,,,VLGEA
14,,2019-04-03 11:04:33,2019-04-01,VLGEA,Lavoy Peter,Dir,S - Sale,$26.49,-2500,33528,-7%,"-$66,225",,,,,VLGEA
15,,2019-04-03 10:31:35,2019-04-01,VLGEA,Sumas John,"EVP, 10%",S - Sale,$26.73,-383,116422,0%,"-$10,238",,,,,VLGEA
16,,2018-07-02 16:09:00,2018-07-02,VLGEA,Judge David,Dir,S - Sale,$29.47,-1196,7200,-14%,"-$35,246",,,,,VLGEA
17,,2018-06-25 15:06:15,2018-06-25,VLGEA,Judge David,Dir,S - Sale,$31.25,-2500,10400,-19%,"-$78,125",,,,,VLGEA
18,,2018-04-26 16:08:35,2018-04-24,VLGEA,Sumas John,"EVP, 10%",S - Sale,$27.28,-2000,116805,-2%,"-$54,560",,,,,VLGEA
19,,2018-04-16 16:32:53,2018-04-13,VLGEA,Judge David,Dir,S - Sale,$26.40,-1000,12900,-7%,"-$26,400",,,,,VLGEA
20,,2018-04-11 16:52:29,2018-04-10,VLGEA,Judge David,Dir,S - Sale,$27.08,-2000,13900,-13%,"-$54,160",,,,,VLGEA
21,,2018-04-02 14:58:10,2018-04-02,VLGEA,Perri Luigi,Controller,S - Sale,$26.50,-600,6093,-9%,"-$15,900",,,,,VLGEA
22,,2018-04-02 12:23:42,2018-03-29,VLGEA,Van Orden John L,CFO,S - Sale,$26.25,-1500,18138,-8%,"-$39,375",,,,,VLGEA
23,,2018-01-26 10:20:37,2018-01-25,VLGEA,Sumas John,"EVP, 10%",S - Sale,$23.83,-7000,118805,-6%,"-$166,810",,,,,VLGEA
24,,2018-01-05 15:54:56,2018-01-03,VLGEA,Sumas John,"EVP, 10%",S - Sale,$22.96,-4800,125805,-4%,"-$110,227",,,,,VLGEA
