,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-14 16:33:51,2021-09-13,VRA,Wallstrom Robert,"Pres, Chief Exec Officer",P - Purchase,$10.47,"+2,000",512243,0%,"+$20,940",,,,,VRA
1,,2021-09-13 16:46:00,2021-09-10,VRA,Schmults Edward M,Dir,S - Sale,$10.65,-9300,50510,-16%,"-$99,045",,,,,VRA
2,,2021-07-02 17:01:00,2021-07-01,VRA,Hull Daren,Vera Bradley Brand Pres,S - Sale,$12.26,-15000,114179,-12%,"-$183,900",,,,,VRA
3,,2021-06-15 16:59:55,2021-06-14,VRA,Hull Daren,Vera Bradley Brand Pres,S - Sale,$12.70,-15000,141600,-10%,"-$190,500",,,,,VRA
4,,2021-06-14 17:13:55,2021-06-11,VRA,Philip Frances P,Dir,S - Sale,$12.66,-12000,53518,-18%,"-$151,920",,,,,VRA
5,,2021-06-14 17:13:38,2021-06-11,VRA,Dely Mark C,Chief Administrative Officer,S - Sale,$12.39,-9011,67293,-12%,"-$111,646",,,,,VRA
6,,2021-06-14 17:13:02,2021-06-11,VRA,Enwright John,Chief Fin. Officer,S - Sale,$12.41,-15000,82447,-15%,"-$186,150",,,,,VRA
7,,2021-06-07 16:15:16,2021-06-04,VRA,Miller Patricia R.,10%,S - Sale,$12.50,-4379,3042590,0%,"-$54,738",,,,,VRA
8,,2021-06-07 16:14:32,2021-06-04,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$12.50,-4379,3042590,0%,"-$54,738",,,,,VRA
9,M,2021-06-04 16:08:42,2021-06-02,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$12.30,-41979,3046969,-1%,"-$516,133",,,,,VRA
10,M,2021-06-04 16:08:15,2021-06-02,VRA,Miller Patricia R.,10%,S - Sale,$12.30,-41979,3046969,-1%,"-$516,133",,,,,VRA
11,M,2021-06-02 16:30:38,2021-05-28,VRA,Miller Patricia R.,10%,S - Sale,$11.69,-76085,3088948,-2%,"-$889,572",,,,,VRA
12,M,2021-06-02 16:30:18,2021-05-28,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$11.69,-76085,3088948,-2%,"-$889,572",,,,,VRA
13,M,2021-05-28 16:18:16,2021-05-26,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$11.05,-30052,3165033,-1%,"-$332,194",,,,,VRA
14,M,2021-05-28 16:17:40,2021-05-26,VRA,Miller Patricia R.,10%,S - Sale,$11.05,-30052,3165033,-1%,"-$332,194",,,,,VRA
15,M,2021-05-26 16:06:40,2021-05-24,VRA,Miller Patricia R.,10%,S - Sale,$10.45,-37562,3195085,-1%,"-$392,455",,,,,VRA
16,M,2021-05-26 16:06:14,2021-05-24,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$10.45,-37562,3195085,-1%,"-$392,455",,,,,VRA
17,M,2021-05-24 16:21:35,2021-05-20,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$10.46,-30571,3232647,-1%,"-$319,866",,,,,VRA
18,M,2021-05-24 16:21:12,2021-05-20,VRA,Miller Patricia R.,10%,S - Sale,$10.46,-30571,3232647,-1%,"-$319,866",,,,,VRA
19,M,2021-05-20 16:06:32,2021-05-18,VRA,Miller Patricia R.,10%,S - Sale,$10.77,-23652,3263218,-1%,"-$254,837",,,,,VRA
20,M,2021-05-20 16:06:13,2021-05-18,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$10.77,-23652,3263218,-1%,"-$254,837",,,,,VRA
21,M,2021-05-18 16:28:47,2021-05-14,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$10.87,-18426,3286870,-1%,"-$200,247",,,,,VRA
22,M,2021-05-18 16:27:39,2021-05-14,VRA,Miller Patricia R.,10%,S - Sale,$10.87,-18426,3286870,-1%,"-$200,247",,,,,VRA
23,M,2021-05-14 16:30:28,2021-05-12,VRA,Miller Patricia R.,10%,S - Sale,$10.49,-41225,3305296,-1%,"-$432,472",,,,,VRA
24,M,2021-05-14 16:30:19,2021-05-12,VRA,Miller P. Michael,"Dir, 10%",S - Sale,$10.49,-41225,3305296,-1%,"-$432,472",,,,,VRA
