,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-05-28 16:14:07,2021-05-27,AEE,Diya Fadi M,SVP & CNO of Subsidiary,S - Sale,$83.91,-8000,86563,-8%,"-$671,280",,,,,AEE
1,,2021-04-02 16:11:45,2021-03-31,AEE,Mark Richard J,Chmn & President of Subsidiary,S - Sale,$81.17,-6000,161943,-4%,"-$487,020",,,,,AEE
2,,2021-03-12 16:42:45,2021-03-11,AEE,Moehn Michael L,"EVP, CFO",S - Sale,$76.10,-10000,151056,-6%,"-$761,000",,,,,AEE
3,,2021-03-12 16:42:08,2021-03-11,AEE,Birk Mark C,SVP of Subsidiary,S - Sale,$76.10,-2000,77551,-3%,"-$152,200",,,,,AEE
4,,2021-03-02 16:41:00,2021-03-01,AEE,Lyons Martin J,Chmn & President of Subsidiary,S - Sale,$71.15,-16242,194628,-8%,"-$1,155,618",,,,,AEE
5,,2021-03-02 16:38:41,2021-03-01,AEE,Baxter Warner L,"COB, Pres, CEO",S - Sale,$71.24,-33014,422426,-7%,"-$2,351,917",,,,,AEE
6,,2021-03-02 16:36:50,2021-03-01,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$71.07,-4279,56570,-7%,"-$304,109",,,,,AEE
7,,2021-03-02 16:36:25,2021-03-01,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$71.10,-2455,43234,-5%,"-$174,551",,,,,AEE
8,,2021-03-02 16:34:58,2021-03-01,AEE,Schukar Shawn E,Chmn & President of Subsidiary,S - Sale,$71.03,-1622,50929,-3%,"-$115,211",,,,,AEE
9,,2021-03-01 16:37:55,2021-02-25,AEE,Nwamu Chonda J,"SVP, GC, Secretary",S - Sale,$72.00,-2300,16354,-12%,"-$165,600",,,,,AEE
10,,2020-11-23 20:33:52,2020-11-19,AEE,Mark Richard J,Chmn & President of Subsidiary,S - Sale,$78.00,-6300,159466,-4%,"-$491,400",,,,,AEE
11,,2020-11-23 20:32:01,2020-11-19,AEE,Lyons Martin J,Chmn & President of Subsidiary,S - Sale,$78.00,-3800,197683,-2%,"-$296,400",,,,,AEE
12,,2020-03-16 16:16:32,2020-03-13,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$73.85,-3650,39356,-8%,"-$269,553",,,,,AEE
13,,2020-03-16 16:16:11,2020-03-12,AEE,Birk Mark C,SVP of Subsidiary,S - Sale,$73.07,-5000,71503,-7%,"-$365,350",,,,,AEE
14,,2020-03-09 16:24:41,2020-03-05,AEE,Nwamu Chonda J,"SVP, GC, Secretary",S - Sale,$86.00,-1693,11930,-12%,"-$145,598",,,,,AEE
15,,2020-03-03 16:20:09,2020-03-02,AEE,Baxter Warner L,"COB, Pres, CEO",S - Sale,$79.68,-26901,400745,-6%,"-$2,143,472",,,,,AEE
16,,2020-03-03 16:19:48,2020-03-02,AEE,Schukar Shawn E,Chmn & President of Subsidiary,S - Sale,$79.36,-1587,44305,-3%,"-$125,944",,,,,AEE
17,,2020-03-03 16:19:26,2020-03-02,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$79.60,-4571,55813,-8%,"-$363,852",,,,,AEE
18,,2020-03-03 16:18:43,2020-03-02,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$79.68,-2392,43006,-5%,"-$190,595",,,,,AEE
19,,2020-03-03 16:18:00,2020-03-02,AEE,Lyons Martin J,Chmn & President of Subsidiary,S - Sale,$79.61,-11605,184126,-6%,"-$923,874",,,,,AEE
20,,2019-06-14 16:15:20,2019-06-13,AEE,Heger Mary P,SVP of Subsidiary,S - Sale,$76.02,-3000,59579,-5%,"-$228,060",,,,,AEE
21,,2019-05-28 16:30:45,2019-05-23,AEE,Schukar Shawn E,Chmn & President of Subsidiary,S - Sale,$75.27,-1200,36072,-3%,"-$90,324",,,,,AEE
