,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-06-16 16:21:27,2021-06-14,AMCR,Delia Ronald Stephen,CEO,S - Sale+OE,$12.15,-464045,1200583,-28%,"-$5,638,147",,,,,AMCR
1,,2021-05-19 12:51:10,2021-05-17,AMCR,Nayar Arun,Dir,S - Sale,$12.35,-50000,0,-100%,"-$617,500",,,,,AMCR
2,D,2021-05-11 16:46:19,2021-05-07,AMCR,Wilson Ian,EVP,S - Sale+OE,$12.36,-195200,0,-100%,"-$2,412,672",,,,,AMCR
3,M,2021-03-22 16:16:58,2020-10-14,AMCR,Long Nicholas T.,Dir,P - Purchase,$9.71,546,8302,+7%,"+$5,304",,,,,AMCR
4,M,2021-03-22 16:16:58,2019-08-26,AMCR,Long Nicholas T.,Dir,S - Sale,$9.58,-275,8302,-3%,"-$2,636",,,,,AMCR
5,D,2020-08-31 12:53:52,2020-08-27,AMCR,Konieczny Peter,"Pres, Amcor Flexibles",S - Sale+OE,$11.06,-111241,293829,-27%,"-$1,230,058",,,,,AMCR
6,D,2020-08-25 17:58:52,2020-08-21,AMCR,Konieczny Peter,"Pres, Amcor Flexibles",S - Sale+OE,$11.25,-48989,236505,-17%,"-$551,126",,,,,AMCR
7,,2020-03-18 11:18:05,2020-03-16,AMCR,Roegner Eric V,"Pres,Amcor Rigid Plastics",P - Purchase,$5.93,31600,71600,+79%,"+$187,393",,,,,AMCR
8,,2020-03-17 17:42:43,2020-03-16,AMCR,Wilson Ian,EVP,P - Purchase,$6.60,72000,128609,+127%,"+$475,200",,,,,AMCR
9,,2020-03-16 17:21:31,2020-03-16,AMCR,Delia Ronald Stephen,CEO,P - Purchase,$10.64,50000,1081573,+5%,"+$532,145",,,,,AMCR
10,,2019-09-16 17:05:18,2019-09-13,AMCR,Stephan Louis Fred,"Pres, Amcor Flexibles NA",S - Sale,$10.27,-69787,89046,-44%,"-$716,712",,,,,AMCR
