,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-07-12 17:02:20,2021-07-09,ANSS,Gallimore Alec D.,Dir,S - Sale,$351.84,-625,4113,-13%,"-$219,900",,,,,ANSS
1,,2021-06-09 16:45:16,2021-06-08,ANSS,Scherer Barbara Vaughn,Dir,S - Sale,$330.00,-250,11344,-2%,"-$82,500",,,,,ANSS
2,,2021-06-08 17:00:36,2021-06-04,ANSS,Scherer Barbara Vaughn,Dir,S - Sale,$338.40,-750,11594,-6%,"-$253,802",,,,,ANSS
3,,2021-04-28 16:30:39,2021-04-26,ANSS,Mahoney Richard S.,"SVP, WORLDWIDE SALES, SUPPORT",S - Sale,$369.16,-3467,35944,-9%,"-$1,279,875",,,,,ANSS
4,,2021-04-09 17:20:14,2021-04-07,ANSS,Lee Janet,"VP, GC, Secretary",S - Sale,$356.18,-3000,18111,-14%,"-$1,068,539",,,,,ANSS
5,,2021-03-09 19:45:42,2021-03-08,ANSS,Emswiler Shane,"SVP, Products",S - Sale,$307.47,-1130,23613,-5%,"-$347,441",,,,,ANSS
6,,2021-03-05 19:20:38,2021-03-04,ANSS,Emswiler Shane,"SVP, Products",S - Sale,$315.96,-3254,25613,-11%,"-$1,028,137",,,,,ANSS
7,,2021-02-22 21:21:18,2021-02-19,ANSS,Emswiler Shane,"SVP, GM",S - Sale,$392.69,-5549,24563,-18%,"-$2,179,024",,,,,ANSS
8,,2021-02-18 18:15:24,2021-02-16,ANSS,Mahoney Richard S.,"SVP, WORLDWIDE SALES, SUPPORT",S - Sale,$409.00,-3224,37736,-8%,"-$1,318,620",,,,,ANSS
9,D,2021-01-06 18:00:15,2021-01-04,ANSS,Shields Maria T,"CFO, SVP Finance, Admin.",S - Sale+OE,$367.87,-14296,127981,-10%,"-$5,259,109",,,,,ANSS
10,D,2021-01-04 19:45:13,2021-01-04,ANSS,Mahoney Richard S.,"SVP, WORLDWIDE SALES, SUPPORT",S - Sale+OE,$365.17,-7500,38257,-16%,"-$2,738,781",,,,,ANSS
11,,2020-11-12 17:15:20,2020-11-09,ANSS,Gopal Ajei,"Pres, CEO",S - Sale,$337.87,-22058,168780,-12%,"-$7,452,697",,,,,ANSS
12,,2020-09-11 16:30:11,2020-09-09,ANSS,Zack Matthew C.,"VP, Mkting, Corp Development",S - Sale,$313.45,-2477,25412,-9%,"-$776,416",,,,,ANSS
13,,2020-08-17 19:04:08,2020-08-13,ANSS,Emswiler Shane,"SVP, GM",S - Sale,$318.27,-2250,27904,-7%,"-$716,099",,,,,ANSS
14,,2020-08-13 17:15:14,2020-08-11,ANSS,Gallimore Alec D.,Dir,S - Sale,$307.87,-480,3886,-11%,"-$147,778",,,,,ANSS
15,,2020-06-24 17:00:16,2020-06-22,ANSS,Anasenes Nicole,Dir,S - Sale,$283.49,-1050,2936,-26%,"-$297,665",,,,,ANSS
16,,2020-04-15 16:30:18,2020-04-14,ANSS,Lee Janet,"VP, GC",S - Sale,$250.00,-1147,18834,-6%,"-$286,750",,,,,ANSS
17,,2020-04-10 17:00:21,2020-04-09,ANSS,Mahoney Richard S.,"SVP, WORLD. SALES, CUST. EXC.",S - Sale,$240.55,-4635,38835,-11%,"-$1,114,965",,,,,ANSS
18,,2020-03-09 18:00:18,2020-03-06,ANSS,Emswiler Shane,"SVP, GM",S - Sale,$238.38,-1130,30154,-4%,"-$269,364",,,,,ANSS
19,,2020-03-09 18:00:15,2020-03-06,ANSS,Mahoney Richard S.,"VP, WORLDWIDE SALES, SUPPORT",S - Sale,$238.44,-3467,43470,-7%,"-$826,674",,,,,ANSS
20,,2020-03-05 18:00:21,2020-03-04,ANSS,Mahoney Richard S.,"VP, WORLDWIDE SALES, SUPPORT",S - Sale,$253.82,-1845,48101,-4%,"-$468,294",,,,,ANSS
21,,2020-03-05 18:00:16,2020-03-04,ANSS,Emswiler Shane,"SVP, GM",S - Sale,$253.26,-3053,32154,-9%,"-$773,200",,,,,ANSS
22,A,2020-02-19 19:11:09,2020-02-14,ANSS,Emswiler Shane,"SVP, GM",S - Sale,$291.48,-6372,31994,-17%,"-$1,857,299",,,,,ANSS
23,D,2020-02-18 19:06:47,2020-02-14,ANSS,Emswiler Shane,"VP, GM",S - Sale+OE,$291.48,-6372,31994,-17%,"-$1,857,299",,,,,ANSS
24,D,2020-01-07 19:00:16,2020-01-06,ANSS,Shields Maria T,"CFO, VP Finance, Admin.",S - Sale+OE,$253.90,-15000,110280,-12%,"-$3,808,494",,,,,ANSS
25,D,2020-01-02 18:39:30,2020-01-02,ANSS,Mahoney Richard S.,"VP, WORLDWIDE SALES, SUPPORT",S - Sale+OE,$257.65,-8347,29282,-22%,"-$2,150,610",,,,,ANSS
26,,2019-11-19 18:00:17,2019-11-18,ANSS,Emswiler Shane,"VP, GM",S - Sale,$235.28,-990,26452,-4%,"-$232,927",,,,,ANSS
27,,2019-11-13 18:20:16,2019-11-12,ANSS,Zack Matthew C.,"VP, Mkting, Corp Development",S - Sale,$230.40,-1427,16253,-8%,"-$328,781",,,,,ANSS
28,,2019-09-24 20:19:37,2019-09-23,ANSS,Lee Janet,"VP, GC",S - Sale,$215.26,-1174,13546,-8%,"-$252,715",,,,,ANSS
29,,2019-08-09 18:00:12,2019-08-08,ANSS,Mahoney Richard S.,"VP, WORLDWIDE SALES, SUPPORT",S - Sale,$210.47,-97,30782,0%,"-$20,416",,,,,ANSS
30,,2019-05-28 18:30:12,2019-05-24,ANSS,McDermott William R,Dir,S - Sale,$181.53,-1765,38445,-4%,"-$320,400",,,,,ANSS
31,,2019-05-23 18:30:15,2019-05-21,ANSS,Scherer Barbara Vaughn,Dir,S - Sale,$186.20,-1765,13336,-12%,"-$328,637",,,,,ANSS
32,,2019-05-23 18:30:13,2019-05-21,ANSS,Gallimore Alec D.,Dir,S - Sale,$185.78,-638,3262,-16%,"-$118,528",,,,,ANSS
33,,2019-04-30 18:30:13,2019-04-29,ANSS,Zack Matthew C.,"VP, Mkting, Corp Development",S - Sale,$194.80,-1116,17619,-6%,"-$217,397",,,,,ANSS
34,,2019-04-03 18:30:12,2019-04-01,ANSS,Gopal Ajei,"Pres, CEO",S - Sale,$186.00,-9023,134341,-6%,"-$1,678,278",,,,,ANSS
35,,2019-03-15 18:00:12,2019-03-13,ANSS,Gopal Ajei,"Pres, CEO",S - Sale,$181.56,-17255,129098,-12%,"-$3,132,770",,,,,ANSS
36,D,2019-03-13 18:00:13,2019-03-11,ANSS,Thurk Michael,Dir,S - Sale+OE,$179.19,-3500,25875,-12%,"-$627,179",,,,,ANSS
37,,2019-03-12 18:00:13,2019-03-08,ANSS,Mahoney Richard S.,"VP, WORLDWIDE SALES, SUPPORT",S - Sale,$176.50,-3584,25205,-12%,"-$632,568",,,,,ANSS
38,,2019-03-07 19:00:30,2019-03-06,ANSS,Emswiler Shane,"VP, GM",S - Sale,$178.81,-7570,22523,-25%,"-$1,353,561",,,,,ANSS
39,D,2019-03-04 18:30:17,2019-02-28,ANSS,Shields Maria T,"CFO, VP Finance, Admin.",S - Sale+OE,$182.23,-13704,100447,-12%,"-$2,497,296",,,,,ANSS
40,,2019-03-04 18:30:13,2019-02-28,ANSS,Gopal Ajei,"Pres, CEO",S - Sale,$186.00,-883,124632,-1%,"-$164,238",,,,,ANSS
41,D,2019-02-20 18:30:15,2019-02-19,ANSS,Mahoney Richard S.,"VP, WORLDWIDE SALES, SUPPORT",S - Sale+OE,$174.15,-2041,21546,-9%,"-$355,434",,,,,ANSS
42,D,2019-02-13 18:30:12,2019-02-11,ANSS,Thurk Michael,Dir,S - Sale+OE,$171.73,-3500,25875,-12%,"-$601,060",,,,,ANSS
43,D,2019-01-07 20:50:20,2019-01-03,ANSS,Mahoney Richard S.,"VP, WORLDWIDE SALES, SUPPORT",S - Sale+OE,$140.45,-8347,21410,-28%,"-$1,172,291",,,,,ANSS
44,D,2018-11-02 19:00:18,2018-11-01,ANSS,Thurk Michael,Dir,S - Sale+OE,$152.26,-3500,25875,-12%,"-$532,894",,,,,ANSS
45,,2018-09-17 17:20:16,2018-09-13,ANSS,Scherer Barbara Vaughn,Dir,S - Sale,$187.99,-2454,15386,-14%,"-$461,327",,,,,ANSS
46,,2018-09-06 19:47:42,2018-09-04,ANSS,Emswiler Shane,"VP, GM",S - Sale,$187.19,-3511,24964,-12%,"-$657,224",,,,,ANSS
47,,2018-09-05 17:40:13,2018-09-04,ANSS,Gopal Ajei,"Pres, CEO",S - Sale,$186.35,-9609,122709,-7%,"-$1,790,590",,,,,ANSS
48,,2018-08-24 17:15:17,2018-08-22,ANSS,Gallimore Alec D.,Dir,S - Sale,$173.76,-276,2385,-10%,"-$47,958",,,,,ANSS
