,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-08-04 17:02:41,2021-08-02,ARE,Marcus Joel S,Exec COB,S - Sale,$202.63,-5000,309597,-2%,"-$1,013,150",,,,,ARE
1,,2021-08-03 16:41:15,2021-07-30,ARE,Clem Jackie B.,"GC, Secretary",S - Sale,$201.58,-2450,16489,-13%,"-$493,871",,,,,ARE
2,,2021-08-03 16:39:26,2021-07-30,ARE,Ciruzzi Vincent,Chief Development Officer,S - Sale,$202.13,-6016,42248,-12%,"-$1,216,014",,,,,ARE
3,,2021-08-03 16:37:08,2021-07-30,ARE,Richardson Stephen,Co-CEO,S - Sale,$201.83,-15000,171599,-8%,"-$3,027,450",,,,,ARE
4,,2021-08-02 16:46:58,2021-07-29,ARE,Nemeth Terezia C,EVP - Regional Market Dir,S - Sale,$199.94,-1400,21881,-6%,"-$279,916",,,,,ARE
5,,2021-08-02 16:45:33,2021-07-29,ARE,Diamond Lawrence J,Co-COO,S - Sale,$200.58,-1500,82320,-2%,"-$300,870",,,,,ARE
6,M,2021-07-30 16:42:32,2021-07-28,ARE,Marcus Joel S,Exec COB,S - Sale,$200.01,-20000,314597,-6%,"-$4,000,100",,,,,ARE
7,,2021-07-30 16:42:02,2021-07-28,ARE,Cunningham John H,EVP - Regional Market Dir,S - Sale,$198.75,-8000,45084,-15%,"-$1,590,000",,,,,ARE
8,,2021-07-30 16:41:43,2021-07-28,ARE,Binda Marc E,"EVP - Finance, Treasurer",S - Sale,$200.00,-5230,45822,-10%,"-$1,046,000",,,,,ARE
9,,2021-05-05 16:24:50,2021-05-03,ARE,Nemeth Terezia C,EVP - Regional Market Dir,S - Sale,$180.03,-1000,23281,-4%,"-$180,030",,,,,ARE
10,M,2021-05-05 16:22:10,2021-05-03,ARE,Marcus Joel S,Exec COB,S - Sale,$180.35,-20000,334597,-6%,"-$3,607,000",,,,,ARE
11,,2021-05-04 16:21:59,2021-04-30,ARE,Cunningham John H,EVP - Regional Market Dir,S - Sale,$180.17,-1882,53084,-3%,"-$339,080",,,,,ARE
12,,2021-05-03 16:33:09,2021-04-29,ARE,Ciruzzi Vincent,Chief Development Officer,S - Sale,$179.21,-1865,50248,-4%,"-$334,227",,,,,ARE
13,,2021-05-03 16:30:39,2021-04-29,ARE,Richardson Stephen,Co-CEO,S - Sale,$179.93,-10000,193971,-5%,"-$1,799,300",,,,,ARE
14,,2021-05-03 16:29:02,2021-04-29,ARE,Gavinet Andres,Chief Accounting Officer,S - Sale,$180.00,-3000,54906,-5%,"-$540,000",,,,,ARE
15,,2021-04-30 16:55:15,2021-04-28,ARE,Dean Gary D.,"EVP, Real Estate Legal Affairs",S - Sale,$177.61,-4000,18265,-18%,"-$710,440",,,,,ARE
16,,2021-04-30 16:53:33,2021-04-28,ARE,Binda Marc E,"EVP - Finance, Treasurer",S - Sale,$177.61,-1597,53172,-3%,"-$283,643",,,,,ARE
