,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-08-10 11:58:29,2021-08-09,BIOBI,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale+OE,$754.93,-3000,3669,-45%,"-$2,264,796",,,,,BIO
1,,2021-08-05 12:40:07,2021-08-04,BIOBI,Ernst Timothy S,"EVP, GC, Sec",S - Sale,$760.26,-327,919,-26%,"-$248,605",,,,,BIO
2,D,2021-08-05 12:38:21,2021-08-04,BIOBI,Daskal Ilan,"EVP, CFO",S - Sale+OE,$751.84,-2300,7,-100%,"-$1,729,241",,,,,BIO
3,D,2021-02-22 16:05:08,2021-02-19,BIOBI,Ernst Timothy S,"EVP, GC, Sec",S - Sale+OE,$640.77,-923,1220,-43%,"-$591,499",,,,,BIO
4,,2020-12-17 12:54:10,2020-12-15,BIOBI,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,$580.67,-374,3669,-9%,"-$217,171",,,,,BIO
5,D,2020-11-10 12:40:56,2020-11-06,BIOBI,Tumolo Annette,EVP,S - Sale+OE,$640.72,-1200,3699,-24%,"-$768,865",,,,,BIO
6,D,2020-08-21 14:01:04,2020-08-19,BIO,Magni Giovanni,"EVP, Chief Strategy Officer",S - Sale+OE,$519.88,-12847,20738,-38%,"-$6,678,844",,,,,BIO
7,,2020-08-19 12:42:10,2020-08-18,BIO,Magni Giovanni,"EVP, Chief Strategy Officer",S - Sale,$518.81,-2382,12435,-16%,"-$1,235,805",,,,,BIO
8,,2020-06-02 17:11:36,2020-06-01,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,$485.40,-1500,2310,-39%,"-$728,100",,,,,BIO
9,,2020-05-14 13:11:02,2020-05-13,BIO,Hutton Ronald W,"VP, Treasurer",S - Sale,$457.35,-443,4140,-10%,"-$202,606",,,,,BIO
10,D,2019-12-05 19:03:29,2019-12-04,BIO,Ernst Timothy S,"EVP, GC, Sec",S - Sale+OE,$370.11,-1906,456,-81%,"-$705,436",,,,,BIO
11,,2019-11-12 11:33:31,2019-11-11,BIO,Stark James R,"VP, Corporate Controller",S - Sale,$351.45,-848,0,-100%,"-$298,030",,,,,BIO
12,,2019-09-16 18:05:27,2019-09-12,BIO,Tumolo Annette,EVP,S - Sale,$330.00,-522,2410,-18%,"-$172,260",,,,,BIO
13,D,2019-09-13 11:54:19,2019-09-12,BIO,Hertia John,EVP,S - Sale+OE,$328.29,-838,18980,-4%,"-$275,104",,,,,BIO
14,D,2019-09-10 17:15:39,2019-09-09,BIO,Hertia John,EVP,S - Sale+OE,$336.47,-444,18014,-2%,"-$149,393",,,,,BIO
15,D,2019-09-09 17:50:09,2019-09-06,BIO,Hertia John,EVP,S - Sale+OE,$336.57,-5195,17858,-23%,"-$1,748,490",,,,,BIO
16,D,2019-09-09 17:36:25,2019-09-06,BIO,Tumolo Annette,EVP,S - Sale+OE,$340.00,-371,2309,-14%,"-$126,140",,,,,BIO
17,D,2019-09-05 14:00:10,2019-09-04,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale+OE,$333.08,-1089,2403,-31%,"-$362,723",,,,,BIO
18,,2019-08-14 17:51:05,2019-08-14,BIO,Ernst Timothy S,"EVP, GC, Sec",S - Sale,$320.00,-310,103,-75%,"-$99,200",,,,,BIO
19,,2019-08-14 17:46:00,2019-08-14,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,$320.00,-325,3100,-9%,"-$104,000",,,,,BIO
20,M,2019-05-16 19:01:35,2019-05-15,BIO,Ernst Timothy S,"EVP, GC, Sec",S - Sale,$295.47,-846,390,-68%,"-$249,887",,,,,BIO
21,,2018-12-17 11:20:46,2018-12-14,BIO,Tsingos Christine A,"EVP, CFO",S - Sale,$248.00,-1411,6683,-17%,"-$349,928",,,,,BIO
22,,2018-12-14 19:00:14,2018-12-14,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,$248.03,-392,3425,-10%,"-$97,228",,,,,BIO
23,,2018-12-12 17:16:48,2018-12-12,BIO,Stark James R,"VP, Corporate Controller",S - Sale,$254.77,-848,0,-100%,"-$216,045",,,,,BIO
24,D,2018-12-12 17:07:38,2018-12-11,BIO,Tumolo Annette,EVP,S - Sale+OE,$254.51,-2376,1504,-61%,"-$604,704",,,,,BIO
25,,2018-06-14 13:23:53,2018-06-13,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,$303.42,-350,2142,-14%,"-$106,197",,,,,BIO
26,D,2017-12-14 19:26:32,2017-12-14,BIO,Tsingos Christine A,"EVP, CFO",S - Sale+OE,$249.40,-4980,6683,-43%,"-$1,242,020",,,,,BIO
27,,2017-12-04 19:36:33,2017-12-04,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,$258.40,-1000,2492,-29%,"-$258,395",,,,,BIO
28,,2017-11-30 18:52:54,2017-11-30,BIO,Stark James R,"VP, Corporate Controller",S - Sale,$270.51,-746,0,-100%,"-$201,798",,,,,BIO
29,,2017-11-15 17:04:33,2017-11-14,BIO,Magni Giovanni,"EVP, Chief Strategy Officer",S - Sale,$253.01,-2400,9251,-21%,"-$607,226",,,,,BIO
30,,2017-09-14 20:27:08,2017-09-13,BIO,Hall Shannon,EVP,S - Sale,$221.20,-1245,565,-69%,"-$275,390",,,,,BIO
31,,2017-08-11 19:15:15,2017-08-11,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,$215.91,-700,2060,-25%,"-$151,136",,,,,BIO
