,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-08-05 16:12:18,2021-08-03,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$119.93,-7500,162574,-4%,"-$899,475",,,,,CBOE
1,,2021-06-28 16:59:25,2021-06-24,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$120.79,-3026,12091,-20%,"-$365,501",,,,,CBOE
2,M,2021-06-23 16:12:27,2021-06-21,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$118.28,-11974,15117,-44%,"-$1,416,252",,,,,CBOE
3,,2021-05-27 08:35:29,2021-05-24,CBOE,Sexton John P,"EVP, GC, Corp Sec",S - Sale,$110.91,-1033,15063,-6%,"-$114,574",,,,,CBOE
4,D,2021-05-19 16:29:43,2021-05-17,CBOE,Griebenow Jill,"SVP, CAO",S - Sale+OE,$113.66,-200,5879,-3%,"-$22,732",,,,,CBOE
5,,2021-05-18 16:34:42,2021-05-14,CBOE,Isaacson Christopher A,"EVP, COO",S - Sale,$114.00,-2500,58933,-4%,"-$284,990",,,,,CBOE
6,,2021-05-17 16:22:50,2021-05-13,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$115.00,-15000,170074,-8%,"-$1,725,000",,,,,CBOE
7,,2021-05-12 16:31:15,2021-05-10,CBOE,Sexton John P,"EVP, GC, Corp Sec",S - Sale,$110.51,-1033,16096,-6%,"-$114,155",,,,,CBOE
8,,2021-05-10 16:05:53,2021-05-06,CBOE,Harkins Bryan,"EVP, Pres BIDS Trading",S - Sale,$110.00,-3678,32411,-10%,"-$404,580",,,,,CBOE
9,,2021-05-05 16:45:25,2021-05-03,CBOE,Sexton John P,"EVP, GC, Corp Sec",S - Sale,$107.19,-1996,17129,-10%,"-$213,954",,,,,CBOE
10,,2021-03-10 16:10:54,2021-03-08,CBOE,Richter Michael L,Dir,S - Sale,$105.10,-1236,22171,-5%,"-$129,904",,,,,CBOE
11,M,2021-01-13 17:08:05,2021-01-11,CBOE,Harkins Bryan,"EVP, Head of Markets",S - Sale,$98.74,-7356,32771,-18%,"-$726,368",,,,,CBOE
12,,2020-11-05 16:16:12,2020-11-03,CBOE,Tomczyk Fredric J,Dir,P - Purchase,$85.65,5230,9652,+118%,"+$447,950",,,,,CBOE
13,A,2020-10-21 13:08:05,2020-09-14,CBOE,Tilly Edward T,"COB, Pres, CEO",P - Purchase,$89.42,10000,164916,+6%,"+$894,200",,,,,CBOE
14,,2020-02-28 16:50:56,2020-02-26,CBOE,Sexton John P,"EVP, GC, Corp Sec",S - Sale,$123.50,-2237,16538,-12%,"-$276,270",,,,,CBOE
15,,2020-02-28 16:47:47,2020-02-26,CBOE,Froetscher Janet P,Dir,S - Sale,$124.36,-8000,12405,-39%,"-$994,880",,,,,CBOE
16,,2020-02-12 17:30:21,2020-02-11,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$123.19,-7500,138870,-5%,"-$923,918",,,,,CBOE
17,,2020-01-28 16:23:31,2020-01-24,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$120.00,-15000,15627,-49%,"-$1,800,000",,,,,CBOE
18,D,2019-11-19 17:50:49,2019-11-15,CBOE,Isaacson Christopher A,"EVP, COO",S - Sale+OE,$118.87,-10000,60644,-14%,"-$1,188,700",,,,,CBOE
19,,2019-11-19 17:46:21,2019-11-15,CBOE,Deters John,"EVP, Corporate Strategy",S - Sale,$118.46,-877,1103,-44%,"-$103,889",,,,,CBOE
20,,2019-11-08 16:12:59,2019-11-07,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$115.09,-2274,127548,-2%,"-$261,715",,,,,CBOE
21,M,2019-11-07 16:14:13,2019-11-05,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$115.11,-5226,129822,-4%,"-$601,587",,,,,CBOE
22,,2019-08-19 17:29:41,2019-08-15,CBOE,Deters John,"EVP, Corporate Strategy",S - Sale,$119.31,-1141,1980,-37%,"-$136,133",,,,,CBOE
23,,2019-08-08 16:03:29,2019-08-06,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$115.18,-7500,135048,-5%,"-$863,850",,,,,CBOE
24,,2019-08-07 16:24:18,2019-08-05,CBOE,Stone Carole E,Dir,S - Sale,$117.70,-2766,13819,-17%,"-$325,558",,,,,CBOE
25,D,2019-07-17 17:21:55,2019-07-15,CBOE,Hemsley Mark S,"EVP, Pres Europe",S - Sale+OE,$113.84,-14039,87685,-14%,"-$1,598,200",,,,,CBOE
26,,2019-06-04 16:18:49,2019-05-31,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$108.47,-10000,36069,-22%,"-$1,084,700",,,,,CBOE
27,D,2019-05-31 16:56:55,2019-05-29,CBOE,Isaacson Christopher A,"EVP, COO",S - Sale+OE,$104.93,-10000,64644,-13%,"-$1,049,300",,,,,CBOE
28,,2019-05-23 17:00:36,2019-05-22,CBOE,Harkins Bryan,"EVP, Co-Head of Markets",S - Sale,$106.71,-4300,43661,-9%,"-$458,853",,,,,CBOE
29,,2019-05-20 16:46:04,2019-05-16,CBOE,Deters John,"EVP, Corporate Strategy",S - Sale,$103.78,-834,3121,-21%,"-$86,553",,,,,CBOE
30,,2019-02-22 16:41:05,2019-02-20,CBOE,Deters John,"EVP, Corporate Strategy",S - Sale,$93.74,-2474,3538,-41%,"-$231,913",,,,,CBOE
31,D,2018-11-29 16:12:27,2018-11-27,CBOE,Isaacson Christopher A,"EVP, CIO",S - Sale+OE,$106.48,-8719,70000,-11%,"-$928,399",,,,,CBOE
32,,2018-11-07 16:12:46,2018-11-05,CBOE,English Frank E. Jr.,Dir,S - Sale,$113.55,-1000,3137,-24%,"-$113,550",,,,,CBOE
33,,2018-09-13 17:27:13,2018-09-11,CBOE,English Frank E. Jr.,Dir,S - Sale,$104.17,-1185,4137,-22%,"-$123,441",,,,,CBOE
34,D,2018-09-04 16:04:53,2018-08-30,CBOE,Isaacson Christopher A,"EVP, CIO",S - Sale+OE,$100.03,-8720,77500,-10%,"-$872,262",,,,,CBOE
35,D,2018-06-08 16:01:10,2018-06-06,CBOE,Isaacson Christopher A,"EVP, CIO",S - Sale+OE,$100.02,-8720,77500,-10%,"-$872,174",,,,,CBOE
36,,2018-05-31 16:02:28,2018-05-30,CBOE,Concannon Christopher R,"Pres, COO",P - Purchase,$99.44,10000,152526,+7%,"+$994,400",,,,,CBOE
37,,2018-05-21 16:37:35,2018-05-18,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$108.30,-5000,50541,-9%,"-$541,500",,,,,CBOE
38,,2017-12-13 17:53:14,2017-12-11,CBOE,Tilly Edward T,"COB, CEO",S - Sale,$126.28,-5000,69611,-7%,"-$631,400",,,,,CBOE
39,,2017-12-07 17:19:31,2017-12-06,CBOE,English Frank E. Jr.,Dir,S - Sale,$123.80,-300,4214,-7%,"-$37,140",,,,,CBOE
