,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-08-06 16:30:55,2021-08-04,CMG,Brandt Christopher W,CMO,S - Sale+OE,"$1,904.00",-1575,9136,-15%,"-$2,998,800",,,,,CMG
1,D,2021-08-03 16:32:00,2021-07-30,CMG,Brandt Christopher W,CMO,S - Sale+OE,"$1,840.00",-1561,9136,-15%,"-$2,872,240",,,,,CMG
2,D,2021-07-23 16:35:39,2021-07-22,CMG,Theodoredis Roger E,"GC, GC",S - Sale+OE,"$1,763.48",-1136,2574,-31%,"-$2,003,316",,,,,CMG
3,D,2021-07-23 16:34:06,2021-07-22,CMG,Schalow Laurie,"Chief Corp Affairs, Food Sft",S - Sale+OE,"$1,747.65",-2162,3975,-35%,"-$3,778,419",,,,,CMG
4,DM,2021-07-23 16:32:14,2021-07-21,CMG,Niccol Brian R,"COB, CEO",S - Sale+OE,"$1,756.16",-20773,27524,-43%,"-$36,480,740",,,,,CMG
5,,2021-07-23 16:22:20,2021-07-22,CMG,Garner Curtis E,CTO,S - Sale,"$1,770.00",-1369,16203,-8%,"-$2,423,130",,,,,CMG
6,D,2021-07-23 16:19:45,2021-07-22,CMG,Boatwright Scott,Chief Restaurant Officer,S - Sale+OE,"$1,747.65",-3331,11873,-22%,"-$5,821,422",,,,,CMG
7,,2021-07-23 16:18:17,2021-07-22,CMG,Baldocchi Albert S,Dir,S - Sale,"$1,777.72",-2763,68923,-4%,"-$4,911,841",,,,,CMG
8,D,2021-07-23 16:16:39,2021-07-22,CMG,Andrada Marissa,"Chief D, I, People Officer",S - Sale+OE,"$1,800.00",-1448,5655,-20%,"-$2,606,400",,,,,CMG
9,D,2021-07-14 16:32:53,2021-07-12,CMG,Niccol Brian R,"COB, CEO",S - Sale+OE,"$1,608.22",-7798,27524,-22%,"-$12,540,907",,,,,CMG
10,,2021-07-14 16:31:20,2021-07-12,CMG,Boatwright Scott,Chief Restaurant Officer,S - Sale,"$1,600.00",-1607,11873,-12%,"-$2,571,200",,,,,CMG
