,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-05-17 08:02:41,2021-05-13,CTVA,Eathington Samuel R,"SVP, CTO",P - Purchase,$45.57,3290,33341,+11%,"+$149,925",,,,,CTVA
1,D,2021-05-11 17:50:37,2021-05-07,CTVA,Titus Brian,See Remarks,S - Sale+OE,$49.04,-29937,19247,-61%,"-$1,467,988",,,,,CTVA
2,,2021-05-11 17:33:24,2021-05-10,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$49.67,2600,59628,+5%,"+$129,141",,,,,CTVA
3,,2021-01-19 18:11:54,2020-05-13,CTVA,Thomas Lee M,Dir,P - Purchase,$23.16,928,27484,+3%,"+$21,492",,,,,CTVA
4,D,2020-12-07 17:39:55,2020-12-04,CTVA,Titus Brian,See Remarks,S - Sale+OE,$38.50,-8545,12595,-40%,"-$328,985",,,,,CTVA
5,DM,2020-12-01 16:26:24,2020-11-09,CTVA,Gutterson Neal,"SVP, CTO",S - Sale+OE,$36.60,-39326,22589,-64%,"-$1,439,324",,,,,CTVA
6,,2020-08-12 16:55:37,2020-08-10,CTVA,Page Gregory R,Dir,P - Purchase,$25.30,5000,35758,+16%,"+$126,500",,,,,CTVA
7,,2020-08-12 16:52:26,2020-08-10,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$25.20,2010,60462,+3%,"+$50,652",,,,,CTVA
8,,2020-08-12 16:49:39,2020-08-10,CTVA,Fuerer Cornel B,"SVP, GC, Secretary",P - Purchase,$25.01,2000,36335,+6%,"+$50,020",,,,,CTVA
9,,2020-05-19 16:55:11,2020-05-15,CTVA,Glenn Timothy P,"EVP, Chief Commercial Officer",P - Purchase,$22.95,6500,82622,+9%,"+$149,195",,,,,CTVA
10,,2020-05-19 16:51:30,2020-05-15,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$23.09,6530,58551,+13%,"+$150,804",,,,,CTVA
11,,2020-05-19 16:49:04,2020-05-15,CTVA,Fuerer Cornel B,"SVP, GC, Secretary",P - Purchase,$23.00,5000,33924,+17%,"+$115,000",,,,,CTVA
12,,2020-05-19 16:46:41,2020-05-15,CTVA,Friedman Gregory R,"EVP, CFO",P - Purchase,$23.20,3000,57026,+6%,"+$69,600",,,,,CTVA
13,,2020-03-02 17:21:48,2020-02-27,CTVA,Lutz Marcos M,Dir,P - Purchase,$28.05,35000,41205,+564%,"+$981,750",,,,,CTVA
14,,2020-02-05 17:20:47,2020-02-03,CTVA,Glenn Timothy P,"EVP, Chief Commercial Officer",P - Purchase,$29.77,5000,79418,+7%,"+$148,850",,,,,CTVA
15,,2020-02-05 17:18:39,2020-02-03,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$30.00,2850,57944,+5%,"+$85,496",,,,,CTVA
16,,2020-02-05 17:17:05,2020-02-03,CTVA,Andreotti Lamberto,Dir,S - Sale,$29.11,-90,14348,-1%,"-$2,620",,,,,CTVA
17,,2019-11-19 13:13:46,2019-11-19,CTVA,Collins James C. Jr.,CEO,P - Purchase,$25.50,5000,416641,+1%,"+$127,500",,,,,CTVA
18,,2019-11-06 18:29:48,2019-11-04,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$26.21,7000,54940,+15%,"+$183,453",,,,,CTVA
19,,2019-11-06 17:41:00,2019-11-04,CTVA,Glenn Timothy P,"EVP, Chief Commercial Officer",P - Purchase,$26.20,5150,79990,+7%,"+$134,908",,,,,CTVA
20,,2019-11-06 17:37:55,2019-11-04,CTVA,Fuerer Cornel B,"SVP, GC, Secretary",P - Purchase,$26.17,2000,31905,+7%,"+$52,340",,,,,CTVA
21,D,2019-11-06 17:34:58,2019-11-04,CTVA,Friedman Gregory R,"EVP, CFO",P - Purchase,$26.19,3825,61607,+7%,"+$100,159",,,,,CTVA
22,D,2019-09-17 19:07:20,2019-08-05,CTVA,Glenn Timothy P,See Remarks,P - Purchase,$30.52,6500,74583,+10%,"+$198,361",,,,,CTVA
23,,2019-09-04 17:27:25,2019-08-30,CTVA,Engel Klaus A,Dir,P - Purchase,$30.00,18393,25253,+268%,"+$551,790",,,,,CTVA
24,,2019-06-05 19:21:39,2019-06-03,CTVA,Page Gregory R,Dir,P - Purchase,$25.49,2000,18036,+12%,"+$50,980",,,,,CTVA
25,,2019-06-05 19:13:09,2019-06-03,CTVA,Fuerer Cornel B,See Remarks,P - Purchase,$24.84,500,29787,+2%,"+$12,420",,,,,CTVA
