,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-03-04 17:02:02,2021-03-04,D,Kington Mark J,Dir,P - Purchase,$69.29,2000,232004,+1%,"+$138,578",,,,,D
1,,2021-03-04 15:37:44,2021-03-03,D,Blue Robert M,"Pres, CEO",P - Purchase,$69.44,14402,142998,+11%,"+$999,998",,,,,D
2,,2020-12-08 16:51:58,2020-12-07,D,Farrell Thomas F II,Exec COB,S - Sale,$75.87,-50000,946790,-5%,"-$3,793,705",,,,,D
3,,2020-11-10 17:14:24,2020-11-09,D,Leopold Diane,"EVP, COO",S - Sale,$85.17,-2952,119661,-2%,"-$251,422",,,,,D
4,,2020-11-02 17:28:34,2020-11-02,D,Farrell Thomas F II,Exec COB,S - Sale,$81.49,-50000,996790,-5%,"-$4,074,416",,,,,D
5,,2020-10-05 17:36:48,2020-10-05,D,Farrell Thomas F II,Exec COB,S - Sale,$80.28,-50000,1046790,-5%,"-$4,013,973",,,,,D
6,,2020-09-15 18:05:10,2020-09-14,D,Farrell Thomas F II,"Pres, CEO",S - Sale,$80.63,-50000,1096725,-4%,"-$4,031,667",,,,,D
7,M,2019-11-07 16:27:20,2019-11-05,D,Leopold Diane,"EVP, CEO Gas Infrastructure",S - Sale,$82.32,-12948,83201,-13%,"-$1,065,915",,,,,D
8,,2019-09-17 16:32:07,2019-09-13,D,Szymanczyk Michael E,Dir,P - Purchase,$78.85,21400,75302,+40%,"+$1,687,322",,,,,D
9,,2019-03-13 17:11:59,2019-03-13,D,Hagood D Maybank,Dir,P - Purchase,$76.34,1965,3515,+127%,"+$149,998",,,,,D
10,,2019-03-13 17:11:55,2019-03-13,D,Bennett James A,Dir,P - Purchase,$76.34,6550,9742,+205%,"+$499,998",,,,,D
11,,2019-03-12 16:18:20,2019-03-07,D,Spilman Robert H Jr,Dir,S - Sale,$76.01,-1215,29279,-4%,"-$92,347",,,,,D
12,,2019-02-05 16:46:37,2019-02-05,D,Leopold Diane,"EVP, CEO Gas Infrastructure",S - Sale,$71.31,-2500,81222,-3%,"-$178,275",,,,,D
13,,2018-12-20 17:03:45,2018-12-19,D,Chapman James R.,"SVP, CFO, Treasurer",P - Purchase,$74.02,4053,22256,+22%,"+$299,998",,,,,D
14,,2018-08-29 15:55:06,2018-08-28,D,Harris John W,Dir,P - Purchase,$71.15,10000,64727,+18%,"+$711,500",,,,,D
15,,2018-05-11 16:17:06,2018-05-10,D,Farrell Thomas F II,"Pres, CEO",P - Purchase,$63.44,4000,1045492,0%,"+$253,752",,,,,D
16,,2018-03-02 16:18:49,2018-02-28,D,Rigby Joseph M,Dir,P - Purchase,$74.65,2679,5764,+87%,"+$199,998",,,,,D
17,M,2018-02-09 16:26:37,2017-06-14,D,Harris John W,Dir,S - Sale,$80.07,-13919,51085,-21%,"-$1,114,485",,,,,D
18,,2017-11-06 16:34:13,2017-11-03,D,Harris John W,Dir,S - Sale,$80.71,-5616,64571,-8%,"-$453,270",,,,,D
