,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-07-30 18:39:26,2021-07-28,DFS,Bush Mary K,Dir,S - Sale,$123.21,-3824,53366,-7%,"-$471,155",,,,,DFS
1,,2021-05-10 17:53:24,2021-05-06,DFS,Moskow Michael H,Dir,S - Sale,$115.97,-3824,51253,-7%,"-$443,469",,,,,DFS
2,,2021-05-03 17:02:29,2021-04-30,DFS,Offereins Diane E,"EVP, Pres - Payment Services",S - Sale,$114.02,-15000,113915,-12%,"-$1,710,263",,,,,DFS
3,,2021-05-03 17:00:34,2021-04-30,DFS,Hughes Brian,"EVP, Chief Risk Officer",S - Sale,$114.08,-9724,53340,-15%,"-$1,109,356",,,,,DFS
4,,2021-04-28 17:15:22,2021-04-26,DFS,Capozzi Daniel Peter,"EVP, Pres - US Cards",S - Sale,$106.30,-9970,27042,-27%,"-$1,059,793",,,,,DFS
5,,2021-03-01 16:15:58,2021-02-26,DFS,Kolsky Shifra,"SVP, Controller, CAO",S - Sale,$93.77,-900,4410,-17%,"-$84,393",,,,,DFS
6,,2021-02-10 19:27:34,2021-02-08,DFS,Hughes Brian,"EVP, Chief Risk Officer",S - Sale,$93.91,-10000,56620,-15%,"-$939,144",,,,,DFS
7,,2021-02-09 16:15:33,2021-02-05,DFS,Capozzi Daniel Peter,"EVP, Pres - Cr Ops, Dec Mgmt",S - Sale,$93.23,-5947,27322,-18%,"-$554,439",,,,,DFS
8,,2021-02-08 17:21:52,2021-02-04,DFS,Minetti Carlos,"EVP, Pres - Consumer Banking",S - Sale,$88.00,-19260,147293,-12%,"-$1,694,880",,,,,DFS
9,,2021-02-08 17:19:12,2021-02-04,DFS,Offereins Diane E,"EVP, Pres - Payment Services",S - Sale,$90.71,-25000,119225,-17%,"-$2,267,865",,,,,DFS
10,,2020-11-09 17:07:58,2020-11-06,DFS,Eichfeld Robert Andrew,"EVP - Chief HR, Admin Officer",S - Sale,$67.77,-1519,32371,-4%,"-$102,938",,,,,DFS
11,,2020-08-03 18:35:13,2020-07-31,DFS,Bush Mary K,Dir,S - Sale,$49.23,-1920,55899,-3%,"-$94,522",,,,,DFS
12,,2020-05-07 17:28:17,2020-05-06,DFS,Eichfeld Robert Andrew,"EVP - Chief HR, Admin Officer",P - Purchase,$39.50,12650,33454,+61%,"+$499,675",,,,,DFS
13,,2020-01-28 17:59:26,2020-01-27,DFS,Minetti Carlos,"EVP, Pres - Consumer Banking",P - Purchase,$73.74,3000,154171,+2%,"+$221,206",,,,,DFS
14,,2020-01-28 16:25:35,2020-01-27,DFS,Schneider Glenn P,"EVP, CIO",S - Sale,$74.21,-15000,40412,-27%,"-$1,113,180",,,,,DFS
15,,2020-01-27 18:28:56,2020-01-27,DFS,Greene John,"EVP, CFO",P - Purchase,$73.84,3377,27502,+14%,"+$249,343",,,,,DFS
16,,2020-01-27 18:28:19,2020-01-27,DFS,Walcott Wanjiku Juanita,"EVP, GC, GC",P - Purchase,$73.95,3400,91149,+4%,"+$251,430",,,,,DFS
17,,2020-01-27 16:44:23,2020-01-27,DFS,Hochschild Roger C,"CEO, Pres",P - Purchase,$74.12,15000,878196,+2%,"+$1,111,821",,,,,DFS
18,,2019-08-07 17:04:45,2019-08-06,DFS,Bush Mary K,Dir,S - Sale,$83.27,-993,52075,-2%,"-$82,687",,,,,DFS
19,,2019-07-29 18:36:00,2019-07-26,DFS,Offereins Diane E,"EVP, Pres - Payment Services",S - Sale,$91.76,-20000,120874,-14%,"-$1,835,200",,,,,DFS
20,,2019-07-26 16:40:30,2019-07-25,DFS,Graf R. Mark,"EVP, CFO",S - Sale,$92.44,-4776,51296,-9%,"-$441,493",,,,,DFS
21,,2019-07-26 16:34:14,2019-07-25,DFS,McGrogan Edward W,"SVP, Controller, CAO",S - Sale,$92.35,-1894,11272,-14%,"-$174,911",,,,,DFS
22,,2019-05-17 07:16:19,2019-05-15,DFS,Bush Mary K,Dir,S - Sale,$77.53,-496,53068,-1%,"-$38,455",,,,,DFS
23,A,2019-05-07 18:20:28,2019-03-01,DFS,Nelms David W,Exec Officer,S - Sale,$72.47,-30000,970191,-3%,"-$2,174,094",,,,,DFS
24,A,2019-05-07 18:12:11,2019-02-01,DFS,Nelms David W,Exec Officer,S - Sale,$67.94,-60000,1018071,-6%,"-$4,076,400",,,,,DFS
