,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-03 20:31:46,2021-06-01,DIS,Iger Robert A,Exec COB,S - Sale,$179.21,-550570,520708,-51%,"-$98,668,463",,,,,DIS
1,,2021-06-03 20:31:15,2021-06-02,DIS,Arnold Susan E,Dir,S - Sale,$177.75,-8400,41498,-17%,"-$1,493,058",,,,,DIS
2,D,2021-03-10 21:54:12,2021-03-08,DIS,Iger Robert A,Exec COB,S - Sale+OE,$200.82,-120946,1127143,-10%,"-$24,288,513",,,,,DIS
3,D,2021-02-26 21:16:53,2021-02-24,DIS,Iger Robert A,Exec COB,S - Sale+OE,$200.14,-196158,1198697,-14%,"-$39,258,454",,,,,DIS
4,D,2021-02-25 21:13:05,2021-02-23,DIS,Iger Robert A,Exec COB,S - Sale+OE,$195.39,-220000,1198697,-16%,"-$42,985,294",,,,,DIS
5,D,2021-02-19 20:02:50,2021-02-18,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale+OE,$183.12,-33969,22354,-60%,"-$6,220,407",,,,,DIS
6,,2021-02-18 20:02:05,2021-02-16,DIS,Parker Mary Jayne,"SEVP, CHRO",S - Sale,$185.60,-7436,14048,-35%,"-$1,380,130",,,,,DIS
7,D,2021-02-10 21:15:18,2021-02-08,DIS,Iger Robert A,Exec COB,S - Sale+OE,$190.12,-220000,1198697,-16%,"-$41,826,466",,,,,DIS
8,D,2021-02-04 21:16:53,2021-02-02,DIS,Iger Robert A,Exec COB,S - Sale+OE,$176.03,-237136,1198697,-17%,"-$41,743,372",,,,,DIS
9,D,2021-01-27 20:29:56,2021-01-25,DIS,McCarthy Christine M,SEVP-CFO,S - Sale+OE,$172.00,-25000,156984,-14%,"-$4,300,000",,,,,DIS
10,DM,2021-01-22 20:29:50,2021-01-20,DIS,Iger Robert A,Exec COB,S - Sale+OE,$175.89,-494943,1198862,-29%,"-$87,054,689",,,,,DIS
11,D,2021-01-22 20:29:36,2021-01-20,DIS,McCarthy Christine M,SEVP-CFO,S - Sale+OE,$177.24,-5000,156978,-3%,"-$886,200",,,,,DIS
12,D,2021-01-15 19:01:58,2021-01-15,DIS,McCarthy Christine M,SEVP-CFO,S - Sale+OE,$173.00,-4139,156971,-3%,"-$716,047",,,,,DIS
13,D,2020-12-23 19:28:55,2020-12-23,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale+OE,$172.96,-797,22344,-3%,"-$137,849",,,,,DIS
14,D,2020-12-23 19:28:32,2020-12-23,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale+OE,$172.96,-1187,111299,-1%,"-$205,304",,,,,DIS
15,,2020-12-23 19:27:56,2020-12-23,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale,$172.96,-1062,35005,-3%,"-$183,684",,,,,DIS
16,DM,2020-12-22 20:05:09,2020-12-21,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale+OE,$169.75,-8265,112486,-7%,"-$1,402,986",,,,,DIS
17,DM,2020-12-22 20:04:26,2020-12-21,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$169.70,-4039,36067,-10%,"-$685,431",,,,,DIS
18,D,2020-12-22 20:04:11,2020-12-22,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale+OE,$170.00,-1682,23141,-7%,"-$285,940",,,,,DIS
19,D,2020-12-18 21:43:21,2020-12-17,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale+OE,$173.34,-35906,20702,-63%,"-$6,224,065",,,,,DIS
20,D,2020-12-15 20:00:57,2020-12-11,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$169.71,-5000,35005,-12%,"-$848,550",,,,,DIS
21,D,2020-12-03 20:02:59,2020-12-02,DIS,Parker Mary Jayne,"SEVP, CHRO",S - Sale+OE,$152.99,-9731,14048,-41%,"-$1,488,746",,,,,DIS
22,D,2020-12-03 20:02:20,2020-12-02,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$153.85,-5000,35005,-12%,"-$769,250",,,,,DIS
23,D,2020-11-25 18:07:09,2020-11-24,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale+OE,$150.00,-48908,111299,-31%,"-$7,336,200",,,,,DIS
24,D,2020-11-25 18:06:52,2020-11-24,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$149.85,-5000,35005,-12%,"-$749,250",,,,,DIS
25,,2020-11-25 18:06:29,2020-11-24,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale,$148.00,-5800,19887,-23%,"-$858,400",,,,,DIS
26,D,2020-11-10 20:03:21,2020-11-09,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$142.26,-17077,35005,-33%,"-$2,429,280",,,,,DIS
27,,2020-11-10 20:02:59,2020-11-09,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale,$140.00,-5800,25687,-18%,"-$812,000",,,,,DIS
28,D,2020-11-10 20:02:40,2020-11-09,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale+OE,$142.50,-97814,111299,-47%,"-$13,938,500",,,,,DIS
29,,2020-11-10 20:02:20,2020-11-09,DIS,Chapek Robert A,CEO,S - Sale,$140.00,-9537,3614,-73%,"-$1,335,180",,,,,DIS
30,,2020-11-10 20:02:01,2020-11-09,DIS,Parker Mary Jayne,"SEVP, CHRO",S - Sale,$144.99,-13896,14048,-50%,"-$2,014,781",,,,,DIS
31,D,2020-10-15 19:32:39,2020-10-13,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$130.95,-2000,35005,-5%,"-$261,900",,,,,DIS
32,,2020-01-24 21:16:09,2020-01-22,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale,$144.45,-38,111227,0%,"-$5,489",,,,,DIS
33,,2020-01-24 21:15:48,2020-01-22,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale,$144.45,-4,35005,0%,-$578,,,,,DIS
34,,2019-12-26 14:40:09,2019-12-24,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale,$144.58,-5309,111093,-5%,"-$767,575",,,,,DIS
35,,2019-12-26 14:39:48,2019-12-24,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale,$144.74,-838,35001,-2%,"-$121,290",,,,,DIS
36,D,2019-12-23 19:04:12,2019-12-23,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale+OE,$146.14,-3107,116402,-3%,"-$454,057",,,,,DIS
37,D,2019-12-23 19:03:50,2019-12-23,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$146.14,-1139,35839,-3%,"-$166,453",,,,,DIS
38,D,2019-12-20 17:52:52,2019-12-19,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale+OE,$146.32,-1113,114200,-1%,"-$162,854",,,,,DIS
39,D,2019-12-20 17:52:11,2019-12-19,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$146.32,-739,35929,-2%,"-$108,130",,,,,DIS
40,D,2019-12-13 19:06:07,2019-12-11,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$147.45,-2000,32862,-6%,"-$294,900",,,,,DIS
41,D,2019-11-27 17:32:25,2019-11-26,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$152.16,-4000,32862,-11%,"-$608,620",,,,,DIS
42,DM,2019-11-14 19:37:44,2019-11-12,DIS,McCarthy Christine M,SEVP-CFO,S - Sale+OE,$144.84,-39617,135179,-23%,"-$5,738,236",,,,,DIS
43,D,2019-11-14 19:37:24,2019-11-13,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$149.00,-4000,32862,-11%,"-$596,000",,,,,DIS
44,D,2019-11-14 19:37:05,2019-11-14,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale+OE,$150.00,-26751,25490,-51%,"-$4,012,650",,,,,DIS
45,D,2019-07-31 19:02:38,2019-07-29,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$146.68,-2200,32862,-6%,"-$322,700",,,,,DIS
46,D,2019-07-12 19:03:28,2019-07-11,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$144.25,-2000,33060,-6%,"-$288,500",,,,,DIS
47,D,2019-07-09 19:00:34,2019-07-05,DIS,Braverman Alan N,"Sr EVP, GC, Secy",S - Sale+OE,$141.18,-94462,111018,-46%,"-$13,336,145",,,,,DIS
48,D,2019-06-21 19:00:42,2019-06-19,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale+OE,$140.00,-49561,25474,-66%,"-$6,938,540",,,,,DIS
49,DM,2019-06-14 19:22:05,2019-06-13,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$141.27,-6200,33060,-16%,"-$875,900",,,,,DIS
50,,2019-06-14 19:21:22,2019-06-14,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale,$142.11,-15000,25474,-37%,"-$2,131,590",,,,,DIS
51,D,2019-06-07 19:15:41,2019-06-07,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$138.23,-2200,28860,-7%,"-$304,100",,,,,DIS
52,DM,2019-05-17 19:02:53,2019-05-15,DIS,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale+OE,$135.24,-4000,29060,-12%,"-$540,947",,,,,DIS
53,D,2019-04-12 19:00:18,2019-04-12,DIS,Mucha Zenia B.,"SEVP, Chief Comms Officer",S - Sale+OE,$128.88,-33000,40474,-45%,"-$4,253,000",,,,,DIS
