,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-05-10 17:01:02,2021-05-06,DOW,Edmonds Ronald C,"Controller, VP",S - Sale+OE,$68.35,-30000,55084,-35%,"-$2,050,500",,,,,DOW
1,D,2020-11-19 20:02:19,2020-11-18,DOW,Holicki Peter,SVP,S - Sale+OE,$55.99,-6836,50670,-12%,"-$382,761",,,,,DOW
2,,2020-03-16 08:02:51,2020-03-13,DOW,Fitterling James R,CEO,P - Purchase,$24.61,20000,220395,+10%,"+$492,166",,,,,DOW
3,,2020-03-16 08:02:46,2020-03-12,DOW,Fettig Jeff M,Dir,P - Purchase,$24.62,8100,71816,+13%,"+$199,446",,,,,DOW
4,,2020-03-16 08:02:42,2020-03-12,DOW,Bush Wesley G,Dir,P - Purchase,$24.61,20450,29473,+227%,"+$503,285",,,,,DOW
5,,2020-03-03 17:11:35,2020-02-28,DOW,Fettig Jeff M,Dir,P - Purchase,$38.13,15000,63716,+31%,"+$571,950",,,,,DOW
6,,2019-12-17 18:45:44,2019-12-13,DOW,Bell James A,Dir,S - Sale,$53.61,-5404,10754,-33%,"-$289,726",,,,,DOW
7,,2019-12-12 13:26:13,2019-12-10,DOW,Davis Richard K,Dir,P - Purchase,$52.91,6000,13297,+82%,"+$317,460",,,,,DOW
8,,2019-11-27 10:30:55,2019-11-26,DOW,Edmonds Ronald C,"Controller, VP",S - Sale,$55.64,-10000,37556,-21%,"-$556,390",,,,,DOW
9,,2019-08-12 06:01:33,2019-08-08,DOW,Bush Wesley G,Dir,P - Purchase,$46.64,5000,9023,+124%,"+$233,224",,,,,DOW
10,,2019-08-12 06:01:31,2019-08-08,DOW,Yohannes Daniel,Dir,P - Purchase,$46.71,1000,5103,+24%,"+$46,707",,,,,DOW
11,,2019-08-06 19:23:31,2019-08-02,DOW,Fettig Jeff M,Dir,P - Purchase,$46.00,30000,48716,+160%,"+$1,379,955",,,,,DOW
