,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-11 19:21:45,2021-06-11,DXC,Fernandez Raul J,Dir,P - Purchase,$41.20,1820,31305,+6%,"+$74,975",,,,,DXC
1,,2021-06-04 20:27:10,2021-06-02,DXC,Fernandez Raul J,Dir,P - Purchase,$39.73,2517,29485,+9%,"+$99,994",,,,,DXC
2,,2021-06-03 18:31:45,2021-06-02,DXC,Deckelman William L Jr,"EVP, GC",S - Sale,$38.90,-13636,171589,-7%,"-$530,440",,,,,DXC
3,M,2021-02-11 20:19:01,2021-02-09,DXC,Fernandez Raul J,Dir,P - Purchase,$26.19,11443,26968,+74%,"+$299,678",,,,,DXC
4,,2021-02-10 16:51:43,2021-02-08,DXC,Deckelman William L Jr,"EVP, GC",S - Sale,$26.23,-15000,152980,-9%,"-$393,450",,,,,DXC
5,,2020-11-16 20:12:11,2020-11-13,DXC,Fernandez Raul J,Dir,P - Purchase,$20.63,2415,15525,+18%,"+$49,809",,,,,DXC
6,,2020-11-12 09:02:54,2020-11-09,DXC,Deckelman William L Jr,"EVP, GC",S - Sale,$20.00,-14600,167980,-8%,"-$292,000",,,,,DXC
7,,2019-08-08 20:07:16,2019-08-06,DXC,Lawrie John M,"Pres, CEO",P - Purchase,$49.56,10000,912322,+1%,"+$495,617",,,,,DXC
8,M,2019-08-02 20:41:57,2019-07-31,DXC,Lawrie John M,"Pres, CEO",P - Purchase,$53.72,4500,902322,+1%,"+$241,735",,,,,DXC
9,,2019-07-19 17:38:59,2019-07-18,DXC,Lawrie John M,"Pres, CEO",P - Purchase,$56.26,4166,897822,0%,"+$234,384",,,,,DXC
10,,2019-06-20 07:22:23,2019-06-17,DXC,Mason Joanne,"EVP, CHRO",S - Sale,$51.99,-48679,76108,-39%,"-$2,530,835",,,,,DXC
11,D,2019-05-29 19:41:35,2019-05-28,DXC,Mason Joanne,"EVP, CHRO",S - Sale+OE,$52.29,-1768,105548,-2%,"-$92,454",,,,,DXC
12,AD,2018-12-18 17:12:22,2017-04-01,DXC,Lawrie John M,"Pres, CEO",P - Purchase,$0.00,380729,646110,+143%,+$0,,,,,DXC
13,M,2018-10-01 21:20:17,2018-09-27,DXC,Lawrie John M,"Pres, CEO",S - Sale,$93.90,-5000,613665,-1%,"-$469,500",,,,,DXC
14,,2018-09-17 17:36:59,2018-09-13,DXC,Saleh Paul N,"EVP, CFO",S - Sale,$92.03,-50000,76403,-40%,"-$4,601,385",,,,,DXC
15,,2018-09-17 17:34:50,2018-09-13,DXC,Lawrie John M,"Pres, CEO",S - Sale,$92.37,-30000,618665,-5%,"-$2,771,163",,,,,DXC
16,,2018-09-13 17:01:40,2018-09-11,DXC,Saleh Paul N,"EVP, CFO",S - Sale,$90.02,-4322,126403,-3%,"-$389,066",,,,,DXC
17,,2018-09-11 18:01:12,2018-09-07,DXC,Saleh Paul N,"EVP, CFO",S - Sale,$91.16,-25678,130725,-16%,"-$2,340,806",,,,,DXC
18,,2018-08-29 16:56:05,2018-08-28,DXC,Lawrie John M,"Pres, CEO",S - Sale,$89.82,-55549,648665,-8%,"-$4,989,600",,,,,DXC
19,,2018-08-28 17:37:50,2018-08-24,DXC,Deckelman William L Jr,"EVP, GC",S - Sale,$90.02,-2394,21981,-10%,"-$215,508",,,,,DXC
20,,2018-08-28 17:37:15,2018-08-24,DXC,Saleh Paul N,"EVP, CFO",S - Sale,$90.02,-5715,156403,-4%,"-$514,476",,,,,DXC
21,,2018-08-10 17:26:09,2018-08-08,DXC,Deckelman William L Jr,"EVP, GC",S - Sale,$90.00,-8084,24375,-25%,"-$727,560",,,,,DXC
22,,2018-08-10 17:24:22,2018-08-08,DXC,Saleh Paul N,"EVP, CFO",S - Sale,$90.00,-19285,162118,-11%,"-$1,735,650",,,,,DXC
23,,2018-07-25 17:06:16,2018-07-24,DXC,Mason Joanne,"EVP, CHRO",S - Sale,$87.74,-1726,41966,-4%,"-$151,441",,,,,DXC
24,D,2018-05-17 21:47:33,2018-05-16,DXC,Deckelman William L Jr,"EVP, GC",S - Sale+OE,$100.94,-2886,7825,-27%,"-$291,313",,,,,DXC
25,M,2018-05-10 16:18:00,2018-05-08,DXC,Lawrie John M,"Pres, CEO",S - Sale,$102.68,-5000,626110,-1%,"-$513,390",,,,,DXC
26,M,2018-04-30 17:02:28,2018-04-26,DXC,Lawrie John M,"Pres, CEO",S - Sale,$103.04,-5000,631110,-1%,"-$515,196",,,,,DXC
27,M,2018-04-12 19:23:21,2018-04-10,DXC,Lawrie John M,"Pres, CEO",S - Sale,$102.35,-9900,636110,-2%,"-$1,013,288",,,,,DXC
28,,2018-03-30 15:44:32,2018-03-28,DXC,Lawrie John M,"Pres, CEO",S - Sale,$102.02,-100,646010,0%,"-$10,202",,,,,DXC
29,D,2017-10-13 17:13:24,2017-10-12,DXC,Nefkens Michael G,"EVP, GM, Regions, Industries",S - Sale+OE,$92.00,-35340,34,-100%,"-$3,251,280",,,,,DXC
30,D,2017-08-17 16:44:21,2017-08-15,DXC,Saleh Paul N,"EVP, CFO",S - Sale+OE,$84.01,-80922,136289,-37%,"-$6,798,033",,,,,DXC
31,D,2017-08-11 17:00:23,2017-08-09,DXC,Saleh Paul N,"EVP, CFO",S - Sale+OE,$82.54,-40460,136289,-23%,"-$3,339,610",,,,,DXC
