,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-08-03 20:27:39,2021-08-02,FTNT,Xie Michael,"VP, Engineering, CTO",S - Sale+OE,$281.20,-2088,11429925,0%,"-$587,143",,,,,FTNT
1,D,2021-08-03 20:23:57,2021-08-03,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$291.81,-8388,0,-100%,"-$2,447,692",,,,,FTNT
2,,2021-06-03 19:16:02,2021-06-03,FTNT,Ducourty Kelly,Dir,S - Sale,$216.00,-869,896,-49%,"-$187,704",,,,,FTNT
3,,2021-05-25 19:01:35,2021-05-24,FTNT,Xie Michael,"VP, Engineering, CTO",S - Sale,$213.75,-80000,11429925,-1%,"-$17,100,158",,,,,FTNT
4,D,2021-05-25 18:56:44,2021-05-25,FTNT,Jensen Keith,"CFO, Chief Accounting Officer",S - Sale+OE,$215.12,-7990,839,-90%,"-$1,718,805",,,,,FTNT
5,,2021-05-19 19:07:28,2021-05-18,FTNT,Jensen Keith,"CFO, Chief Accounting Officer",S - Sale,$206.02,-1550,839,-65%,"-$319,333",,,,,FTNT
6,D,2021-05-04 16:32:20,2021-05-03,FTNT,Xie Michael,"VP, Engineering, CTO",S - Sale+OE,$202.23,-2088,11509925,0%,"-$422,265",,,,,FTNT
7,D,2021-05-04 16:29:54,2021-05-03,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$199.94,-1152,0,-100%,"-$230,325",,,,,FTNT
8,D,2021-04-22 17:19:44,2021-04-21,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$202.38,-2411,0,-100%,"-$487,945",,,,,FTNT
9,D,2021-03-23 17:54:18,2021-03-22,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$178.07,-2410,0,-100%,"-$429,138",,,,,FTNT
10,DM,2021-02-25 20:08:13,2021-02-23,FTNT,Jensen Keith,"CFO, Chief Accounting Officer",S - Sale+OE,$167.88,-16884,837,-95%,"-$2,834,512",,,,,FTNT
