,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-08-04 18:33:55,2021-08-02,GL,Dichiaro Steven John,Exec. Officer of Principal Sub,S - Sale,$93.39,-6383,14781,-30%,"-$596,089",,,,,GL
1,,2021-08-04 18:24:27,2021-07-30,GL,Dichiaro Steven John,Exec. Officer of Principal Sub,S - Sale,$93.96,-617,21164,-3%,"-$57,974",,,,,GL
2,DM,2021-06-03 17:04:05,2021-06-01,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$105.58,-24000,763483,-3%,"-$2,534,010",,,,,GL
3,DM,2021-06-03 17:02:59,2021-06-01,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$105.59,-24000,697104,-3%,"-$2,534,228",,,,,GL
4,D,2021-06-03 16:22:29,2021-06-02,GL,Buchan Melissa Jane,Dir,S - Sale+OE,$105.89,-11667,82870,-12%,"-$1,235,427",,,,,GL
5,D,2021-06-02 18:24:52,2021-06-01,GL,McPartland James Eric,"EVP,CIO",S - Sale+OE,$106.05,-30000,23703,-56%,"-$3,181,581",,,,,GL
6,D,2021-05-24 16:38:19,2021-05-21,GL,Svoboda Frank M,"EVP, CFO",S - Sale+OE,$105.11,-20000,133620,-13%,"-$2,102,138",,,,,GL
7,D,2021-05-21 14:06:11,2021-05-20,GL,Dichiaro Steven John,Exec. Officer of Principal Sub,S - Sale+OE,$104.47,-30000,21727,-58%,"-$3,134,175",,,,,GL
8,D,2021-05-17 19:25:55,2021-05-14,GL,Majors Michael Clay,"EVP - Investor Rel., Admin.",S - Sale+OE,$105.97,-12000,28133,-30%,"-$1,271,618",,,,,GL
9,D,2021-05-11 20:20:51,2021-05-10,GL,Adair Charles E,Dir,S - Sale+OE,$106.93,-5000,7699,-39%,"-$534,659",,,,,GL
10,D,2021-05-11 20:06:54,2021-05-10,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$107.30,-13000,763484,-2%,"-$1,394,905",,,,,GL
11,AD,2021-05-11 19:54:09,2021-05-10,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$107.33,-13000,697105,-2%,"-$1,395,293",,,,,GL
12,D,2021-05-11 18:41:06,2021-05-10,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$107.33,-13000,697105,-2%,"-$1,395,294",,,,,GL
13,DM,2021-05-06 17:08:39,2021-05-05,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$104.67,-25000,763491,-3%,"-$2,616,826",,,,,GL
14,DM,2021-05-06 16:49:19,2021-05-05,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$104.69,-25000,697115,-3%,"-$2,617,217",,,,,GL
15,D,2021-05-06 15:59:04,2021-05-05,GL,Svoboda Frank M,"EVP, CFO",S - Sale+OE,$104.50,-15000,133620,-10%,"-$1,567,455",,,,,GL
16,D,2021-05-04 15:39:22,2021-05-03,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$103.51,-13000,763512,-2%,"-$1,345,652",,,,,GL
17,D,2021-05-04 15:24:35,2021-05-03,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$103.52,-13000,697142,-2%,"-$1,345,742",,,,,GL
