,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-07-28 16:03:14,2021-07-26,GLW,France Robert P.,"SVP, HR",S - Sale+OE,$41.16,-7764,30000,-21%,"-$319,569",,,,,GLW
1,,2021-06-14 16:10:26,2021-06-14,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$42.14,1420,6938,+26%,"+$59,839",,,,,GLW
2,,2021-06-14 16:08:19,2021-06-10,GLW,Morse David L,"EVP, Chief Tech. Officer",S - Sale,$43.03,-5546,55810,-9%,"-$238,644",,,,,GLW
3,,2021-06-04 16:04:29,2021-06-03,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$42.50,1410,5518,+34%,"+$59,925",,,,,GLW
4,M,2021-05-27 16:08:41,2021-05-25,GLW,Weeks Wendell P,"COB, CEO",S - Sale,$44.00,-100000,716376,-12%,"-$4,400,071",,,,,GLW
5,,2021-05-21 16:03:58,2021-05-19,GLW,France Robert P.,"SVP, HR",S - Sale,$42.79,-3713,30000,-11%,"-$158,863",,,,,GLW
6,,2021-05-21 16:02:58,2021-05-19,GLW,Bell Michael Alan,"SVP, GM, Optical Comm.",S - Sale,$42.82,-2705,667,-80%,"-$115,840",,,,,GLW
7,,2021-05-19 16:26:56,2021-05-19,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$42.89,1399,4108,+52%,"+$60,003",,,,,GLW
8,D,2021-05-19 16:11:45,2021-05-19,GLW,Curran Martin J,"EVP, Innovation Officer",S - Sale+OE,$42.52,-4707,20327,-19%,"-$200,157",,,,,GLW
9,D,2021-05-19 16:09:21,2021-05-17,GLW,Bell Michael Alan,"SVP, GM, Optical Comm.",S - Sale+OE,$44.02,-3084,3372,-48%,"-$135,763",,,,,GLW
10,,2021-05-14 16:05:47,2021-05-12,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$43.29,1385,2709,+105%,"+$59,957",,,,,GLW
11,D,2021-05-07 16:18:03,2021-05-07,GLW,Steverson Lewis A,"EVP, CLAO",S - Sale+OE,$46.03,-35168,0,-100%,"-$1,618,822",,,,,GLW
12,D,2021-05-07 16:16:54,2021-05-07,GLW,Bayne John P Jr,"SVP,GM, Mobile Consumer Elec.",S - Sale+OE,$46.05,-9818,5087,-66%,"-$452,121",,,,,GLW
13,D,2021-05-07 16:16:00,2021-05-05,GLW,Kinlin Clark S,Retired Exec. Vice President,S - Sale+OE,$45.41,-54799,75247,-42%,"-$2,488,286",,,,,GLW
