,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-05-14 16:27:17,2021-05-13,HBI,Cavaliere Joseph W,"Group Pres, Global Innerwear",P - Purchase,$18.76,13675,77884,+21%,"+$256,543",,,,,HBI
1,,2021-05-14 16:26:56,2021-05-13,HBI,Beebe Cheryl K,Dir,P - Purchase,$19.17,5000,14603,+52%,"+$95,846",,,,,HBI
2,,2021-04-07 16:28:53,2021-04-06,HBI,Upchurch W Howard Jr,"Group Pres, IW Americas",S - Sale,$20.01,-90739,331199,-22%,"-$1,815,579",,,,,HBI
3,,2021-03-09 16:44:30,2021-03-08,HBI,Johnson Joia M,"Chief Admin Ofcr, GC, Corp Sec",S - Sale,$20.54,-50000,362430,-12%,"-$1,026,765",,,,,HBI
4,M,2021-03-02 16:24:35,2021-03-01,HBI,Upchurch W Howard Jr,"Group Pres, IW Americas",S - Sale,$18.33,-47152,421938,-10%,"-$864,201",,,,,HBI
5,,2021-03-02 16:23:32,2021-03-01,HBI,Cavaliere Joseph W,"Group Pres, Global Innerwear",P - Purchase,$17.98,16650,64209,+35%,"+$299,367",,,,,HBI
6,,2021-02-25 15:57:58,2021-02-24,HBI,Johnson Joia M,"Chief Admin Ofcr, GC, Corp Sec",S - Sale,$18.31,-50000,412430,-11%,"-$915,320",,,,,HBI
7,,2021-01-28 16:29:38,2021-01-27,HBI,Johnson Joia M,"Chief Admin Ofcr, GC, Corp Sec",S - Sale,$16.00,-39730,466988,-8%,"-$635,843",,,,,HBI
8,,2021-01-26 16:00:56,2021-01-25,HBI,Johnson Joia M,"Chief Admin Ofcr, GC, Corp Sec",S - Sale,$16.02,-36000,493331,-7%,"-$576,731",,,,,HBI
9,,2021-01-15 17:26:04,2021-01-12,HBI,Johnson Joia M,"Chief Admin Ofcr, GC, Corp Sec",S - Sale,$16.01,-40400,529331,-7%,"-$646,642",,,,,HBI
10,,2020-12-17 09:14:23,2020-12-16,HBI,Moison Franck J,Dir,S - Sale,$14.10,-2175,31227,-7%,"-$30,673",,,,,HBI
11,D,2020-11-30 06:12:53,2020-11-24,HBI,Faircloth Michael E.,"Group Pres, Global Ops",S - Sale+OE,$14.73,-2324,354585,-1%,"-$34,223",,,,,HBI
12,,2020-11-13 17:02:42,2020-11-12,HBI,Nelson Ronald L,Dir,P - Purchase,$12.71,30000,245553,+14%,"+$381,390",,,,,HBI
13,,2020-11-10 16:15:40,2020-11-09,HBI,Nelson Ronald L,Dir,P - Purchase,$12.73,50000,215553,+30%,"+$636,600",,,,,HBI
14,D,2020-10-16 16:03:46,2020-10-14,HBI,Upchurch W Howard Jr,"Group Pres, IW Americas",S - Sale+OE,$17.06,-71147,472910,-13%,"-$1,213,768",,,,,HBI
15,D,2020-08-20 17:22:24,2020-08-19,HBI,Ziegler Ann Elizabeth,Dir,S - Sale+OE,$15.90,-12947,28113,-32%,"-$205,831",,,,,HBI
16,D,2019-10-23 16:33:55,2019-10-22,HBI,Upchurch W Howard Jr,"Group Pres, IW Americas",S - Sale+OE,$16.14,-93261,427229,-18%,"-$1,505,484",,,,,HBI
17,,2019-08-15 16:53:11,2019-08-14,HBI,Johnson Joia M,"Chief Admin Ofcr, GC, Corp Sec",P - Purchase,$13.97,7100,510229,+1%,"+$99,178",,,,,HBI
18,,2019-08-08 09:00:09,2019-08-07,HBI,Evans Gerald,CEO,P - Purchase,$14.74,10000,1656005,+1%,"+$147,350",,,,,HBI
19,,2019-05-09 08:34:36,2019-05-08,HBI,Hytinen Barry,CFO,P - Purchase,$17.56,10000,176312,+6%,"+$175,600",,,,,HBI
20,,2018-12-17 16:51:18,2018-12-14,HBI,Mathews Jessica Tuchman,Dir,S - Sale,$13.57,-15000,142589,-10%,"-$203,594",,,,,HBI
21,,2018-12-14 16:25:02,2018-12-12,HBI,Upchurch W Howard Jr,"Group Pres, IW Americas",S - Sale,$14.81,-40688,448672,-8%,"-$602,711",,,,,HBI
22,,2018-11-20 19:26:33,2018-11-20,HBI,Hytinen Barry,CFO,P - Purchase,$14.59,10100,97538,+12%,"+$147,340",,,,,HBI
23,,2018-11-20 17:12:28,2018-11-19,HBI,Nelson Ronald L,Dir,P - Purchase,$14.83,20000,156683,+15%,"+$296,600",,,,,HBI
24,,2018-11-20 17:11:54,2018-11-19,HBI,Evans Gerald,CEO,P - Purchase,$14.98,6500,1393071,0%,"+$97,370",,,,,HBI
25,,2018-11-13 18:22:27,2018-11-12,HBI,Mathews Jessica Tuchman,Dir,S - Sale,$16.54,-2115,150025,-1%,"-$34,982",,,,,HBI
