,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-08-06 16:08:40,2021-08-04,HIG,Robinson David C,"EVP, GC",S - Sale+OE,$65.00,-5469,9519,-36%,"-$355,485",,,,,HIG
1,D,2021-07-23 08:53:30,2021-07-20,HIG,Bloom William A,EVP,S - Sale+OE,$62.00,-16000,5353,-75%,"-$992,000",,,,,HIG
2,D,2021-06-03 16:21:52,2021-06-02,HIG,Bloom William A,EVP,S - Sale+OE,$65.65,-16000,21353,-43%,"-$1,050,400",,,,,HIG
3,D,2021-05-05 16:13:06,2021-05-03,HIG,Costello Beth Ann,"EVP, CFO",S - Sale+OE,$66.25,-10000,50296,-17%,"-$662,500",,,,,HIG
4,D,2021-04-05 16:08:51,2021-04-01,HIG,Robinson David C,"EVP, GC",S - Sale+OE,$66.37,-15693,14988,-51%,"-$1,041,544",,,,,HIG
5,D,2021-04-02 16:08:36,2021-03-31,HIG,Bennett Jonathan R,EVP,S - Sale+OE,$68.00,-1865,25641,-7%,"-$126,820",,,,,HIG
6,D,2021-03-31 16:22:13,2021-03-29,HIG,Swift Christopher,"COB, CEO",S - Sale+OE,$65.91,-148448,333007,-31%,"-$9,784,727",,,,,HIG
7,D,2021-03-31 16:22:05,2021-03-29,HIG,Bloom William A,EVP,S - Sale+OE,$65.22,-33019,37353,-47%,"-$2,153,499",,,,,HIG
8,D,2021-01-04 16:16:27,2020-12-31,HIG,Elliot Douglas G,Pres,S - Sale+OE,$49.00,-128535,188189,-41%,"-$6,298,215",,,,,HIG
9,D,2020-09-25 17:12:50,2020-09-23,HIG,Swift Christopher,"COB, CEO",P - Purchase,$35.98,6975,300109,+2%,"+$250,961",,,,,HIG
10,,2020-03-17 16:06:32,2020-03-13,HIG,Fetter Trevor,Dir,P - Purchase,$41.38,10000,105753,+10%,"+$413,750",,,,,HIG
11,D,2020-03-04 16:51:28,2020-03-02,HIG,Bennett Jonathan R,EVP,S - Sale+OE,$50.07,-3521,28801,-11%,"-$176,296",,,,,HIG
12,,2020-03-03 17:01:42,2020-02-28,HIG,Fetter Trevor,Dir,P - Purchase,$49.80,10000,95753,+12%,"+$498,020",,,,,HIG
13,,2020-03-03 16:09:35,2020-02-28,HIG,Mikells Kathryn A,Dir,P - Purchase,$49.90,5000,81115,+7%,"+$249,493",,,,,HIG
14,,2020-02-27 16:11:50,2020-02-25,HIG,Lewis Scott R.,"SVP, Controller",S - Sale,$56.64,-846,36708,-2%,"-$47,917",,,,,HIG
15,D,2020-02-05 16:09:30,2020-02-03,HIG,Costello Beth Ann,"EVP, CFO",S - Sale+OE,$59.57,-5000,41256,-11%,"-$297,850",,,,,HIG
16,D,2019-11-19 16:10:56,2019-11-15,HIG,Swift Christopher,"COB, CEO",S - Sale+OE,$62.00,-30979,255239,-11%,"-$1,920,698",,,,,HIG
