,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-07-15 17:17:16,2021-07-14,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$44.00,-600,42057,-1%,"-$26,400",,,,,IRM
1,,2021-06-25 16:07:21,2021-06-23,IRM,Halvorsen Kris,Dir,S - Sale,$43.45,-2000,34458,-5%,"-$86,893",,,,,IRM
2,,2021-06-17 19:59:29,2021-06-16,IRM,Allerton Jennifer,Dir,S - Sale,$45.95,-3500,12812,-21%,"-$160,825",,,,,IRM
3,,2021-06-17 19:58:11,2021-06-15,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$45.80,-720,42657,-2%,"-$32,976",,,,,IRM
4,,2021-05-25 18:28:25,2021-05-21,IRM,Rakowich Walter C,Dir,S - Sale,$42.86,-1573,29927,-5%,"-$67,420",,,,,IRM
5,D,2021-05-25 18:26:38,2021-05-24,IRM,Cloutier Ernest W,"EVP, GM, RIM",S - Sale+OE,$43.81,-24965,75097,-25%,"-$1,093,667",,,,,IRM
6,,2021-05-14 16:48:42,2021-05-12,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$41.95,-625,43377,-1%,"-$26,219",,,,,IRM
7,D,2021-05-12 16:24:41,2021-05-10,IRM,Cloutier Ernest W,"EVP, GM, RIM",S - Sale+OE,$41.98,-44199,75097,-37%,"-$1,855,655",,,,,IRM
8,,2021-05-04 21:23:05,2021-04-30,IRM,Tomovcsik John,"EVP, COO",S - Sale,$40.29,-1000,40000,-2%,"-$40,290",,,,,IRM
9,D,2021-05-04 21:22:06,2021-04-29,IRM,Cloutier Ernest W,"EVP, GM, RIM",S - Sale+OE,$39.96,-56223,85097,-40%,"-$2,246,899",,,,,IRM
10,,2021-04-15 20:19:09,2021-04-14,IRM,Marson Deborah,"EVP, GC, Sec.",S - Sale,$37.76,-625,44002,-1%,"-$23,600",,,,,IRM
11,,2021-04-14 17:08:40,2021-04-12,IRM,Tomovcsik John,"EVP, COO",S - Sale,$37.70,-1359,41000,-3%,"-$51,234",,,,,IRM
12,,2021-03-25 17:58:02,2021-03-24,IRM,Deninger Paul F,Dir,S - Sale,$36.60,-1798,64172,-3%,"-$65,807",,,,,IRM
13,,2021-03-24 16:07:45,2021-03-22,IRM,Deninger Paul F,Dir,S - Sale,$36.45,-7202,65970,-10%,"-$262,521",,,,,IRM
14,D,2021-03-11 19:46:19,2021-03-10,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$36.77,-589,219289,0%,"-$21,658",,,,,IRM
15,D,2021-02-26 19:37:37,2021-02-25,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$34.50,-8200,218701,-4%,"-$282,900",,,,,IRM
16,,2021-02-25 19:49:22,2021-02-23,IRM,Meaney William L,"Pres, CEO",S - Sale,$32.22,-6427,210501,-3%,"-$207,078",,,,,IRM
17,DM,2021-02-23 17:03:41,2021-02-19,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$32.35,-15783,216928,-7%,"-$510,569",,,,,IRM
18,D,2021-01-29 16:08:45,2021-01-27,IRM,Tomovcsik John,"EVP, COO",S - Sale+OE,$39.27,-46014,34093,-57%,"-$1,806,970",,,,,IRM
19,,2020-12-22 16:18:23,2020-12-18,IRM,Tomovcsik John,"EVP, COO",S - Sale,$29.63,-41235,34093,-55%,"-$1,221,793",,,,,IRM
20,,2020-08-10 17:59:58,2020-08-06,IRM,Borges Daniel,"SVP, Chief Accounting Officer",S - Sale,$29.50,-7405,0,-100%,"-$218,448",,,,,IRM
21,,2020-06-22 20:09:31,2020-06-18,IRM,Allerton Jennifer,Dir,S - Sale,$27.30,-7011,12812,-35%,"-$191,379",,,,,IRM
22,D,2020-06-04 16:39:08,2020-06-02,IRM,Verrecchia Alfred J,Dir,S - Sale+OE,$26.54,-15555,16643,-48%,"-$412,876",,,,,IRM
23,,2020-05-21 17:15:19,2020-05-19,IRM,Arway Pamela M,Dir,S - Sale,$23.60,-7011,25282,-22%,"-$165,460",,,,,IRM
24,,2020-05-21 17:14:36,2020-05-20,IRM,Rakowich Walter C,Dir,S - Sale,$24.18,-2804,27567,-9%,"-$67,801",,,,,IRM
25,D,2020-03-03 16:24:58,2020-03-02,IRM,Verrecchia Alfred J,Dir,S - Sale+OE,$31.25,-2735,16643,-14%,"-$85,458",,,,,IRM
26,D,2020-02-24 17:03:47,2020-02-21,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$34.34,-6434,188293,-3%,"-$220,944",,,,,IRM
27,D,2020-02-20 16:20:58,2020-02-18,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$34.03,-33870,181860,-16%,"-$1,152,596",,,,,IRM
28,D,2020-02-18 21:22:45,2020-02-14,IRM,Bailey Clark H,Dir,S - Sale+OE,$32.77,-15555,176412,-8%,"-$509,691",,,,,IRM
29,,2019-12-11 17:25:26,2019-12-09,IRM,Allerton Jennifer,Dir,S - Sale,$32.96,-5000,13584,-27%,"-$164,810",,,,,IRM
30,,2019-09-06 16:40:38,2019-09-05,IRM,Keddy Patrick J,"EVP, GM, N. America,W. Europe",S - Sale,$33.00,-6000,24114,-20%,"-$198,000",,,,,IRM
31,,2019-05-29 16:10:06,2019-05-28,IRM,Rakowich Walter C,Dir,S - Sale,$31.47,-2024,23360,-8%,"-$63,695",,,,,IRM
32,,2019-05-06 16:15:33,2019-05-03,IRM,Brown Stuart B,"EVP, CFO",S - Sale,$31.65,-2200,18525,-11%,"-$69,630",,,,,IRM
33,,2019-04-23 20:49:00,2019-04-22,IRM,Maclean Theodore,"EVP, Adjacent Businesses",S - Sale,$35.80,-3442,11204,-24%,"-$123,224",,,,,IRM
34,D,2019-04-22 20:58:24,2019-04-15,IRM,Cloutier Ernest W,"EVP, GM, Int'l",S - Sale+OE,$36.41,-46014,63743,-42%,"-$1,675,397",,,,,IRM
35,D,2019-04-22 20:57:47,2019-04-15,IRM,Bicks Edward,"SVP, Strategy",S - Sale+OE,$36.55,-4950,2741,-64%,"-$180,923",,,,,IRM
36,,2019-03-19 17:05:42,2019-03-15,IRM,Russo Fidelma,"EVP, CTO",S - Sale,$34.79,-7724,9107,-46%,"-$268,718",,,,,IRM
37,D,2019-02-22 16:07:58,2019-02-20,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$35.35,-26712,147992,-15%,"-$944,269",,,,,IRM
38,D,2019-02-22 16:07:21,2019-02-20,IRM,Maclean Theodore,"EVP, Adjacent Businesses",S - Sale+OE,$35.39,-3152,18089,-15%,"-$111,549",,,,,IRM
39,D,2019-02-21 19:09:06,2019-02-19,IRM,Maclean Theodore,"EVP, Adjacent Businesses",S - Sale+OE,$35.18,-395,21241,-2%,"-$13,896",,,,,IRM
40,D,2019-02-21 19:02:30,2019-02-19,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$35.28,-8621,174704,-5%,"-$304,149",,,,,IRM
41,,2019-02-21 18:58:18,2019-02-19,IRM,Russo Fidelma,"EVP, CTO",S - Sale,$35.34,-1383,9157,-13%,"-$48,877",,,,,IRM
42,D,2019-02-20 20:41:53,2019-02-15,IRM,Bailey Clark H,Dir,S - Sale+OE,$35.16,-9108,176412,-5%,"-$320,192",,,,,IRM
43,D,2019-02-01 16:03:37,2019-01-30,IRM,Cloutier Ernest W,"EVP, Gen. Mgr, Int'l",S - Sale+OE,$36.90,-21037,51374,-29%,"-$776,265",,,,,IRM
44,,2018-12-20 16:14:36,2018-12-18,IRM,Allerton Jennifer,Dir,S - Sale,$33.75,-3000,14081,-18%,"-$101,250",,,,,IRM
45,D,2018-07-27 16:10:50,2018-07-26,IRM,Brown Stuart B,"EVP, CFO",S - Sale+OE,$35.38,-1750,10626,-14%,"-$61,915",,,,,IRM
46,,2018-07-06 16:28:45,2018-07-03,IRM,Rakowich Walter C,Dir,S - Sale,$34.95,-1765,20324,-8%,"-$61,687",,,,,IRM
47,D,2018-05-01 17:34:34,2018-04-27,IRM,Bailey Clark H,Dir,S - Sale+OE,$34.55,-9261,176412,-5%,"-$319,958",,,,,IRM
48,,2018-03-19 18:13:08,2018-03-15,IRM,Maclean Theodore,"EVP, Adjacent Businesses",S - Sale,$33.00,-723,11204,-6%,"-$23,859",,,,,IRM
49,DM,2018-02-22 18:45:44,2018-02-20,IRM,Maclean Theodore,"EVP, Adjacent Businesses",S - Sale+OE,$32.30,-1076,11927,-8%,"-$34,752",,,,,IRM
50,DM,2018-02-22 18:38:11,2018-02-20,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$32.08,-24137,112660,-18%,"-$774,371",,,,,IRM
51,D,2018-02-20 21:04:40,2018-02-15,IRM,Maclean Theodore,"EVP, Adjacent Businesses",S - Sale+OE,$33.43,-1345,6896,-16%,"-$44,963",,,,,IRM
52,,2018-01-19 19:16:40,2018-01-17,IRM,Rakowich Walter C,Dir,S - Sale,$36.17,-1734,17676,-9%,"-$62,726",,,,,IRM
53,D,2018-01-10 18:13:21,2018-01-09,IRM,Meaney William L,"Pres, CEO",S - Sale+OE,$37.09,-11014,88525,-11%,"-$408,500",,,,,IRM
54,,2017-12-11 12:50:29,2017-12-08,IRM,Maclean Theodore,"EVP, CMO",S - Sale,$40.07,-1495,7184,-17%,"-$59,905",,,,,IRM
