,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-07-28 12:00:41,2021-07-26,JBHT,McGee Eric,EVP Highway Services,S - Sale+OE,$165.53,-1300,7292,-15%,"-$215,189",,,,,JBHT
1,,2021-06-21 13:33:25,2021-06-17,JBHT,Gasaway Sharilyn S,Dir,S - Sale,$164.92,-10,24355,0%,"-$1,649",,,,,JBHT
2,D,2021-06-08 16:50:23,2021-06-04,JBHT,Boattini Jennifer,"SVP Legal, GC",S - Sale+OE,$169.21,-3662,11779,-24%,"-$619,647",,,,,JBHT
3,,2021-05-11 09:33:59,2021-05-10,JBHT,Garrison Earl Wayne,Dir,S - Sale,$182.17,-23256,1207020,-2%,"-$4,236,441",,,,,JBHT
4,,2021-05-10 17:47:11,2021-05-10,JBHT,George Gary Charles,Dir,S - Sale,$182.29,-5000,1022520,0%,"-$911,451",,,,,JBHT
5,,2021-05-05 15:16:21,2021-05-04,JBHT,Garrison Earl Wayne,Dir,S - Sale,$175.68,-50000,1230276,-4%,"-$8,783,901",,,,,JBHT
6,D,2021-05-04 15:37:50,2021-05-04,JBHT,Simpson Shelley,"EVP, CCO, People, HR",S - Sale+OE,$174.50,-3000,138830,-2%,"-$523,500",,,,,JBHT
7,,2021-05-03 13:49:13,2021-05-03,JBHT,Garrison Earl Wayne,Dir,S - Sale,$174.02,-1532,1280276,0%,"-$266,592",,,,,JBHT
8,,2021-04-30 17:13:51,2021-04-29,JBHT,Garrison Earl Wayne,Dir,S - Sale,$172.12,-8101,1281808,-1%,"-$1,394,360",,,,,JBHT
9,D,2021-04-27 13:26:26,2021-04-27,JBHT,Field Darren P.,EVP Intermodal,S - Sale+OE,$169.43,-1300,13605,-9%,"-$220,259",,,,,JBHT
10,,2021-03-10 18:59:02,2021-03-08,JBHT,Garrison Earl Wayne,Dir,S - Sale,$159.91,-50000,1289909,-4%,"-$7,995,425",,,,,JBHT
11,,2021-03-01 13:59:03,2021-03-01,JBHT,Thompson James K,COB,S - Sale,$150.87,-5000,35038,-12%,"-$754,355",,,,,JBHT
12,D,2021-02-22 17:52:01,2021-02-22,JBHT,McGee Eric,EVP Highway Services,S - Sale+OE,$146.79,-1500,7292,-17%,"-$220,188",,,,,JBHT
13,M,2020-12-10 12:35:07,2020-12-08,JBHT,George Gary Charles,Dir,S - Sale,$139.69,-8906,1032057,-1%,"-$1,244,102",,,,,JBHT
14,D,2020-09-03 12:09:24,2020-09-03,JBHT,Kuhlow John,"SVP, Controller",S - Sale+OE,$140.09,-2737,9311,-23%,"-$383,426",,,,,JBHT
15,,2020-09-03 12:09:18,2020-09-03,JBHT,Matthews Terrence D,Retired,S - Sale,$141.00,-1000,60884,-2%,"-$141,000",,,,,JBHT
16,D,2020-08-28 11:27:11,2020-08-27,JBHT,Hicks Bradley W.,EVP Dedicated,S - Sale+OE,$142.80,-2000,21968,-8%,"-$285,605",,,,,JBHT
17,,2020-08-27 13:47:16,2020-08-26,JBHT,George Gary Charles,Dir,S - Sale,$142.12,-6755,1040963,-1%,"-$960,017",,,,,JBHT
18,,2020-08-27 11:24:06,2020-08-26,JBHT,Garrison Earl Wayne,Dir,S - Sale,$141.00,-5319,1339909,0%,"-$749,979",,,,,JBHT
19,,2020-08-26 10:09:51,2020-08-25,JBHT,Garrison Earl Wayne,Dir,S - Sale,$141.01,-44681,1345228,-3%,"-$6,300,521",,,,,JBHT
20,M,2020-08-25 11:15:01,2020-08-21,JBHT,George Gary Charles,Dir,S - Sale,$140.95,-22121,1047718,-2%,"-$3,117,937",,,,,JBHT
21,,2020-08-14 14:28:16,2020-08-12,JBHT,George Gary Charles,Dir,S - Sale,$140.35,-5486,1069839,-1%,"-$769,990",,,,,JBHT
22,D,2020-08-11 11:33:40,2020-08-10,JBHT,Field Darren P.,EVP Intermodal,S - Sale+OE,$137.78,-1100,5687,-16%,"-$151,558",,,,,JBHT
23,,2020-08-10 10:11:01,2020-08-07,JBHT,Garrison Earl Wayne,Dir,S - Sale,$135.05,-50000,1414909,-3%,"-$6,752,575",,,,,JBHT
24,D,2020-08-07 19:31:42,2020-08-07,JBHT,Roberts John N,"Pres, CEO",S - Sale+OE,$135.17,-7400,335859,-2%,"-$1,000,258",,,,,JBHT
25,A,2020-07-30 18:52:24,2020-07-20,JBHT,George Gary Charles,Dir,S - Sale,$135.32,-38818,1075326,-3%,"-$5,252,857",,,,,JBHT
26,A,2020-07-30 18:48:37,2020-07-20,JBHT,George Gary Charles,Dir,S - Sale,$135.32,-38818,1075326,-3%,"-$5,252,857",,,,,JBHT
27,A,2020-07-30 18:23:54,2020-07-20,JBHT,George Gary Charles,Dir,S - Sale,$135.26,-13323,1114144,-1%,"-$1,802,074",,,,,JBHT
28,,2020-07-30 12:49:02,2020-07-29,JBHT,Matthews Terrence D,Retired,S - Sale,$130.25,-2000,61884,-3%,"-$260,500",,,,,JBHT
29,D,2020-07-22 15:53:20,2020-07-22,JBHT,Bracy Kevin,"VP, Treasurer",S - Sale+OE,$133.26,-1249,13920,-8%,"-$166,445",,,,,JBHT
30,,2020-07-21 15:46:05,2020-07-20,JBHT,George Gary Charles,Dir,S - Sale,$135.32,-92380,979087,-9%,"-$12,500,873",,,,,JBHT
31,,2020-07-21 14:27:53,2020-07-21,JBHT,Matthews Terrence D,Retired,S - Sale,$135.00,-1805,65749,-3%,"-$243,675",,,,,JBHT
32,,2020-07-21 14:25:03,2020-07-21,JBHT,Thompson James K,COB,S - Sale,$135.00,-15000,40838,-27%,"-$2,025,000",,,,,JBHT
33,D,2020-07-20 14:39:03,2020-07-20,JBHT,Hicks Bradley W.,EVP Dedicated,S - Sale+OE,$137.14,-2523,23968,-10%,"-$346,000",,,,,JBHT
34,D,2020-07-20 14:38:57,2020-07-20,JBHT,McGee Eric,EVP Highway Services,S - Sale+OE,$135.63,-1588,7779,-17%,"-$215,381",,,,,JBHT
35,,2020-07-20 14:38:55,2020-07-20,JBHT,George Gary Charles,Dir,S - Sale,$135.26,-56000,1071467,-5%,"-$7,574,579",,,,,JBHT
36,D,2020-06-10 12:24:46,2020-06-08,JBHT,Simpson Shelley,"EVP, Pres ICS, CMO",S - Sale+OE,$121.80,-6000,126635,-5%,"-$730,806",,,,,JBHT
37,D,2020-06-04 17:46:50,2020-06-04,JBHT,Kuhlow John,"SVP, Controller",S - Sale+OE,$117.00,-1880,9311,-17%,"-$219,960",,,,,JBHT
38,D,2020-06-04 17:46:38,2020-04-17,JBHT,Hicks Bradley W.,EVP Dedicated,S - Sale+OE,$105.43,-1000,23968,-4%,"-$105,429",,,,,JBHT
39,D,2020-06-03 13:56:10,2020-06-03,JBHT,Harper Alfred C,"EVP Ops, COO",S - Sale+OE,$117.59,-4300,30802,-12%,"-$505,621",,,,,JBHT
40,D,2020-06-01 14:05:17,2020-05-28,JBHT,Hobbs Nicholas,"EVP, Pres DCS",S - Sale+OE,$119.53,-4200,80860,-5%,"-$502,031",,,,,JBHT
41,M,2020-06-01 13:52:49,2020-05-28,JBHT,Garrison Earl Wayne,Dir,S - Sale,$119.64,-25752,1464909,-2%,"-$3,080,960",,,,,JBHT
42,D,2020-06-01 13:51:58,2020-05-28,JBHT,Field Darren P.,EVP Intermodal,S - Sale+OE,$119.77,-1100,10443,-10%,"-$131,747",,,,,JBHT
43,,2020-05-29 12:25:52,2020-05-28,JBHT,George Gary Charles,Dir,S - Sale,$120.00,-7500,1127467,-1%,"-$900,000",,,,,JBHT
44,D,2020-05-29 12:25:19,2020-05-28,JBHT,Scott Stuart Lockard,"EVP, CIO",S - Sale+OE,$120.40,-2000,7351,-21%,"-$240,800",,,,,JBHT
45,,2020-04-20 13:38:08,2020-04-17,JBHT,Mee David G,Former EVP and CFO,S - Sale,$105.80,-12000,131090,-8%,"-$1,269,547",,,,,JBHT
46,D,2020-02-25 16:59:34,2020-02-21,JBHT,Matthews Terrence D,"EVP, Pres Intermodal",S - Sale+OE,$110.00,-6654,54249,-11%,"-$731,940",,,,,JBHT
47,D,2020-02-14 11:49:15,2020-02-13,JBHT,Mee David G,"EVP, CFO",S - Sale+OE,$114.30,-4776,109150,-4%,"-$545,875",,,,,JBHT
48,D,2020-02-13 14:09:45,2020-02-11,JBHT,Mee David G,"EVP, CFO",S - Sale+OE,$112.60,-6777,113926,-6%,"-$763,088",,,,,JBHT
49,D,2020-02-12 16:51:41,2020-02-11,JBHT,McGee Eric,EVP Highway Services,S - Sale+OE,$112.68,-1000,7779,-11%,"-$112,680",,,,,JBHT
