,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-06-02 13:51:09,2021-06-01,L,Laskawy Philip A,Dir,S - Sale+OE,$58.65,-429,13365,-3%,"-$25,161",,,,,L
1,D,2021-06-02 13:49:38,2021-06-01,L,Harris Walter L,Dir,S - Sale+OE,$58.62,-429,17908,-2%,"-$25,148",,,,,L
2,D,2021-06-02 13:48:17,2021-06-01,L,Fribourg Paul J,Dir,S - Sale+OE,$58.70,-429,0,-100%,"-$25,182",,,,,L
3,D,2021-06-02 13:47:08,2021-06-01,L,Diker Charles M,Dir,S - Sale+OE,$58.63,-429,14908,-3%,"-$25,152",,,,,L
4,D,2021-06-02 13:45:21,2021-06-01,L,Bower Joseph L,Dir,S - Sale+OE,$58.68,-215,11880,-2%,"-$12,616",,,,,L
5,D,2021-06-02 13:44:25,2021-06-01,L,Berman Ann E,Dir,S - Sale+OE,$58.68,-429,0,-100%,"-$25,174",,,,,L
6,D,2021-05-18 12:04:17,2021-05-17,L,Siegel Kenneth I,SVP,S - Sale+OE,$58.50,-11029,6993,-61%,"-$645,197",,,,,L
7,D,2021-03-17 10:08:21,2021-03-16,L,Scott Richard Waldo,"SVP, Chief Investment Officer",S - Sale+OE,$51.34,-6378,33901,-16%,"-$327,447",,,,,L
8,D,2021-03-02 14:42:35,2021-03-01,L,Laskawy Philip A,Dir,S - Sale+OE,$49.41,-170,11406,-1%,"-$8,400",,,,,L
9,D,2021-03-02 14:40:52,2021-03-01,L,Harris Walter L,Dir,S - Sale+OE,$49.31,-170,14616,-1%,"-$8,383",,,,,L
10,D,2021-03-02 14:39:45,2021-03-01,L,Fribourg Paul J,Dir,S - Sale+OE,$49.32,-170,0,-100%,"-$8,384",,,,,L
11,D,2021-03-02 14:38:18,2021-03-01,L,Diker Charles M,Dir,S - Sale+OE,$49.36,-170,11616,-1%,"-$8,391",,,,,L
12,D,2021-03-02 14:37:08,2021-03-01,L,Bower Joseph L,Dir,S - Sale+OE,$49.36,-85,11666,-1%,"-$4,196",,,,,L
13,D,2021-03-02 14:36:00,2021-03-01,L,Berman Ann E,Dir,S - Sale+OE,$49.36,-170,0,-100%,"-$8,391",,,,,L
14,DM,2021-02-16 10:08:58,2021-02-11,L,Tisch Jonathan M,"Co-Ch. of Bd, Officer of the P",S - Sale+OE,$48.12,-8864,9683932,0%,"-$426,552",,,,,L
15,D,2021-01-06 10:18:22,2021-01-05,L,Edelson David B,"SVP, CFO",S - Sale+OE,$44.70,-4595,22820,-17%,"-$205,397",,,,,L
