,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-02 17:00:06,2021-06-01,LEN,McCall Jeffrey Joseph,EVP,S - Sale,$100.14,-10000,153758,-6%,"-$1,001,400",,,,,LEN
1,,2021-04-02 16:33:30,2021-04-01,LEN,McCall Jeffrey Joseph,EVP,S - Sale,$102.46,-10000,163758,-6%,"-$1,024,642",,,,,LEN
2,,2021-03-26 16:31:06,2021-03-26,LEN,Bessette Diane J,"VP, CFO, Treasurer",S - Sale,$100.85,-10036,254998,-4%,"-$1,012,161",,,,,LEN
3,,2021-01-21 16:32:07,2021-01-20,LEN,McCall Jeffrey Joseph,EVP,S - Sale,$80.22,-10000,154500,-6%,"-$802,200",,,,,LEN
4,,2020-12-18 16:19:52,2020-12-17,LEN,McCall Jeffrey Joseph,EVP,S - Sale,$80.20,-10000,164500,-6%,"-$802,000",,,,,LEN
5,,2020-10-06 16:26:01,2020-10-05,LEN,Collins David M,Controller,S - Sale,$85.00,-20000,50341,-28%,"-$1,700,000",,,,,LEN
6,,2020-10-02 16:19:40,2020-10-01,LEN,Jaffe Jonathan M,Pres,S - Sale,$82.42,-20000,485648,-4%,"-$1,648,400",,,,,LEN
7,,2020-09-30 16:33:54,2020-09-29,LEN,McCall Jeffrey Joseph,EVP,S - Sale,$80.22,-1769,174500,-1%,"-$141,909",,,,,LEN
8,,2020-09-25 16:21:57,2020-09-24,LEN,Stowell Scott D,Dir,S - Sale,$76.35,-128603,23095,-85%,"-$9,818,728",,,,,LEN
9,,2020-09-25 16:19:39,2020-09-23,LEN,Bessette Diane J,"VP, CFO, Treasurer",S - Sale,$79.63,-10885,262078,-4%,"-$866,773",,,,,LEN
10,M,2020-09-24 16:42:11,2020-09-22,LEN,McCall Jeffrey Joseph,EVP,S - Sale,$80.00,-8231,176269,-4%,"-$658,517",,,,,LEN
11,,2020-08-18 16:39:40,2020-08-17,LEN,Sustana Mark,"VP, GC, Secretary",S - Sale,$76.87,-40000,70682,-36%,"-$3,074,800",,,,,LEN
12,,2020-07-17 16:28:33,2020-07-16,LEN,McCall Jeffrey Joseph,EVP,S - Sale,$70.01,-10000,184500,-5%,"-$700,100",,,,,LEN
13,,2020-07-09 16:32:33,2020-07-08,LEN,Collins David M,Controller,S - Sale,$65.00,-40000,70341,-36%,"-$2,600,000",,,,,LEN
14,,2020-07-09 16:30:47,2020-07-08,LEN,Bessette Diane J,"VP, CFO, Treasurer",S - Sale,$65.61,-10000,272963,-4%,"-$656,100",,,,,LEN
15,,2020-07-06 18:59:56,2020-07-02,LEN,Bessette Diane J,"VP, CFO, Treasurer",S - Sale,$61.01,-5000,282963,-2%,"-$305,050",,,,,LEN
16,,2020-07-02 16:31:50,2020-07-01,LEN,Jaffe Jonathan M,Pres,S - Sale,$61.41,-40000,505642,-7%,"-$2,456,400",,,,,LEN
17,,2020-01-27 16:55:20,2020-01-24,LEN,Stowell Scott D,Dir,S - Sale,$67.20,-300000,148193,-67%,"-$20,161,040",,,,,LEN
18,,2020-01-24 16:44:16,2020-01-24,LEN,Collins David M,Controller,S - Sale,$67.22,-20000,100191,-17%,"-$1,344,400",,,,,LEN
19,,2020-01-22 16:43:19,2020-01-21,LEN,Bessette Diane J,"VP, CFO, Treasurer",S - Sale,$58.92,-10000,267860,-4%,"-$589,238",,,,,LEN
20,,2020-01-16 16:37:28,2020-01-15,LEN,Collins David M,Controller,S - Sale,$62.54,-10000,120191,-8%,"-$625,400",,,,,LEN
21,,2020-01-03 16:30:27,2020-01-02,LEN,Jaffe Jonathan M,Pres,S - Sale,$56.06,-20000,420459,-5%,"-$1,121,200",,,,,LEN
22,,2019-10-11 16:36:12,2019-10-11,LEN,Bolotin Irving,Dir,S - Sale,$58.90,-5000,35685,-12%,"-$294,500",,,,,LEN
23,,2019-10-08 16:32:11,2019-10-07,LEN,Collins David M,Controller,S - Sale,$59.50,-15000,130191,-10%,"-$892,500",,,,,LEN
24,DM,2019-10-08 16:30:34,2019-10-07,LEN,McCall Jeffrey Joseph,SVP,S - Sale+OE,$58.23,-11126,175616,-6%,"-$647,819",,,,,LEN
25,,2019-10-02 16:55:27,2019-10-01,LEN,Jaffe Jonathan M,Pres,S - Sale,$56.00,-20000,440456,-4%,"-$1,120,000",,,,,LEN
26,,2019-07-02 16:36:06,2019-07-01,LEN,Jaffe Jonathan M,Pres,S - Sale,$49.04,-20000,554207,-3%,"-$980,800",,,,,LEN
27,,2019-04-02 20:38:17,2019-04-01,LEN,Jaffe Jonathan M,Pres,S - Sale,$48.94,-20000,378021,-5%,"-$978,800",,,,,LEN
28,,2019-01-04 16:34:46,2019-01-02,LEN,Jaffe Jonathan M,"Pres, COO",S - Sale,$40.03,-20000,615376,-3%,"-$800,600",,,,,LEN
29,,2018-10-02 16:50:41,2018-10-01,LEN,Jaffe Jonathan M,"Pres, COO",S - Sale,$46.98,-20000,515619,-4%,"-$939,600",,,,,LEN
30,,2018-07-05 16:49:45,2018-07-02,LEN,Jaffe Jonathan M,"Pres, COO",S - Sale,$52.12,-20000,535617,-4%,"-$1,042,400",,,,,LEN
31,D,2018-05-25 16:12:08,2018-05-23,LEN,McCall Jeffrey Joseph,SVP,S - Sale+OE,$50.70,-50887,143069,-26%,"-$2,580,117",,,,,LEN
32,D,2018-05-11 16:31:15,2018-05-09,LEN,McCall Jeffrey Joseph,SVP,S - Sale+OE,$53.92,-50888,142960,-26%,"-$2,743,718",,,,,LEN
33,D,2018-04-09 16:41:21,2018-04-06,LEN,Sonnenfeld Jeffrey,Dir,S - Sale+OE,$62.98,-2095,30568,-6%,"-$131,943",,,,,LEN
34,D,2018-04-09 16:40:03,2018-04-06,LEN,Olivera Armando J,Dir,S - Sale+OE,$62.75,-2500,7259,-26%,"-$156,884",,,,,LEN
35,D,2018-04-09 16:38:43,2018-04-06,LEN,Hudson Sherrill W,Dir,S - Sale+OE,$62.98,-2500,33150,-7%,"-$157,450",,,,,LEN
36,D,2018-04-09 16:37:11,2018-04-06,LEN,Gilliam Theron I,Dir,S - Sale+OE,$62.98,-2089,22462,-9%,"-$131,565",,,,,LEN
37,D,2018-04-09 16:32:50,2018-04-06,LEN,Gerard Steven L,Dir,S - Sale+OE,$62.98,-2500,38023,-6%,"-$157,450",,,,,LEN
38,D,2018-04-09 16:31:06,2018-04-06,LEN,Bolotin Irving,Dir,S - Sale+OE,$62.98,-2089,34695,-6%,"-$131,565",,,,,LEN
39,,2018-04-04 16:32:08,2018-04-02,LEN,Jaffe Jonathan M,"VP, COO",S - Sale,$58.61,-20000,580649,-3%,"-$1,172,200",,,,,LEN
40,,2018-01-24 17:05:48,2018-01-22,LEN,Gross Bruce E,"VP, CFO",S - Sale,$72.00,-21500,581127,-4%,"-$1,548,000",,,,,LEN
41,,2018-01-19 16:30:58,2018-01-18,LEN,Collins David M,Controller,S - Sale,$71.15,-5000,122061,-4%,"-$355,750",,,,,LEN
42,M,2018-01-19 16:28:29,2018-01-17,LEN,Gross Bruce E,"VP, CFO",S - Sale,$70.38,-18500,602627,-3%,"-$1,302,000",,,,,LEN
43,,2018-01-17 16:50:53,2018-01-16,LEN,Bessette Diane J,"VP, Treasurer",S - Sale,$69.50,-10000,241015,-4%,"-$695,000",,,,,LEN
44,,2018-01-16 16:41:33,2018-01-12,LEN,Sustana Mark,"GC, Secretary",S - Sale,$69.55,-125000,69534,-64%,"-$8,693,750",,,,,LEN
45,,2018-01-16 16:37:11,2018-01-12,LEN,Gross Bruce E,"VP, CFO",S - Sale,$69.42,-15000,621127,-2%,"-$1,041,350",,,,,LEN
46,,2018-01-03 17:04:33,2018-01-02,LEN,Jaffe Jonathan M,"VP, COO",S - Sale,$64.02,-20000,479133,-4%,"-$1,280,400",,,,,LEN
47,,2017-12-01 16:41:06,2017-11-30,LEN,Gross Bruce E,"VP, CFO",S - Sale,$63.00,-15000,636127,-2%,"-$945,000",,,,,LEN
48,,2017-11-22 16:35:47,2017-11-21,LEN,Gross Bruce E,"VP, CFO",S - Sale,$60.00,-15000,638362,-2%,"-$900,000",,,,,LEN
49,,2017-10-06 16:31:29,2017-10-05,LEN,Gross Bruce E,"VP, CFO",S - Sale,$56.48,-15000,653362,-2%,"-$847,200",,,,,LEN
50,,2017-10-03 16:31:03,2017-10-02,LEN,Jaffe Jonathan M,"VP, COO",S - Sale,$52.80,-20000,489344,-4%,"-$1,056,000",,,,,LEN
