,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-06-04 08:10:23,2021-06-02,LOW,Godbole Seemantini,"EVP, CIO",S - Sale+OE,$190.77,-15234,28365,-35%,"-$2,906,120",,,,,LOW
1,,2021-03-02 08:43:23,2021-02-26,LOW,Batchelder David H,Dir,P - Purchase,$159.48,6250,28250,+28%,"+$996,755",,,,,LOW
2,D,2020-08-28 16:40:32,2020-08-26,LOW,McCanless Ross W,"EVP, GC, Corp. Sec.",S - Sale+OE,$168.33,-62838,36579,-63%,"-$10,577,653",,,,,LOW
3,,2020-03-10 08:36:14,2020-03-06,LOW,Ellison Marvin R,"Pres, CEO",P - Purchase,$103.86,10000,90090,+12%,"+$1,038,595",,,,,LOW
4,D,2019-09-19 08:07:31,2019-09-17,LOW,Hollifield Matthew V,SVP Chief Accounting Officer,S - Sale+OE,$112.34,-12136,27555,-31%,"-$1,363,312",,,,,LOW
5,,2019-09-17 08:57:42,2019-09-16,LOW,Weber Jennifer L,"EVP, HR",S - Sale,$112.62,-12589,18594,-40%,"-$1,417,773",,,,,LOW
6,,2019-06-21 08:32:31,2019-06-19,LOW,Frieson Donald,"EVP, Supply Chain",P - Purchase,$98.69,2030,10980,+23%,"+$200,342",,,,,LOW
7,,2019-05-29 08:20:49,2019-05-24,LOW,Ellison Marvin R,"Pres, CEO",P - Purchase,$95.05,10000,80090,+14%,"+$950,538",,,,,LOW
8,,2019-05-28 16:30:21,2019-05-24,LOW,Wardell Lisa W,Dir,P - Purchase,$94.90,250,523,+92%,"+$23,725",,,,,LOW
9,,2018-11-27 08:06:04,2018-11-23,LOW,Rogers Brian C,Dir,P - Purchase,$88.02,10000,10000,New,"+$880,200",,,,,LOW
10,D,2018-09-20 07:55:14,2018-09-18,LOW,Croom Marshall A,"EVP, CFO",S - Sale+OE,$114.61,-15735,45653,-26%,"-$1,803,435",,,,,LOW
11,,2018-08-28 07:32:08,2018-08-24,LOW,Wardell Lisa W,Dir,P - Purchase,$107.72,273,273,New,"+$29,407",,,,,LOW
12,D,2018-06-12 08:15:20,2018-06-08,LOW,Hollifield Matthew V,SVP Chief Accounting Officer,S - Sale+OE,$99.56,-12362,27033,-31%,"-$1,230,809",,,,,LOW
13,,2017-11-29 08:39:38,2017-11-27,LOW,Peace Nelson B,Corp Administration Exec,S - Sale,$80.20,-3352,10546,-24%,"-$268,840",,,,,LOW
14,D,2017-09-26 08:33:57,2017-09-22,LOW,Hollifield Matthew V,SVP Chief Accounting Officer,S - Sale+OE,$78.30,-7853,28230,-22%,"-$614,857",,,,,LOW
15,,2017-09-21 08:30:04,2017-09-19,LOW,Ramsay Paul D,CIO,S - Sale,$78.02,-2098,8400,-20%,"-$163,675",,,,,LOW
