,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-03-12 19:49:37,2021-03-12,LYV,Willard Elizabeth Kathleen,"EVP, CFO",S - Sale+OE,$87.69,-81500,286677,-22%,"-$7,146,977",,,,,LYV
1,DM,2021-03-12 19:46:50,2021-03-10,LYV,Berchtold Joe,Pres,S - Sale+OE,$88.17,-255000,870969,-23%,"-$22,483,035",,,,,LYV
2,,2021-03-05 19:38:51,2021-03-04,LYV,Hinson Jeffrey T.,Dir,S - Sale,$90.53,-10000,58136,-15%,"-$905,300",,,,,LYV
3,D,2021-03-05 19:37:45,2021-03-03,LYV,Rowles Michael,"EVP, GC",S - Sale+OE,$90.01,-73869,151898,-33%,"-$6,648,962",,,,,LYV
4,DM,2021-03-05 19:36:23,2021-03-03,LYV,Berchtold Joe,Pres,S - Sale+OE,$90.42,-255000,830769,-23%,"-$23,058,123",,,,,LYV
5,,2020-06-05 21:48:16,2020-06-05,LYV,Hinson Jeffrey T.,Dir,S - Sale,$58.02,-3000,68336,-4%,"-$174,060",,,,,LYV
6,D,2020-06-05 12:34:12,2020-06-04,LYV,Willard Elizabeth Kathleen,"EVP, CFO",S - Sale+OE,$53.53,-68040,258359,-21%,"-$3,642,181",,,,,LYV
7,,2020-03-17 11:26:11,2020-03-13,LYV,Fu Ping,Dir,P - Purchase,$42.50,2000,7827,+34%,"+$85,000",,,,,LYV
8,,2020-03-12 19:38:47,2020-03-11,LYV,Kahan James S,Dir,P - Purchase,$42.96,2600,87421,+3%,"+$111,696",,,,,LYV
9,,2020-03-12 19:38:25,2020-03-12,LYV,Rapino Michael,"Pres, CEO",P - Purchase,$38.98,25650,2420129,+1%,"+$999,837",,,,,LYV
10,,2020-03-12 19:38:03,2020-03-12,LYV,Rowles Michael,"EVP, GC",P - Purchase,$37.57,2650,193056,+1%,"+$99,561",,,,,LYV
11,,2020-03-06 17:04:00,2020-03-04,LYV,Emanuel Ariel,Dir,S - Sale,$58.26,-71394,2380,-97%,"-$4,159,414",,,,,LYV
12,,2019-11-08 16:39:19,2019-11-06,LYV,Kahan James S,Dir,P - Purchase,$61.54,4500,87321,+5%,"+$276,925",,,,,LYV
13,D,2019-08-23 17:01:40,2019-08-21,LYV,Rowles Michael,"EVP, GC",S - Sale+OE,$71.71,-67840,189851,-26%,"-$4,864,806",,,,,LYV
14,D,2019-06-14 17:14:22,2019-06-12,LYV,Rowles Michael,"EVP, GC",S - Sale+OE,$63.14,-67840,189851,-26%,"-$4,283,418",,,,,LYV
15,,2019-06-10 17:12:54,2019-06-07,LYV,Enloe Robert Ted III,Dir,S - Sale,$62.45,-5447,12441,-30%,"-$340,165",,,,,LYV
16,,2019-06-10 17:11:41,2019-06-06,LYV,Hinson Jeffrey T.,Dir,S - Sale,$61.94,-1350,66536,-2%,"-$83,619",,,,,LYV
17,,2019-05-20 17:16:08,2019-05-16,LYV,Shapiro Mark S,Dir,S - Sale,$64.90,-8000,36765,-18%,"-$519,200",,,,,LYV
18,,2019-05-09 16:58:03,2019-05-07,LYV,Emanuel Ariel,Dir,S - Sale,$64.25,-7790,71394,-10%,"-$500,508",,,,,LYV
19,,2019-01-04 17:32:02,2019-01-02,LYV,Rapino Michael,"Pres, CEO",S - Sale,$47.93,-85000,797030,-10%,"-$4,074,050",,,,,LYV
20,M,2018-12-21 21:14:33,2018-12-19,LYV,Rapino Michael,"Pres, CEO",S - Sale,$50.57,-255000,882030,-22%,"-$12,896,200",,,,,LYV
21,,2018-11-09 18:54:56,2018-11-09,LYV,Rowles Michael,"EVP, GC",S - Sale,$56.47,-25000,191237,-12%,"-$1,411,750",,,,,LYV
22,M,2018-09-17 16:37:16,2018-09-13,LYV,Enloe Robert Ted III,Dir,S - Sale,$54.07,-7000,15508,-31%,"-$378,480",,,,,LYV
23,DM,2018-08-31 17:19:34,2018-08-29,LYV,Berchtold Joe,Pres,S - Sale+OE,$49.37,-40000,143409,-22%,"-$1,974,600",,,,,LYV
24,DM,2018-08-31 17:18:55,2018-08-29,LYV,Willard Elizabeth Kathleen,"EVP, CFO",S - Sale+OE,$49.37,-40000,239338,-14%,"-$1,974,800",,,,,LYV
