,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-06-04 16:03:06,2021-06-02,MMC,McDonald Scott,"Pres, CEO of OWG",S - Sale+OE,$138.95,-112051,18763,-86%,"-$15,569,964",,,,,MMC
1,,2021-03-08 16:28:34,2021-03-04,MMC,Ferland Martine,"Pres, CEO, Mercer",S - Sale,$115.28,-2162,2763,-44%,"-$249,235",,,,,MMC
2,,2021-03-08 16:25:21,2021-03-04,MMC,Glaser Daniel S,"Pres, CEO, MMC",S - Sale,$115.28,-27142,166074,-14%,"-$3,128,930",,,,,MMC
3,,2021-03-08 16:21:54,2021-03-04,MMC,Hearn Peter C,"Pres, CEO, Guy Carpenter",S - Sale,$115.28,-4418,9866,-31%,"-$509,307",,,,,MMC
4,,2021-03-08 16:19:19,2021-03-04,MMC,McDonald Scott,"Pres, CEO of OWG",S - Sale,$115.28,-4437,18763,-19%,"-$511,497",,,,,MMC
5,,2021-03-08 16:14:58,2021-03-08,MMC,McGivney Mark C,CFO,S - Sale,$115.28,-6125,33678,-15%,"-$706,090",,,,,MMC
6,,2021-03-08 16:11:37,2021-03-04,MMC,Mills Stacy,"VP, Controller",S - Sale,$115.28,-1434,2923,-33%,"-$165,312",,,,,MMC
7,D,2020-12-14 16:33:03,2020-12-11,MMC,Glaser Daniel S,"Pres, CEO, MMC",S - Sale+OE,$115.39,-314516,166074,-65%,"-$36,291,561",,,,,MMC
8,D,2020-11-17 16:18:15,2020-11-16,MMC,Yates Lloyd M,Dir,S - Sale+OE,$115.17,-6658,24001,-22%,"-$766,781",,,,,MMC
9,D,2020-11-17 16:04:30,2020-11-16,MMC,McGivney Mark C,CFO,S - Sale+OE,$114.91,-32439,33678,-49%,"-$3,727,501",,,,,MMC
10,,2020-08-26 16:00:22,2020-08-25,MMC,Ferland Martine,"Pres, CEO, Mercer",S - Sale,$112.90,-2940,2763,-52%,"-$331,920",,,,,MMC
11,,2020-08-04 16:04:02,2020-08-03,MMC,Ledford Laurie,"SVP, CHRO",S - Sale,$115.78,-4114,8939,-32%,"-$476,298",,,,,MMC
12,D,2020-03-09 16:08:16,2020-03-05,MMC,McDonald Scott,"Pres, CEO of OWG",S - Sale+OE,$106.81,-40297,18763,-68%,"-$4,304,159",,,,,MMC
13,,2020-03-09 16:07:17,2020-03-05,MMC,McGivney Mark C,CFO,S - Sale,$106.83,-8465,33678,-20%,"-$904,274",,,,,MMC
14,D,2020-03-09 16:06:16,2020-03-05,MMC,Glaser Daniel S,"Pres, CEO, MMC",S - Sale+OE,$106.81,-248347,168574,-60%,"-$26,526,787",,,,,MMC
15,,2020-03-09 16:04:17,2020-03-05,MMC,Mills Stacy,"VP, Controller",S - Sale,$106.83,-1270,2923,-30%,"-$135,675",,,,,MMC
16,,2020-03-09 16:00:37,2020-03-05,MMC,Gilbert E Scott,"SVP, CIO",S - Sale,$106.89,-4114,43197,-9%,"-$439,749",,,,,MMC
17,,2020-03-05 16:02:18,2020-03-04,MMC,Hearn Peter C,"Pres, CEO, Guy Carpenter",S - Sale,$107.46,-7774,9704,-44%,"-$835,394",,,,,MMC
18,D,2020-02-26 16:12:58,2020-02-24,MMC,McGivney Mark C,CFO,S - Sale+OE,$113.93,-47873,33678,-59%,"-$5,454,262",,,,,MMC
