,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-06-04 16:24:59,2021-06-03,MTB,Warman D Scott N,EVP,S - Sale+OE,$163.00,-4000,22353,-15%,"-$652,000",,,,,MTB
1,,2021-04-30 16:52:22,2021-04-28,MTB,Geisel Gary N,Dir,S - Sale,$155.91,-836,21874,-4%,"-$130,341",,,,,MTB
2,,2021-04-28 16:19:56,2021-04-27,MTB,Trolli Michele D,EVP,S - Sale,$155.74,-4967,10622,-32%,"-$773,580",,,,,MTB
3,,2021-04-28 16:15:02,2021-04-26,MTB,Meister Doris P.,EVP,S - Sale,$155.24,-1330,1916,-41%,"-$206,471",,,,,MTB
4,D,2021-04-28 16:09:31,2021-04-26,MTB,Bojdak Robert J,EVP,S - Sale+OE,$155.03,-1605,22122,-7%,"-$248,823",,,,,MTB
5,D,2020-12-09 16:11:51,2020-12-07,MTB,Salamone Denis J,Dir,S - Sale+OE,$127.19,-16394,88299,-16%,"-$2,085,197",,,,,MTB
6,D,2020-11-12 16:35:08,2020-11-09,MTB,Bojdak Robert J,EVP,S - Sale+OE,$123.55,-1621,22247,-7%,"-$200,279",,,,,MTB
7,,2020-09-11 17:12:16,2020-09-09,MTB,Meister Doris P.,EVP,S - Sale,$101.35,-885,904,-49%,"-$89,696",,,,,MTB
8,D,2020-06-03 16:24:01,2020-06-02,MTB,Bojdak Robert J,EVP,S - Sale+OE,$108.51,-870,23804,-4%,"-$94,405",,,,,MTB
9,,2020-05-29 18:12:57,2020-05-27,MTB,Meister Doris P.,EVP,S - Sale,$112.65,-1000,1789,-36%,"-$112,645",,,,,MTB
10,,2020-02-18 16:43:25,2020-02-13,MTB,Todaro Michael J.,EVP,S - Sale,$169.15,-1107,2038,-35%,"-$187,244",,,,,MTB
11,D,2020-02-06 17:13:42,2020-02-04,MTB,Martocci Gino A.,EVP,S - Sale+OE,$171.47,-1437,15820,-8%,"-$246,403",,,,,MTB
12,,2020-02-04 17:29:23,2020-02-03,MTB,Meister Doris P.,EVP,S - Sale,$170.18,-100,2789,-3%,"-$17,018",,,,,MTB
13,,2019-11-08 15:40:45,2019-11-07,MTB,Gold Richard S,"Pres, COO",S - Sale,$169.44,-4093,38955,-10%,"-$693,496",,,,,MTB
14,,2019-11-08 15:20:55,2019-11-06,MTB,Sadler Robert E Jr,Dir,S - Sale,$165.44,-8700,102365,-8%,"-$1,439,293",,,,,MTB
15,D,2019-11-06 16:50:14,2019-11-05,MTB,Salamone Denis J,Dir,S - Sale+OE,$167.50,-15755,87455,-15%,"-$2,639,021",,,,,MTB
16,D,2019-11-06 16:37:11,2019-11-04,MTB,King Darren J,"E.VP, CFO",S - Sale+OE,$162.59,-3968,44486,-8%,"-$645,157",,,,,MTB
17,D,2019-09-11 16:12:27,2019-09-10,MTB,Dangelo John L,EVP,S - Sale+OE,$154.58,-650,3016,-18%,"-$100,478",,,,,MTB
18,,2019-08-20 16:16:49,2019-08-19,MTB,Todaro Michael J.,EVP,P - Purchase,$149.51,1025,2025,+103%,"+$153,247",,,,,MTB
19,,2019-08-16 14:34:58,2019-08-15,MTB,Todaro Michael J.,EVP,P - Purchase,$144.84,186,1000,+23%,"+$26,941",,,,,MTB
20,,2019-08-14 16:18:08,2019-08-12,MTB,Meister Doris P.,EVP,S - Sale,$150.96,-1108,114,-91%,"-$167,262",,,,,MTB
21,,2019-08-05 16:35:27,2019-08-01,MTB,Farrell William J II,EVP,S - Sale,$163.82,-3070,10774,-22%,"-$502,937",,,,,MTB
22,,2019-06-04 13:42:34,2019-06-03,MTB,Meister Doris P.,EVP,S - Sale,$160.29,-460,1553,-23%,"-$73,733",,,,,MTB
23,D,2019-05-31 16:36:56,2019-05-29,MTB,King Darren J,"E.VP, CFO",S - Sale+OE,$162.95,-1841,48447,-4%,"-$299,994",,,,,MTB
24,D,2019-05-07 16:23:57,2019-05-06,MTB,Bojdak Robert J,EVP,S - Sale+OE,$170.03,-1638,22933,-7%,"-$278,507",,,,,MTB
25,,2019-05-03 16:24:36,2019-05-02,MTB,Farrell William J II,EVP,S - Sale,$169.43,-1476,13844,-10%,"-$250,076",,,,,MTB
26,,2019-05-01 15:01:46,2019-04-29,MTB,Bontempo C Angela,Dir,S - Sale,$170.54,-106,13536,-1%,"-$18,077",,,,,MTB
27,D,2019-04-19 10:25:36,2019-04-17,MTB,Siddique Sabeth,Chief of Reg. Affairs,S - Sale+OE,$168.13,-1100,2422,-31%,"-$184,939",,,,,MTB
