,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-03-10 16:58:06,2021-03-08,NLSN,De Luca Guerrino,Dir,P - Purchase,$25.26,3971,32080,+14%,"+$100,311",,,,,NLSN
1,,2020-03-09 16:09:35,2020-03-06,NLSN,Attwood James A Jr,Dir,P - Purchase,$16.33,250000,325747,+330%,"+$4,082,500",,,,,NLSN
2,,2020-03-02 06:42:51,2020-02-28,NLSN,Kenny David W,CEO,P - Purchase,$18.08,55400,642476,+9%,"+$1,001,632",,,,,NLSN
3,,2018-12-04 16:11:47,2018-12-03,NLSN,Charlton Jeffrey,"SVP, Corporate Controller",S - Sale,$27.46,-6337,19935,-24%,"-$173,982",,,,,NLSN
4,D,2018-05-01 16:04:10,2018-04-27,NLSN,Pozen Robert C,Dir,S - Sale+OE,$31.96,-12210,211802,-5%,"-$390,207",,,,,NLSN
5,,2018-03-12 16:30:16,2018-03-08,NLSN,Jackson Jamere,CFO,S - Sale,$32.97,-19000,71432,-21%,"-$626,430",,,,,NLSN
6,,2017-12-18 16:32:02,2017-12-14,NLSN,Jackson Jamere,CFO,S - Sale,$36.30,-16000,93138,-15%,"-$580,800",,,,,NLSN
7,,2017-12-01 16:23:12,2017-12-01,NLSN,Barns Dwight,CEO,P - Purchase,$36.86,13631,348556,+4%,"+$502,439",,,,,NLSN
8,,2017-11-22 11:02:47,2017-11-21,NLSN,Charlton Jeffrey,"SVP, Corporate Controller",S - Sale,$36.01,-3080,10100,-23%,"-$110,911",,,,,NLSN
9,,2017-11-15 16:30:10,2017-11-13,NLSN,De Luca Guerrino,Dir,P - Purchase,$36.54,1369,3708,+59%,"+$50,017",,,,,NLSN
10,M,2017-09-13 21:04:25,2016-02-29,NLSN,Charlton Jeffrey,"SVP, Corporate Controller",S - Sale,$49.21,-3762,9603,-28%,"-$185,129",,,,,NLSN
11,D,2017-09-08 16:39:35,2017-09-06,NLSN,Hoguet Karen M,Dir,S - Sale+OE,$39.01,-18620,31808,-37%,"-$726,418",,,,,NLSN
