,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-05-11 17:24:16,2021-05-07,NVR,Saville Paul C,CEO,S - Sale,"$5,221.00",-3460,116188,-3%,"-$18,064,668",,,,,NVR
1,,2021-02-03 16:25:16,2021-02-01,NVR,Praylo Paul W,"SVP, COO",S - Sale,"$4,502.27",-127,302,-30%,"-$571,788",,,,,NVR
2,D,2021-02-03 08:59:58,2021-02-01,NVR,Kelpy Matthew B.,"VP, Chief Accounting Officer",S - Sale+OE,"$4,500.00",-463,145,-76%,"-$2,083,500",,,,,NVR
3,D,2021-02-02 17:18:36,2021-02-01,NVR,Bredow Eugene James,"Pres, NVRM, Inc.",S - Sale+OE,"$4,520.00",-1000,979,-51%,"-$4,520,000",,,,,NVR
4,D,2020-11-30 14:01:58,2020-11-25,NVR,Saville Paul C,CEO,S - Sale+OE,"$4,180.01",-850,120550,-1%,"-$3,553,009",,,,,NVR
5,DM,2020-11-25 14:24:34,2020-11-23,NVR,Saville Paul C,CEO,S - Sale+OE,"$4,193.17",-2400,120550,-2%,"-$10,063,606",,,,,NVR
6,DM,2020-11-23 17:10:41,2020-11-19,NVR,Saville Paul C,CEO,S - Sale+OE,"$4,210.05",-1750,120550,-1%,"-$7,367,588",,,,,NVR
7,D,2020-11-17 13:26:49,2020-11-13,NVR,Bredow Eugene James,"Pres, NVRM, Inc.",S - Sale+OE,"$4,281.64",-183,979,-16%,"-$783,540",,,,,NVR
8,,2020-11-12 14:33:48,2020-11-11,NVR,Festa Alfred E,Dir,S - Sale,"$4,128.84",-500,321,-61%,"-$2,064,420",,,,,NVR
9,D,2020-11-05 18:05:08,2020-11-04,NVR,Bredow Eugene James,"Pres, NVRM, Inc.",S - Sale+OE,"$4,300.00",-1000,979,-51%,"-$4,300,000",,,,,NVR
10,,2020-10-29 15:32:45,2020-10-28,NVR,Kelpy Matthew B.,"VP, Chief Accounting Officer",P - Purchase,"$3,919.98",17,55,+45%,"+$66,640",,,,,NVR
11,,2020-10-27 10:13:13,2020-10-23,NVR,Jung Alexandra A,Dir,P - Purchase,"$4,211.37",30,125,+32%,"+$126,341",,,,,NVR
12,D,2020-08-04 16:32:37,2020-08-03,NVR,Eckert Thomas D,Dir,S - Sale+OE,"$3,900.00",-2035,1100,-65%,"-$7,936,500",,,,,NVR
13,,2020-05-14 14:04:09,2020-05-12,NVR,Bailey Sallie B,Dir,P - Purchase,"$3,000.00",75,75,New,"+$225,000",,,,,NVR
14,,2020-05-14 13:59:59,2020-05-13,NVR,Ross Susan Williamson,Dir,P - Purchase,"$2,793.00",30,155,+24%,"+$83,790",,,,,NVR
15,DM,2020-02-24 15:47:19,2020-02-20,NVR,Martchek Jeffrey D,Pres of Homebuilding Ops,S - Sale+OE,"$4,027.57",-1000,5484,-15%,"-$4,027,575",,,,,NVR
16,D,2020-02-24 14:33:54,2020-02-21,NVR,Saville Paul C,CEO,S - Sale+OE,"$4,026.22",-444,120550,0%,"-$1,787,642",,,,,NVR
