,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,A,2021-08-09 17:15:43,2021-08-03,POOL,Sledd Robert C,Dir,S - Sale,$480.00,-7254,2300,-76%,"-$3,481,920",,,,,POOL
1,,2021-08-05 17:16:54,2021-08-03,POOL,Sledd Robert C,Dir,S - Sale,$479.50,-3300,11419,-22%,"-$1,582,350",,,,,POOL
2,,2021-08-05 17:14:16,2021-08-03,POOL,Joslin Mark W,SVP,S - Sale,$482.50,-15000,85195,-15%,"-$7,237,500",,,,,POOL
3,,2021-08-04 17:43:16,2021-08-02,POOL,St Romain Kenneth G,Group VP,S - Sale,$475.12,-9982,70945,-12%,"-$4,742,617",,,,,POOL
4,DM,2021-08-02 17:36:51,2021-07-29,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$479.26,-19086,915827,-2%,"-$9,147,101",,,,,POOL
5,,2021-07-29 17:10:39,2021-07-27,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$470.00,-3000,9794,-23%,"-$1,410,000",,,,,POOL
6,,2021-05-26 16:11:31,2021-05-24,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$430.80,-1795,12794,-12%,"-$773,280",,,,,POOL
7,,2021-05-20 16:12:25,2021-05-19,POOL,Arvan Peter D,"Pres, CEO",P - Purchase,$429.30,465,60148,+1%,"+$199,625",,,,,POOL
8,,2021-05-12 16:07:00,2021-05-10,POOL,St Romain Kenneth G,Group VP,S - Sale,$444.97,-9310,80927,-10%,"-$4,142,681",,,,,POOL
9,D,2021-05-07 16:43:11,2021-05-05,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$435.22,-10000,916012,-1%,"-$4,352,209",,,,,POOL
10,D,2021-05-05 17:26:10,2021-05-03,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$428.20,-17106,915734,-2%,"-$7,324,800",,,,,POOL
11,D,2021-04-29 17:07:50,2021-04-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$425.00,-1459,915734,0%,"-$620,076",,,,,POOL
12,D,2021-04-28 17:00:05,2021-04-26,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$413.17,-12500,90237,-12%,"-$5,164,609",,,,,POOL
13,,2021-03-09 17:01:16,2021-03-05,POOL,Arvan Peter D,"Pres, CEO",P - Purchase,$316.03,500,59683,+1%,"+$158,016",,,,,POOL
14,D,2020-11-09 16:54:14,2020-11-05,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$386.85,-15144,915734,-2%,"-$5,858,396",,,,,POOL
15,D,2020-11-06 19:07:40,2020-11-04,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$376.20,-20281,915734,-2%,"-$7,629,660",,,,,POOL
16,,2020-11-06 19:07:20,2020-11-04,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$370.09,-3799,100505,-4%,"-$1,405,961",,,,,POOL
17,DM,2020-11-06 19:07:00,2020-11-04,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$379.08,-18250,90890,-17%,"-$6,918,115",,,,,POOL
18,,2020-11-06 19:06:39,2020-11-04,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$374.05,-609,14442,-4%,"-$227,793",,,,,POOL
19,D,2020-10-29 17:13:56,2020-10-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$367.05,-10000,915874,-1%,"-$3,670,482",,,,,POOL
20,M,2020-10-28 16:35:55,2020-10-26,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$362.13,-6201,104304,-6%,"-$2,245,557",,,,,POOL
21,,2020-08-31 16:38:58,2020-08-27,POOL,Housey Hart Melanie,"VP, CHIEF ACCOUNTING OFFICER,",S - Sale,$338.39,-1027,10309,-9%,"-$347,522",,,,,POOL
22,D,2020-08-31 16:38:32,2020-08-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$340.27,-3200,915974,0%,"-$1,088,873",,,,,POOL
23,D,2020-08-25 17:08:05,2020-08-21,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$330.15,-1295,915974,0%,"-$427,538",,,,,POOL
24,D,2020-08-20 18:02:26,2020-08-18,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$330.59,-8536,915974,-1%,"-$2,821,926",,,,,POOL
25,DM,2020-08-06 16:44:18,2020-08-04,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$326.60,-16224,917001,-2%,"-$5,298,767",,,,,POOL
26,DM,2020-08-04 17:26:19,2020-07-31,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$318.95,-12004,94140,-11%,"-$3,828,698",,,,,POOL
27,,2020-08-04 17:10:45,2020-07-31,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$315.00,-5000,110505,-4%,"-$1,575,000",,,,,POOL
28,D,2020-08-03 16:31:45,2020-07-30,POOL,Housey Hart Melanie,"VP, CHIEF ACCOUNTING OFFICER,",S - Sale+OE,$312.02,-2250,11336,-17%,"-$702,043",,,,,POOL
29,D,2020-07-31 16:54:00,2020-07-29,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$312.59,-20000,917001,-2%,"-$6,251,879",,,,,POOL
30,DM,2020-07-30 20:52:50,2020-07-28,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$312.37,-14996,94140,-14%,"-$4,684,365",,,,,POOL
31,M,2020-07-30 19:58:10,2020-07-28,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$311.00,-5000,115505,-4%,"-$1,555,000",,,,,POOL
32,DM,2020-07-29 16:33:20,2020-07-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$310.13,-13945,917001,-1%,"-$4,324,787",,,,,POOL
33,D,2020-06-02 16:33:18,2020-05-29,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$266.78,-14824,917001,-2%,"-$3,954,703",,,,,POOL
34,DM,2020-05-29 17:15:38,2020-05-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$254.15,-35878,917001,-4%,"-$9,118,394",,,,,POOL
35,DM,2020-05-27 16:38:41,2020-05-22,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$241.91,-23144,917001,-2%,"-$5,598,776",,,,,POOL
36,D,2020-04-29 16:39:15,2020-04-27,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$222.76,-18302,94140,-16%,"-$4,076,884",,,,,POOL
37,,2020-04-02 16:54:33,2020-03-31,POOL,Cook Arthur D,Group VP,S - Sale,$195.00,-5003,39152,-11%,"-$975,585",,,,,POOL
38,,2020-03-09 16:23:10,2020-03-05,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$222.80,-1764,15051,-10%,"-$393,010",,,,,POOL
39,D,2020-03-04 17:25:03,2020-03-03,POOL,Neil Jennifer M,"GC, Secretary",S - Sale+OE,$216.23,-2250,16815,-12%,"-$486,510",,,,,POOL
40,DM,2020-02-28 17:09:34,2020-02-26,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$222.93,-18560,95807,-16%,"-$4,137,560",,,,,POOL
41,DM,2020-02-24 16:56:30,2020-02-20,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$232.09,-23138,93169,-20%,"-$5,370,008",,,,,POOL
42,DM,2020-02-20 17:00:01,2020-02-18,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$235.19,-26154,916550,-3%,"-$6,151,062",,,,,POOL
