,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-21 17:35:09,2021-06-17,PWR,Conaway John Michal,Former Director,S - Sale,$89.57,-3500,7226,-33%,"-$313,495",,,,,PWR
1,,2021-05-12 19:04:50,2021-05-10,PWR,Grindstaff Nicholas M,"VP - Finance, Treasurer",S - Sale,$101.22,-8454,31868,-21%,"-$855,714",,,,,PWR
2,,2021-03-29 18:07:11,2021-03-29,PWR,Gregory Paul Craig,"CSO, Division Pres",S - Sale,$86.56,-7570,120834,-6%,"-$655,259",,,,,PWR
3,,2021-03-29 18:06:33,2021-03-29,PWR,Wayne Donald,"EVP, GC",S - Sale,$86.56,-1817,57885,-3%,"-$157,280",,,,,PWR
4,,2021-03-29 18:06:14,2021-03-29,PWR,Upperman Dorothy,VP Tax,S - Sale,$86.56,-738,10624,-6%,"-$63,881",,,,,PWR
5,D,2021-03-23 18:06:29,2021-03-19,PWR,Wood Patrick III,Dir,S - Sale+OE,$85.21,-5000,10612,-32%,"-$426,050",,,,,PWR
6,,2021-03-16 19:19:22,2021-03-12,PWR,Lemon Jerry K,Chief Accounting Officer,S - Sale,$88.09,-5592,11880,-32%,"-$492,599",,,,,PWR
7,,2021-03-16 19:18:18,2021-03-15,PWR,Upperman Dorothy,VP Tax,S - Sale,$88.18,-2277,10505,-18%,"-$200,786",,,,,PWR
8,D,2021-03-09 20:01:42,2021-03-08,PWR,Conaway John Michal,Dir,S - Sale+OE,$84.44,-15000,8512,-64%,"-$1,266,525",,,,,PWR
9,,2021-03-05 18:59:04,2021-03-04,PWR,Wayne Donald,"EVP, GC",S - Sale,$82.25,-14715,55745,-21%,"-$1,210,309",,,,,PWR
10,,2021-03-05 18:58:41,2021-03-05,PWR,Upperman Dorothy,VP Tax,S - Sale,$82.67,-65,12782,-1%,"-$5,374",,,,,PWR
11,,2021-03-05 18:57:45,2021-03-04,PWR,Gregory Paul Craig,"CSO, Pres-Pipeline, Ind",S - Sale,$81.10,-52544,118890,-31%,"-$4,261,234",,,,,PWR
12,,2021-03-05 18:56:42,2021-03-04,PWR,Jensen Derrick A,CFO,S - Sale,$80.99,-36750,312197,-11%,"-$2,976,383",,,,,PWR
13,,2021-03-02 19:04:42,2021-03-02,PWR,Gregory Paul Craig,"CSO, Pres-Pipeline, Ind",S - Sale,$85.35,-12597,118890,-10%,"-$1,075,154",,,,,PWR
