,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-07-26 15:47:29,2021-07-23,SPG,Stewart Marta R,Dir,P - Purchase,$123.87,85,7727,+1%,"+$10,529",,,,,SPG
1,,2021-07-26 15:47:13,2021-07-23,SPG,Smith J Albert Jr,Dir,P - Purchase,$123.87,412,54449,+1%,"+$51,034",,,,,SPG
2,,2021-07-26 15:46:56,2021-07-23,SPG,Smith Daniel C.,Dir,P - Purchase,$123.87,203,21215,+1%,"+$25,146",,,,,SPG
3,,2021-07-26 15:46:42,2021-07-23,SPG,Selig Stefan M,Dir,P - Purchase,$123.87,93,23348,0%,"+$11,520",,,,,SPG
4,,2021-07-26 15:43:06,2021-07-23,SPG,Rodkin Gary M,Dir,P - Purchase,$123.87,115,10325,+1%,"+$14,245",,,,,SPG
5,,2021-07-26 15:42:50,2021-07-23,SPG,Leibowitz Reuben S,Dir,P - Purchase,$123.87,297,56102,+1%,"+$36,789",,,,,SPG
6,,2021-07-26 15:42:38,2021-07-23,SPG,Hubbard Allan B,Dir,P - Purchase,$123.87,238,24977,+1%,"+$29,481",,,,,SPG
7,,2021-07-26 15:42:28,2021-07-23,SPG,Horn Karen N,Dir,P - Purchase,$123.87,327,29300,+1%,"+$40,505",,,,,SPG
8,,2021-07-26 15:39:43,2021-07-23,SPG,Glasscock Larry C,Dir,P - Purchase,$123.87,207,31312,+1%,"+$25,641",,,,,SPG
9,,2021-07-26 15:39:30,2021-07-23,SPG,Aeppel Glyn,Dir,P - Purchase,$123.87,105,10413,+1%,"+$13,006",,,,,SPG
10,,2021-04-26 16:22:23,2021-04-23,SPG,Stewart Marta R,Dir,P - Purchase,$116.37,67,6121,+1%,"+$7,797",,,,,SPG
11,,2021-04-26 16:21:46,2021-04-23,SPG,Smith J Albert Jr,Dir,P - Purchase,$116.37,385,52370,+1%,"+$44,802",,,,,SPG
12,,2021-04-26 16:21:15,2021-04-23,SPG,Smith Daniel C.,Dir,P - Purchase,$116.37,182,19491,+1%,"+$21,179",,,,,SPG
