,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-02 16:03:11,2021-06-01,SRE,Sagara Kevin C.,"EVP, Group Pres",S - Sale,$135.69,-15525,6888,-69%,"-$2,106,587",,,,,SRE
1,,2021-06-02 16:01:45,2021-06-01,SRE,Mihalik Trevor I,"EVP, CFO",S - Sale,$135.75,-5387,11535,-32%,"-$731,285",,,,,SRE
2,,2020-09-08 16:53:29,2020-09-08,SRE,Walker Cynthia Lynn,Dir,P - Purchase,$117.70,1000,4636,+28%,"+$117,700",,,,,SRE
3,,2020-08-26 16:46:25,2020-08-25,SRE,Walker Cynthia Lynn,Dir,P - Purchase,$125.46,2000,3636,+122%,"+$250,920",,,,,SRE
4,,2020-08-12 17:54:53,2020-08-12,SRE,Brown Kathleen,Dir,P - Purchase,$134.08,746,1477,+102%,"+$100,024",,,,,SRE
5,,2020-08-12 16:22:48,2020-08-11,SRE,Mears Michael N,Dir,P - Purchase,$131.83,2000,2000,New,"+$263,660",,,,,SRE
6,,2020-08-10 17:21:29,2020-08-07,SRE,Conesa Andres,Dir,P - Purchase,$129.44,2700,7792,+53%,"+$349,488",,,,,SRE
7,,2020-06-18 20:49:47,2020-06-18,SRE,Mihalik Trevor I,"EVP, CFO",S - Sale,$124.16,-10281,14283,-42%,"-$1,276,481",,,,,SRE
8,,2020-03-13 18:42:22,2020-03-13,SRE,Arriola Dennis V,"EVP, Group Pres",P - Purchase,$100.73,1000,48495,+2%,"+$100,730",,,,,SRE
9,,2020-01-22 13:24:57,2020-01-21,SRE,Wall Peter R,"VP, Controller, CAO",S - Sale,$156.84,-1569,2242,-41%,"-$246,082",,,,,SRE
10,,2020-01-17 20:12:02,2020-01-17,SRE,Martin Jeffrey W,"COB, CEO",S - Sale,$155.66,-8251,32473,-20%,"-$1,284,364",,,,,SRE
11,,2019-11-25 17:15:03,2019-11-22,SRE,Conesa Andres,Dir,P - Purchase,$147.26,2000,4749,+73%,"+$294,520",,,,,SRE
12,,2019-09-04 17:35:24,2019-09-03,SRE,Householder Joseph A,"Pres, COO",S - Sale,$143.21,-14304,48453,-23%,"-$2,048,476",,,,,SRE
13,,2019-05-28 18:16:21,2019-05-28,SRE,Martin Jeffrey W,"COB, CEO",S - Sale,$133.85,-9392,38534,-20%,"-$1,257,137",,,,,SRE
14,,2019-05-23 19:03:00,2019-05-23,SRE,Wall Peter R,"VP, Controller, CAO",S - Sale,$135.47,-723,2359,-23%,"-$97,945",,,,,SRE
15,,2019-05-23 19:00:24,2019-05-23,SRE,Householder Joseph A,"Pres, COO",S - Sale,$134.80,-50400,48236,-51%,"-$6,793,857",,,,,SRE
16,D,2019-04-15 19:37:03,2019-04-15,SRE,Schenk Lynn,Dir,S - Sale+OE,$128.92,-5000,11306,-31%,"-$644,600",,,,,SRE
17,,2019-02-28 15:38:38,2019-02-28,SRE,Rowland G Joyce,SVP,S - Sale,$120.86,-2393,31572,-7%,"-$289,218",,,,,SRE
18,,2019-01-25 15:07:22,2019-01-24,SRE,Wall Peter R,"VP, Controller, CAO",S - Sale,$112.26,-1049,2815,-27%,"-$117,761",,,,,SRE
19,D,2019-01-03 15:49:08,2019-01-02,SRE,Schenk Lynn,Dir,S - Sale+OE,$107.09,-5000,11306,-31%,"-$535,450",,,,,SRE
20,D,2018-12-03 20:05:50,2018-11-30,SRE,Householder Joseph A,"Pres, COO",S - Sale+OE,$115.14,-11600,86335,-12%,"-$1,335,624",,,,,SRE
21,,2018-11-13 17:48:55,2018-11-09,SRE,Mihalik Trevor I,"EVP, CFO",S - Sale,$116.97,-4744,17545,-21%,"-$554,906",,,,,SRE
22,,2018-11-13 17:48:16,2018-11-09,SRE,Martin Jeffrey W,CEO,S - Sale,$117.58,-5705,35991,-14%,"-$670,794",,,,,SRE
23,D,2018-11-13 17:47:37,2018-11-09,SRE,Reed Debra L,COB,S - Sale+OE,$117.20,-27300,154606,-15%,"-$3,199,638",,,,,SRE
24,,2018-05-10 17:41:14,2018-05-09,SRE,Ouchi William G,Dir,S - Sale,$104.80,-1918,14954,-11%,"-$200,975",,,,,SRE
25,D,2018-04-06 16:55:41,2018-04-05,SRE,Reed Debra L,"COB, Pres, CEO",S - Sale+OE,$110.37,-49909,153449,-25%,"-$5,508,650",,,,,SRE
26,,2018-04-05 18:04:36,2018-04-05,SRE,Rowland G Joyce,SVP,S - Sale,$109.81,-3948,21177,-16%,"-$433,530",,,,,SRE
