,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-08-06 16:10:35,2021-08-05,TEL,Lynch Thomas J,Dir,S - Sale+OE,$148.31,-100000,161602,-38%,"-$14,830,549",,,,,TEL
1,D,2021-08-04 16:20:40,2021-08-03,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale+OE,$148.65,-111900,94969,-54%,"-$16,634,101",,,,,TEL
2,D,2021-08-03 16:36:16,2021-08-02,TEL,Stucki Aaron Kyle,Pres Communications Solutions,S - Sale+OE,$150.00,-14900,11896,-56%,"-$2,235,000",,,,,TEL
3,,2021-05-28 07:33:30,2021-05-27,TEL,Jenkins John S,"EVP, GC",S - Sale,$135.65,-9140,15570,-37%,"-$1,239,843",,,,,TEL
4,D,2021-05-28 07:33:25,2021-05-27,TEL,Resch Eric,"SVP, Chief Tax Officer",S - Sale+OE,$136.00,-23900,37763,-39%,"-$3,250,400",,,,,TEL
5,,2021-04-27 09:18:55,2021-04-26,TEL,Phelan Daniel J,Dir,P - Purchase,$135.11,118,33920,0%,"+$15,943",,,,,TEL
6,D,2021-02-23 12:46:37,2021-02-22,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale+OE,$130.53,-142545,40055,-78%,"-$18,605,958",,,,,TEL
7,D,2021-02-22 11:51:51,2021-02-19,TEL,Ott Robert J,"SVP, Corporate Controller",S - Sale+OE,$131.50,-32500,20707,-61%,"-$4,273,597",,,,,TEL
8,D,2021-02-05 17:02:29,2021-02-04,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale+OE,$127.75,-70250,94969,-43%,"-$8,974,171",,,,,TEL
9,D,2021-02-04 15:22:40,2021-02-03,TEL,Lynch Thomas J,Dir,S - Sale+OE,$128.49,-56150,178353,-24%,"-$7,214,589",,,,,TEL
10,D,2021-02-04 15:22:36,2021-02-03,TEL,Jenkins John S,"EVP, GC",S - Sale+OE,$126.36,-58300,25460,-70%,"-$7,367,021",,,,,TEL
11,,2021-02-01 16:20:39,2021-02-01,TEL,Murphy Tim,"SVP, CHRO",S - Sale,$122.19,-5000,14741,-25%,"-$610,930",,,,,TEL
12,D,2021-01-08 08:56:59,2021-01-06,TEL,Stucki Aaron Kyle,Pres Communications Solutions,S - Sale+OE,$125.00,-13150,11790,-53%,"-$1,643,750",,,,,TEL
13,D,2021-01-05 13:50:10,2021-01-04,TEL,Stucki Aaron Kyle,Pres Communications Solutions,S - Sale+OE,$120.65,-5275,11790,-31%,"-$636,419",,,,,TEL
14,,2020-12-15 12:07:48,2020-12-11,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale,$118.21,-13001,94969,-12%,"-$1,536,867",,,,,TEL
15,D,2020-11-24 14:50:55,2020-11-24,TEL,Calastri Mario,"SVP, Treasurer",S - Sale+OE,$115.52,-48387,0,-100%,"-$5,589,802",,,,,TEL
16,D,2020-11-18 16:56:41,2020-11-18,TEL,Ott Robert J,"SVP, Corporate Controller",S - Sale+OE,$111.86,-23900,19909,-55%,"-$2,673,356",,,,,TEL
17,D,2020-11-12 16:22:52,2020-11-09,TEL,Calastri Mario,"SVP, Treasurer",S - Sale+OE,$111.12,-11950,0,-100%,"-$1,327,828",,,,,TEL
18,D,2020-11-12 16:20:54,2020-11-09,TEL,Lynch Thomas J,Dir,S - Sale+OE,$107.58,-179800,192640,-48%,"-$19,343,512",,,,,TEL
19,D,2020-11-12 16:20:47,2020-11-11,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale+OE,$108.64,-90350,94969,-49%,"-$9,815,916",,,,,TEL
20,D,2020-11-12 16:05:24,2020-11-09,TEL,Jenkins John S,"EVP, GC",S - Sale+OE,$107.71,-57603,23901,-71%,"-$6,204,367",,,,,TEL
21,A,2020-11-12 16:03:13,2019-08-16,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale,$88.75,-7000,29932,-19%,"-$621,271",,,,,TEL
22,D,2020-11-05 10:35:40,2020-11-04,TEL,Calastri Mario,"SVP, Treasurer",S - Sale+OE,$102.84,-11200,0,-100%,"-$1,151,752",,,,,TEL
23,D,2020-11-05 09:24:59,2020-11-03,TEL,Lynch Thomas J,Dir,S - Sale+OE,$101.55,-100000,191302,-34%,"-$10,154,766",,,,,TEL
24,,2020-11-04 16:47:01,2020-11-03,TEL,Phelan Daniel J,Dir,P - Purchase,$101.44,150,32464,0%,"+$15,215",,,,,TEL
25,D,2020-08-27 10:06:57,2020-08-26,TEL,Rock Kevin N,"Pres, Industrial Solution",S - Sale+OE,$95.25,-25413,90156,-22%,"-$2,420,588",,,,,TEL
26,,2020-08-24 13:49:14,2020-08-24,TEL,Calastri Mario,"SVP, Treasurer",S - Sale,$94.60,-10757,0,-100%,"-$1,017,633",,,,,TEL
27,D,2020-08-14 11:38:26,2020-08-13,TEL,Resch Eric,"SVP, Chief Tax Officer",S - Sale+OE,$96.00,-53100,37210,-59%,"-$5,097,600",,,,,TEL
28,D,2020-08-11 10:59:45,2020-08-10,TEL,Rock Kevin N,"Pres, Industrial Solution",S - Sale+OE,$93.29,-28000,82769,-25%,"-$2,612,198",,,,,TEL
29,,2020-08-04 11:36:38,2020-08-03,TEL,Phelan Daniel J,Dir,P - Purchase,$89.62,170,32314,+1%,"+$15,235",,,,,TEL
30,,2020-05-05 16:04:27,2020-05-05,TEL,Phelan Daniel J,Dir,P - Purchase,$71.61,203,32144,+1%,"+$14,537",,,,,TEL
31,,2020-02-14 11:36:07,2020-02-13,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale,$94.46,-10000,36608,-21%,"-$944,641",,,,,TEL
32,,2020-02-12 09:28:12,2020-02-11,TEL,Phelan Daniel J,Dir,P - Purchase,$93.73,154,31941,0%,"+$14,434",,,,,TEL
33,,2020-02-05 16:05:20,2020-02-04,TEL,Mitts Heath A,"EVP, CFO",S - Sale,$94.75,-16000,10560,-60%,"-$1,516,038",,,,,TEL
34,,2020-02-04 16:10:03,2020-02-03,TEL,Lynch Thomas J,Dir,S - Sale,$93.70,-43000,191195,-18%,"-$4,028,997",,,,,TEL
35,,2019-12-13 16:33:21,2019-12-12,TEL,Jenkins John S,"EVP, GC",S - Sale,$94.11,-9835,28329,-26%,"-$925,525",,,,,TEL
