,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-08-04 15:06:56,2021-08-02,TYL,Moore H Lynn Jr,Pres,S - Sale+OE,$492.46,-6105,74796,-8%,"-$3,006,493",,,,,TYL
1,D,2021-06-16 13:34:54,2021-06-15,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$430.62,-3500,53174,-6%,"-$1,507,153",,,,,TYL
2,,2021-06-15 12:42:26,2021-06-14,TYL,Marr John S Jr,Exec COB,S - Sale,$430.45,-16092,118511,-12%,"-$6,926,726",,,,,TYL
3,,2021-06-09 16:31:12,2021-06-07,TYL,Marr John S Jr,Exec COB,S - Sale,$408.30,-10000,134603,-7%,"-$4,082,956",,,,,TYL
4,,2021-05-20 17:23:06,2021-05-18,TYL,Marr John S Jr,Exec COB,S - Sale,$397.09,-10000,144603,-6%,"-$3,970,929",,,,,TYL
5,D,2021-05-12 17:37:46,2021-05-12,TYL,King Luther Jr,Dir,S - Sale+OE,$387.70,-7935,164011,-5%,"-$3,076,411",,,,,TYL
6,D,2021-03-03 12:30:32,2021-03-01,TYL,Brattain Donald R,Dir,S - Sale+OE,$477.58,-3000,6572,-31%,"-$1,432,725",,,,,TYL
7,D,2021-03-03 12:19:22,2021-03-01,TYL,Womble Dustin R,Dir,S - Sale+OE,$470.50,-12244,137331,-8%,"-$5,760,802",,,,,TYL
8,D,2021-03-02 18:44:47,2021-03-01,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$473.79,-5000,52679,-9%,"-$2,368,950",,,,,TYL
9,D,2021-03-02 18:02:42,2021-02-26,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$466.11,-16750,73495,-19%,"-$7,807,381",,,,,TYL
10,,2021-02-26 18:26:57,2021-02-25,TYL,Marr John S Jr,Exec COB,S - Sale,$466.47,-13000,139903,-9%,"-$6,064,092",,,,,TYL
11,D,2021-02-26 18:14:44,2021-02-25,TYL,Womble Dustin R,Dir,S - Sale+OE,$471.91,-7756,137331,-5%,"-$3,660,153",,,,,TYL
12,DM,2021-02-19 18:13:11,2021-02-17,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$466.97,-25000,152903,-14%,"-$11,674,149",,,,,TYL
13,D,2021-02-19 17:48:01,2021-02-17,TYL,Pope Daniel M,Dir,S - Sale+OE,$464.57,-705,2670,-21%,"-$327,522",,,,,TYL
14,,2021-01-29 11:34:55,2020-08-06,TYL,Brattain Donald R,Dir,S - Sale,$365.00,-275,8305,-3%,"-$100,375",,,,,TYL
15,D,2020-12-16 12:13:53,2020-12-15,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$450.00,-5924,64262,-8%,"-$2,665,789",,,,,TYL
16,D,2020-12-10 17:39:48,2020-12-09,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$447.10,-10000,64262,-13%,"-$4,471,000",,,,,TYL
17,DM,2020-12-10 17:29:04,2020-12-08,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$445.01,-6417,47836,-12%,"-$2,855,630",,,,,TYL
18,M,2020-12-10 17:00:16,2020-12-09,TYL,Marr John S Jr,Exec COB,S - Sale,$445.30,-30747,152903,-17%,"-$13,691,744",,,,,TYL
19,DM,2020-12-03 16:58:19,2020-12-01,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$427.53,-15261,183650,-8%,"-$6,524,563",,,,,TYL
20,,2020-11-25 12:40:01,2020-11-24,TYL,Marr John S Jr,Exec COB,S - Sale,$410.34,-10000,198911,-5%,"-$4,103,418",,,,,TYL
21,D,2020-11-18 11:56:57,2020-11-16,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$412.28,-10000,65947,-13%,"-$4,122,795",,,,,TYL
22,,2020-11-16 15:00:03,2020-11-12,TYL,Marr John S Jr,Exec COB,S - Sale,$418.26,-12000,208911,-5%,"-$5,019,134",,,,,TYL
23,D,2020-11-12 15:32:15,2020-11-09,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$426.71,-4000,48762,-8%,"-$1,706,840",,,,,TYL
24,,2020-11-12 15:17:08,2020-11-09,TYL,Brattain Donald R,Dir,S - Sale,$418.50,-1438,7946,-15%,"-$601,803",,,,,TYL
25,D,2020-11-12 15:03:00,2020-11-09,TYL,Womble Dustin R,Dir,S - Sale+OE,$423.12,-25661,137331,-16%,"-$10,857,789",,,,,TYL
26,D,2020-09-17 17:57:55,2020-09-15,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$355.00,-7500,65947,-10%,"-$2,662,508",,,,,TYL
27,DM,2020-09-03 18:33:45,2020-09-01,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$346.40,-31000,220911,-12%,"-$10,738,438",,,,,TYL
28,,2020-09-02 16:55:25,2020-03-31,TYL,Brattain Donald R,Dir,S - Sale,$342.09,-295,9384,-3%,"-$100,916",,,,,TYL
29,,2020-08-21 10:45:32,2020-08-19,TYL,Womble Dustin R,Dir,S - Sale,$338.18,-10000,146105,-6%,"-$3,381,800",,,,,TYL
30,,2020-06-15 19:48:56,2020-06-12,TYL,King Luther Jr,Dir,S - Sale,$342.05,-2000,141193,-1%,"-$684,106",,,,,TYL
31,,2020-06-12 09:16:44,2020-06-11,TYL,King Luther Jr,Dir,S - Sale,$357.00,-1033,143193,-1%,"-$368,781",,,,,TYL
32,,2020-06-05 15:50:58,2020-06-04,TYL,King Luther Jr,Dir,S - Sale,$372.30,-1099,144226,-1%,"-$409,154",,,,,TYL
33,DM,2020-06-05 14:37:23,2020-06-03,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$375.53,-28800,227988,-11%,"-$10,815,322",,,,,TYL
34,D,2020-06-05 14:20:36,2020-06-03,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$379.58,-19200,65911,-23%,"-$7,287,894",,,,,TYL
35,,2020-06-05 14:09:50,2020-06-03,TYL,Brattain Donald R,Dir,S - Sale,$377.50,-1150,9679,-11%,"-$434,125",,,,,TYL
36,DM,2020-06-01 16:45:03,2020-05-28,TYL,Womble Dustin R,Dir,S - Sale+OE,$375.59,-55000,156105,-26%,"-$20,657,457",,,,,TYL
37,DM,2020-06-01 16:05:06,2020-05-28,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$375.51,-28569,227988,-11%,"-$10,727,854",,,,,TYL
38,D,2020-05-21 15:20:50,2020-05-19,TYL,Carter Glenn A,Dir,S - Sale+OE,$356.28,-3775,500,-88%,"-$1,344,947",,,,,TYL
39,,2020-05-21 11:46:16,2020-05-19,TYL,Brattain Donald R,Dir,S - Sale,$355.73,-1290,19549,-6%,"-$458,893",,,,,TYL
40,,2020-05-21 10:58:23,2018-08-24,TYL,Brattain Donald R,Dir,S - Sale,$241.50,-200,9870,-2%,"-$48,300",,,,,TYL
