,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-05-25 16:37:29,2021-05-25,URI,Passerini Filippo,Dir,S - Sale,$329.88,-925,9627,-9%,"-$305,139",,,,,URI
1,,2021-05-11 16:49:52,2021-05-10,URI,Graziano Jessica,"EVP, CFO",S - Sale,$351.66,-2452,15858,-13%,"-$862,258",,,,,URI
2,,2021-05-03 16:36:41,2021-05-03,URI,Limoges Andrew B.,"VP, Controller",S - Sale,$321.73,-632,1465,-30%,"-$203,333",,,,,URI
3,,2021-03-12 19:18:33,2021-03-12,URI,Pintoff Craig Adam,"EVP, Chief Admin., Legal Offic",S - Sale,$314.37,-1692,17184,-9%,"-$531,906",,,,,URI
4,,2021-02-01 17:02:04,2021-02-01,URI,Asplund Dale A,"EVP, COO",S - Sale,$248.99,-6982,19604,-26%,"-$1,738,449",,,,,URI
5,,2021-01-29 17:36:04,2021-01-29,URI,Pintoff Craig Adam,"EVP, Chief Admin., Legal Offic",S - Sale,$242.96,-1897,18545,-9%,"-$460,898",,,,,URI
6,,2020-12-16 16:34:38,2020-12-15,URI,Kneeland Michael,Dir,S - Sale,$237.22,-20000,86424,-19%,"-$4,744,372",,,,,URI
7,M,2020-09-15 16:45:51,2020-09-14,URI,Roof Donald C,Dir,S - Sale,$176.07,-15000,15015,-50%,"-$2,641,050",,,,,URI
8,,2020-08-10 16:47:02,2020-08-07,URI,Kneeland Michael,Dir,S - Sale,$170.62,-22000,111424,-16%,"-$3,753,664",,,,,URI
9,,2020-06-10 16:55:18,2020-06-09,URI,Kneeland Michael,Dir,S - Sale,$159.30,-41936,133424,-24%,"-$6,680,405",,,,,URI
10,,2020-06-08 16:36:25,2020-06-05,URI,Limoges Andrew B.,"VP, Controller",S - Sale,$162.80,-553,1953,-22%,"-$90,027",,,,,URI
11,,2020-05-19 16:39:24,2020-05-18,URI,Graziano Jessica,"EVP, CFO",S - Sale,$130.00,-1349,16505,-8%,"-$175,370",,,,,URI
12,,2020-03-16 16:40:58,2020-03-13,URI,Singh Shiv,Dir,P - Purchase,$88.53,600,4523,+15%,"+$53,120",,,,,URI
13,,2020-03-16 16:35:23,2020-03-13,URI,Roof Donald C,Dir,P - Purchase,$87.26,5000,28684,+21%,"+$436,310",,,,,URI
14,,2019-12-17 17:15:39,2019-12-13,URI,Fenton Jeffrey J,"SVP, Business Development",S - Sale,$160.95,-20000,13819,-59%,"-$3,218,936",,,,,URI
15,M,2019-11-08 16:31:19,2019-11-06,URI,Kneeland Michael,Dir,S - Sale,$149.62,-34999,158974,-18%,"-$5,236,598",,,,,URI
16,,2019-11-07 16:31:24,2019-11-05,URI,Papastavrou Jason D,Dir,S - Sale,$150.05,-3036,28591,-10%,"-$455,547",,,,,URI
17,,2019-10-24 19:19:53,2019-10-23,URI,Fenton Jeffrey J,"SVP, Business Development",S - Sale,$132.53,-2735,33819,-7%,"-$362,458",,,,,URI
18,,2019-08-20 16:35:32,2019-08-19,URI,Passerini Filippo,Dir,P - Purchase,$110.37,2000,8783,+29%,"+$220,749",,,,,URI
19,,2019-07-25 16:30:43,2019-07-24,URI,Alvarez Jose B,Dir,P - Purchase,$125.98,238,9559,+3%,"+$29,983",,,,,URI
20,,2019-07-23 16:35:41,2019-07-22,URI,Roof Donald C,Dir,P - Purchase,$118.27,5000,23684,+27%,"+$591,362",,,,,URI
21,DM,2019-05-23 18:11:06,2019-05-20,URI,Kneeland Michael,Dir,S - Sale+OE,$124.61,-78243,193973,-29%,"-$9,750,062",,,,,URI
22,D,2019-05-20 16:34:53,2019-05-16,URI,Kneeland Michael,Dir,S - Sale+OE,$129.67,-38580,191864,-17%,"-$5,002,688",,,,,URI
23,D,2019-05-13 19:18:02,2019-05-09,URI,Kneeland Michael,Dir,S - Sale+OE,$131.23,-84431,191864,-31%,"-$11,079,762",,,,,URI
24,,2019-03-13 16:50:51,2019-03-13,URI,McDonnell Paul I.,"EVP, Sales, Specialty Ops",S - Sale,$125.59,-10500,14224,-42%,"-$1,318,669",,,,,URI
25,,2019-03-13 16:47:56,2019-03-12,URI,Limoges Andrew B.,"VP, Controller",S - Sale,$123.45,-146,1986,-7%,"-$18,024",,,,,URI
26,,2019-03-13 16:40:43,2019-03-12,URI,Graziano Jessica,"EVP, CFO",S - Sale,$123.36,-547,13376,-4%,"-$67,477",,,,,URI
27,,2019-03-08 16:49:05,2019-03-08,URI,Pintoff Craig Adam,"EVP, Chief Admin., Legal Offic",S - Sale,$123.17,-4566,8955,-34%,"-$562,402",,,,,URI
28,,2019-02-20 16:32:20,2019-02-19,URI,Kneeland Michael,CEO,S - Sale,$132.73,-30000,202237,-13%,"-$3,981,927",,,,,URI
29,,2019-01-28 16:41:04,2019-01-28,URI,Singh Shiv,Dir,P - Purchase,$124.72,390,2803,+16%,"+$48,641",,,,,URI
30,,2019-01-28 16:37:42,2019-01-25,URI,Pintoff Craig Adam,"EVP, Chief Admin., Legal Offic",S - Sale,$125.66,-7343,18720,-28%,"-$922,748",,,,,URI
31,,2019-01-28 16:33:04,2019-01-28,URI,Asplund Dale A,"EVP, Business Services, CIO",S - Sale,$125.00,-11245,13010,-46%,"-$1,405,625",,,,,URI
32,,2018-10-26 16:46:22,2018-10-26,URI,Alvarez Jose B,Dir,P - Purchase,$107.45,544,8201,+7%,"+$58,452",,,,,URI
33,,2018-10-26 16:41:42,2018-10-25,URI,Singh Shiv,Dir,P - Purchase,$110.35,230,2413,+11%,"+$25,381",,,,,URI
34,,2018-10-23 16:36:43,2018-10-22,URI,Britell Jenne K,Dir,P - Purchase,$115.07,435,27497,+2%,"+$50,055",,,,,URI
35,,2018-09-14 16:50:55,2018-09-12,URI,Roof Donald C,Dir,S - Sale,$167.78,-5000,17564,-22%,"-$838,908",,,,,URI
36,,2018-07-20 17:09:10,2018-07-20,URI,Kneeland Michael,CEO,S - Sale,$155.37,-30000,219925,-12%,"-$4,661,172",,,,,URI
37,,2018-04-23 17:44:15,2018-04-20,URI,Kneeland Michael,CEO,S - Sale,$169.00,-30000,249925,-11%,"-$5,070,129",,,,,URI
38,D,2018-03-13 18:28:30,2018-03-13,URI,Plummer William B,"EVP, CFO",S - Sale+OE,$187.88,-50000,55926,-47%,"-$9,394,010",,,,,URI
39,,2018-03-13 18:13:25,2018-03-13,URI,Pintoff Craig Adam,"EVP, Chief Admin., Legal Offic",S - Sale,$188.35,-1923,22186,-8%,"-$362,197",,,,,URI
40,,2018-03-13 18:01:16,2018-03-13,URI,Asplund Dale A,"EVP, Business Services, CIO",S - Sale,$188.13,-1229,14887,-8%,"-$231,216",,,,,URI
41,,2018-03-08 16:53:56,2018-03-08,URI,Graziano Jessica,"SVP, Controller",S - Sale,$181.25,-1635,5584,-23%,"-$296,344",,,,,URI
42,,2017-12-15 16:37:27,2017-12-14,URI,Kneeland Michael,"Pres, CEO",S - Sale,$162.76,-25421,240707,-10%,"-$4,137,474",,,,,URI
43,,2017-12-13 16:44:15,2017-12-12,URI,McAllister Singleton B,Dir,S - Sale,$163.67,-2200,15446,-12%,"-$360,072",,,,,URI
44,M,2017-12-05 16:39:46,2017-12-04,URI,Roof Donald C,Dir,S - Sale,$160.23,-3500,21639,-14%,"-$560,809",,,,,URI
45,,2017-11-28 16:53:16,2017-11-27,URI,Britell Jenne K,Dir,S - Sale,$153.81,-3250,29149,-10%,"-$499,875",,,,,URI
46,D,2017-11-08 16:44:36,2017-11-08,URI,Flannery Matthew John,"EVP, COO",S - Sale+OE,$147.44,-22324,21641,-51%,"-$3,291,375",,,,,URI
47,,2017-11-02 16:38:14,2017-11-01,URI,Roof Donald C,Dir,S - Sale,$143.95,-4500,25139,-15%,"-$647,775",,,,,URI
48,,2017-10-23 17:10:28,2017-10-23,URI,Passerini Filippo,Dir,S - Sale,$143.24,-3308,4738,-41%,"-$473,828",,,,,URI
49,,2017-10-20 16:36:33,2017-10-20,URI,Kneeland Michael,"Pres, CEO",S - Sale,$144.72,-30000,272292,-10%,"-$4,341,591",,,,,URI
50,,2017-09-15 17:29:40,2017-09-15,URI,Plummer William B,"EVP, CFO",S - Sale,$128.26,-5301,38055,-12%,"-$679,906",,,,,URI
