,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2020-12-04 17:19:45,2020-12-02,VLO,Gorder Joseph W,"COB, CEO",S - Sale,$58.42,-39200,0,-100%,"-$2,290,100",,,,,VLO
1,,2020-03-13 16:56:11,2020-03-12,VLO,Weisenburger Randall J,Dir,P - Purchase,$47.31,45000,100274,+81%,"+$2,128,752",,,,,VLO
2,,2020-03-13 16:50:17,2020-03-13,VLO,Pfeiffer Philip J.,Dir,P - Purchase,$43.82,1310,22224,+6%,"+$57,402",,,,,VLO
3,D,2019-12-17 17:32:59,2019-12-16,VLO,Gorder Joseph W,"COB, Pres, CEO",S - Sale+OE,$95.57,-21400,403517,-5%,"-$2,045,230",,,,,VLO
4,,2019-02-20 16:09:39,2019-02-20,VLO,Waters Stephen M,Dir,P - Purchase,$84.97,500,500,New,"+$42,485",,,,,VLO
5,,2018-12-13 17:00:22,2018-12-11,VLO,Weisenburger Randall J,Dir,P - Purchase,$72.74,25000,53717,+87%,"+$1,818,375",,,,,VLO
6,,2018-12-03 17:35:09,2018-10-29,VLO,Eberhart Paulett,Dir,P - Purchase,$86.23,60,4223,+1%,"+$5,174",,,,,VLO
7,,2018-07-31 17:09:16,2018-07-30,VLO,Waters Stephen M,Dir,S - Sale,$116.76,-1000,7464,-12%,"-$116,755",,,,,VLO
8,,2018-05-24 17:12:35,2018-05-23,VLO,Waters Stephen M,Dir,S - Sale,$121.04,-1000,8464,-11%,"-$121,043",,,,,VLO
9,D,2018-05-23 17:26:37,2018-05-21,VLO,Gorder Joseph W,"COB, Pres, CEO",S - Sale+OE,$121.23,-85493,439371,-16%,"-$10,364,316",,,,,VLO
10,D,2018-01-05 16:28:44,2018-01-03,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale+OE,$93.29,-251530,57589,-81%,"-$23,464,882",,,,,VLO
11,,2017-12-21 17:49:57,2017-12-20,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale,$88.91,-45657,212794,-18%,"-$4,059,543",,,,,VLO
12,,2017-12-14 17:14:14,2017-12-13,VLO,Waters Stephen M,Dir,S - Sale,$87.23,-1000,9464,-10%,"-$87,233",,,,,VLO
13,,2017-11-15 16:38:56,2017-11-14,VLO,Pfeiffer Philip J.,Dir,S - Sale,$81.42,-1500,21207,-7%,"-$122,130",,,,,VLO
14,,2017-11-01 17:07:31,2017-10-31,VLO,Waters Stephen M,Dir,S - Sale,$78.87,-1600,10464,-13%,"-$126,197",,,,,VLO
15,,2017-09-28 17:07:59,2017-09-28,VLO,Waters Stephen M,Dir,S - Sale,$75.86,-656,12064,-5%,"-$49,764",,,,,VLO
16,,2017-09-21 17:19:56,2017-09-19,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale,$72.88,-53012,243631,-18%,"-$3,863,516",,,,,VLO
17,,2017-09-07 16:02:05,2017-09-06,VLO,Waters Stephen M,Dir,S - Sale,$68.00,-1500,12720,-11%,"-$102,000",,,,,VLO
