,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-03-01 17:54:51,2021-03-01,VMC,Pigg Randy L.,"VP, Controller",S - Sale+OE,$169.73,-216,2804,-7%,"-$36,662",,,,,VMC
1,,2020-11-12 16:51:34,2020-11-10,VMC,Perkins Jerry F Jr,SVP,S - Sale,$137.25,-3000,12665,-19%,"-$411,750",,,,,VMC
2,,2020-03-18 17:40:59,2020-03-17,VMC,Steiner David P,Dir,P - Purchase,$93.00,5000,5000,New,"+$465,000",,,,,VMC
3,,2019-11-20 17:47:58,2019-11-19,VMC,Pigg Randy L.,"VP, Controller",S - Sale,$140.64,-643,1235,-34%,"-$90,432",,,,,VMC
4,D,2019-09-24 16:52:02,2019-09-24,VMC,Bass Stanley G,Chief Growth Officer,S - Sale+OE,$149.93,-2184,43588,-5%,"-$327,438",,,,,VMC
5,D,2019-09-11 18:00:27,2019-09-11,VMC,Bass Stanley G,Chief Growth Officer,S - Sale+OE,$141.94,-2406,43603,-5%,"-$341,508",,,,,VMC
6,D,2019-08-02 18:00:05,2019-08-02,VMC,Bass Stanley G,Chief Growth Officer,S - Sale+OE,$135.80,-6207,43536,-12%,"-$842,911",,,,,VMC
7,D,2019-08-02 17:52:39,2019-08-02,VMC,Mills Michael R,Chief Administrative Officer,S - Sale+OE,$135.80,-2147,52762,-4%,"-$291,563",,,,,VMC
8,D,2019-06-11 17:24:56,2019-06-11,VMC,Mills Michael R,Chief Administrative Officer,S - Sale+OE,$136.05,-1326,52753,-2%,"-$180,402",,,,,VMC
9,D,2019-06-10 18:23:07,2019-06-10,VMC,Pigg Randy L.,"VP, Controller",S - Sale+OE,$134.96,-1754,1859,-49%,"-$236,714",,,,,VMC
10,,2019-03-08 17:34:26,2019-03-07,VMC,Clement David P,Pres - Central Division,S - Sale,$114.28,-2789,11293,-20%,"-$318,723",,,,,VMC
11,,2018-11-08 10:55:33,2018-11-06,VMC,Hill J Thomas,"COB, Pres, CEO",P - Purchase,$101.66,1955,79503,+3%,"+$198,736",,,,,VMC
12,D,2018-06-11 18:18:08,2018-06-11,VMC,McPherson John R,"EVP, CF, Strategy",S - Sale+OE,$130.37,-21618,62138,-26%,"-$2,818,339",,,,,VMC
13,D,2018-06-11 18:13:27,2018-06-11,VMC,Bass Stanley G,Chief Growth Officer,S - Sale+OE,$130.00,-4109,36101,-10%,"-$534,170",,,,,VMC
14,D,2018-05-11 16:51:10,2018-05-11,VMC,McPherson John R,"EVP, CF, Strategy",S - Sale+OE,$125.88,-21446,62061,-26%,"-$2,699,622",,,,,VMC
15,,2018-05-08 17:53:22,2018-05-04,VMC,Clement David P,Pres - Central Division,S - Sale,$124.00,-1828,12000,-13%,"-$226,672",,,,,VMC
16,D,2018-01-17 17:48:53,2018-01-17,VMC,Mills Michael R,Chief Administrative Officer,S - Sale+OE,$134.56,-3738,43160,-8%,"-$502,985",,,,,VMC
17,D,2018-01-05 16:33:19,2018-01-05,VMC,Mills Michael R,Chief Administrative Officer,S - Sale+OE,$133.25,-4659,43136,-10%,"-$620,812",,,,,VMC
18,,2017-09-15 17:38:19,2017-09-13,VMC,Mills Michael R,Chief Administrative Officer,S - Sale,$117.55,-981,32457,-3%,"-$115,317",,,,,VMC
19,,2017-09-05 17:09:53,2017-09-01,VMC,Pasley David B.,Pres - Mountain West Div,S - Sale,$121.51,-1250,5200,-19%,"-$151,889",,,,,VMC
