,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-08-06 08:22:13,2021-08-04,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$55.57,-1554,34430,-4%,"-$86,356",,,,,VZ
1,,2021-07-08 08:20:56,2021-07-06,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$56.45,-1555,35935,-4%,"-$87,780",,,,,VZ
2,,2021-06-08 09:02:37,2021-06-04,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$56.90,-1555,37490,-4%,"-$88,480",,,,,VZ
3,,2021-05-12 07:58:48,2021-05-10,VZ,Gowrappan Kumara Guru,"EVP, Group CEO-VZ Media",S - Sale,$59.42,-43238,14077,-75%,"-$2,569,202",,,,,VZ
4,,2021-05-06 08:18:01,2021-05-04,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$57.98,-1555,39057,-4%,"-$90,159",,,,,VZ
5,,2021-05-05 11:20:43,2021-05-03,VZ,Erwin Tami A.,"EVP, Group CEO-VZ Business",S - Sale,$58.26,-35000,66776,-34%,"-$2,039,100",,,,,VZ
6,,2021-04-07 09:27:40,2021-04-05,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$58.53,-1555,40552,-4%,"-$91,014",,,,,VZ
7,D,2021-03-08 08:16:17,2021-03-04,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale+OE,$55.60,-1555,31568,-5%,"-$86,458",,,,,VZ
8,,2020-11-03 16:06:16,2020-11-02,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$57.73,-10411,28034,-27%,"-$601,027",,,,,VZ
9,,2020-05-05 08:00:54,2020-05-01,VZ,Skiadas Anthony T,"SVP, Controller",S - Sale,$57.10,-10744,28299,-28%,"-$613,429",,,,,VZ
10,,2020-03-03 08:01:26,2020-02-28,VZ,Dunne Ronan,"EVP, Group CEO-VZ Consumer",P - Purchase,$53.47,18839,34005,+124%,"+$1,007,321",,,,,VZ
11,,2020-02-27 08:04:52,2020-02-25,VZ,Skiadas Anthony T,"SVP, Controller",S - Sale,$57.65,-10775,32851,-25%,"-$621,195",,,,,VZ
12,,2019-11-27 12:22:53,2019-11-26,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$59.55,-1346,22723,-6%,"-$80,154",,,,,VZ
13,,2019-10-30 08:00:49,2019-10-28,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$60.42,-1349,24028,-5%,"-$81,507",,,,,VZ
14,,2019-09-30 08:21:42,2019-09-26,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$60.14,-1349,25377,-5%,"-$81,129",,,,,VZ
15,,2019-09-03 16:07:47,2019-08-29,VZ,Erwin Tami A.,"EVP, Group CEO-VZ Business",S - Sale,$57.75,-17000,39602,-30%,"-$981,750",,,,,VZ
16,,2019-08-28 08:14:32,2019-08-26,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$56.01,-1349,26728,-5%,"-$75,557",,,,,VZ
17,,2019-08-02 07:55:16,2019-07-31,VZ,Silliman Craig L.,"EVP, ChiefAdminLegal, PubPolOf",S - Sale,$56.55,-1349,28034,-5%,"-$76,286",,,,,VZ
18,,2019-06-28 08:14:07,2019-06-26,VZ,Silliman Craig L.,"EVP of PubPolicy, GC",S - Sale,$58.15,-1349,29505,-4%,"-$78,444",,,,,VZ
19,,2019-05-30 10:32:39,2019-05-28,VZ,Silliman Craig L.,"EVP of PubPolicy, GC",S - Sale,$59.20,-1349,30732,-4%,"-$79,861",,,,,VZ
20,,2019-05-03 14:06:09,2019-05-01,VZ,Skiadas Anthony T,"SVP, Controller",S - Sale,$57.11,-6134,22013,-22%,"-$350,313",,,,,VZ
21,,2019-04-30 08:10:20,2019-04-26,VZ,Silliman Craig L.,"EVP of PubPolicy, GC",S - Sale,$56.06,-1349,32041,-4%,"-$75,625",,,,,VZ
22,,2019-03-28 08:27:51,2019-03-26,VZ,Silliman Craig L.,"EVP of PubPolicy, GC",S - Sale,$60.30,-1349,33388,-4%,"-$81,345",,,,,VZ
23,,2019-03-06 08:20:19,2019-03-04,VZ,Silliman Craig L.,"EVP of PubPolicy, GC",S - Sale,$57.12,-1349,29513,-4%,"-$77,055",,,,,VZ
24,,2019-02-28 16:03:31,2019-02-26,VZ,McAdam Lowell C,Dir,S - Sale,$56.72,-285988,366336,-44%,"-$16,221,239",,,,,VZ
25,,2018-05-03 08:25:54,2018-05-01,VZ,Skiadas Anthony T,"SVP, Controller",S - Sale,$49.44,-1974,17991,-10%,"-$97,595",,,,,VZ
26,,2018-02-15 09:16:21,2018-02-13,VZ,Skiadas Anthony T,"SVP, Controller",S - Sale,$49.80,-6967,17968,-28%,"-$346,957",,,,,VZ
