,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-11-02 16:34:40,2020-10-30,WELL,Hawkins Philip L,Dir,P - Purchase,$52.94,2000,6642,+43%,"+$105,880",,,,,WELL
1,,2019-05-15 17:08:49,2019-05-14,WELL,Derosa Thomas J,"COB, CEO",S - Sale,$77.90,-19307,279651,-6%,"-$1,503,977",,,,,WELL
2,,2019-03-15 17:21:43,2019-03-13,WELL,Goodey John,CFO,S - Sale,$77.13,-1,48094,0%,-$44,,,,,WELL
3,,2019-03-01 17:35:46,2019-02-28,WELL,Kerr Mercedes,EVP-Business Development,S - Sale,$74.50,-5000,44478,-10%,"-$372,500",,,,,WELL
4,D,2018-12-13 17:26:29,2018-12-11,WELL,Kerr Mercedes,EVP-Business Development,S - Sale+OE,$73.17,-4342,35659,-11%,"-$317,683",,,,,WELL
5,,2018-08-13 18:49:58,2018-08-10,WELL,Mitra Shankh,"EVP, Investments",P - Purchase,$63.55,62,92018,0%,"+$3,940",,,,,WELL
6,,2018-06-07 16:48:30,2018-06-06,WELL,Trumbull R Scott,Dir,S - Sale,$57.33,-1,71094,0%,-$30,,,,,WELL
7,,2018-05-01 17:21:31,2018-05-01,WELL,Whitelaw Gary,Dir,P - Purchase,$54.18,925,6768,+16%,"+$50,116",,,,,WELL
8,,2018-03-16 16:55:03,2018-03-15,WELL,Bacon Kenneth J,Dir,P - Purchase,$53.63,600,7427,+9%,"+$32,179",,,,,WELL
9,,2018-02-27 17:39:38,2018-02-26,HCN,Whitelaw Gary,Dir,P - Purchase,$53.61,1862,5843,+47%,"+$99,820",,,,,WELL
10,,2017-11-22 17:04:44,2017-11-21,HCN,Whitelaw Gary,Dir,P - Purchase,$68.39,1420,1420,New,"+$97,107",,,,,WELL
